Function	Module	Timer	DC accesses	DC misses	CPU clocks	Ret inst	DTLB L1M L2H	DTLB L1M L2M	DRAM accesses	L3 misses
clean$omp$1	OMPMul.exe	658	549	142	3741	744	3	9	1312	852
clean(void)	OMPMul.exe				1					
EngReleaseSemaphore	Unknown Module (PID 7840)					1				
initialize$omp$1	OMPMul.exe	48	204	1	254	559			14	8
measure_invocation(void (*)(void),struct Experiment *)	OMPMul.exe	457	471	30	2638	1892	1	6	400	277
multiply_matrices_ijk_100$omp$1	OMPMul.exe	4	5		10	7	28			
multiply_matrices_ijk_1000$omp$1	OMPMul.exe	12160	4008	18341	72708	7082	4364	16687	306	177
multiply_matrices_ijk_1050$omp$1	OMPMul.exe	14579	4501	21108	86286	7714	4380	20026	471	284
multiply_matrices_ijk_1100$omp$1	OMPMul.exe	17187	5388	24619	102471	8764	4362	23518	483	336
multiply_matrices_ijk_1150$omp$1	OMPMul.exe	20125	6093	28233	120416	11661	4317	27421	727	519
multiply_matrices_ijk_1200$omp$1	OMPMul.exe	5036	1517	6912	29836	2818	943	6923	251	190
multiply_matrices_ijk_1300$omp$1	OMPMul.exe	13491	3982	18171	80051	7084	1870	18338	1069	891
multiply_matrices_ijk_1350$omp$1	OMPMul.exe	34591	10185	46480	206335	17808	4135	46850	3172	2706
multiply_matrices_ijk_1400$omp$1	OMPMul.exe	38957	11191	51817	231784	19778	4059	52922	3801	3311
multiply_matrices_ijk_1450$omp$1	OMPMul.exe	43635	12300	57642	259675	21801	3975	59274	4939	4415
multiply_matrices_ijk_150$omp$1	OMPMul.exe	3	17	16	50	33	79		2	
multiply_matrices_ijk_1500$omp$1	OMPMul.exe	48658	13708	64300	290683	24094	3882	65850	5819	5284
multiply_matrices_ijk_200$omp$1	OMPMul.exe	20	29	76	109	47	266		5	2
multiply_matrices_ijk_250$omp$1	OMPMul.exe	43	61	190	225	106	493		7	3
multiply_matrices_ijk_300$omp$1	OMPMul.exe	79	122	429	493	217	708		8	3
multiply_matrices_ijk_350$omp$1	OMPMul.exe	124	188	721	810	349	1091	2	7	3
multiply_matrices_ijk_400$omp$1	OMPMul.exe	206	262	1011	1143	447	1791	16	9	5
multiply_matrices_ijk_450$omp$1	OMPMul.exe	299	366	1478	1686	647	2448	75	15	6
multiply_matrices_ijk_50$omp$1	OMPMul.exe		1		2	2	2			
multiply_matrices_ijk_500$omp$1	OMPMul.exe	451	497	2076	2654	897	2962	288	38	21
multiply_matrices_ijk_550$omp$1	OMPMul.exe	711	675	2802	4206	1133	3447	705	14	9
multiply_matrices_ijk_600$omp$1	OMPMul.exe	1143	840	3634	6680	1563	3817	1407	37	19
multiply_matrices_ijk_650$omp$1	OMPMul.exe	1812	1051	4646	10474	1903	4047	2428	42	23
multiply_matrices_ijk_700$omp$1	OMPMul.exe	2697	1387	5994	16014	2208	4010	3669	64	39
multiply_matrices_ijk_750$omp$1	OMPMul.exe	3765	1739	7478	22083	2812	4080	5085	71	42
multiply_matrices_ijk_800$omp$1	OMPMul.exe	4978	2174	9182	29996	3595	4162	6826	124	72
multiply_matrices_ijk_850$omp$1	OMPMul.exe	6438	2393	11028	38343	4248	4263	8922	118	63
multiply_matrices_ijk_900$omp$1	OMPMul.exe	8123	2916	13218	48559	5614	4283	11189	159	98
multiply_matrices_ijk_950$omp$1	OMPMul.exe	10049	3611	15653	60150	6147	4316	13731	258	151
multiply_matrices_ijk_ikj_1000_100$omp$1	OMPMul.exe	873	5679	217	4755	9299	227	6	66	42
multiply_matrices_ijk_ikj_1000_1000$omp$1	OMPMul.exe	888	6005	142	5452	9696	3	29	91	48
multiply_matrices_ijk_ikj_1000_125$omp$1	OMPMul.exe	939	5860	421	5160	9755	183	7	71	43
multiply_matrices_ijk_ikj_1000_200$omp$1	OMPMul.exe	874	5674	278	4757	9228	125	4	92	61
multiply_matrices_ijk_ikj_1000_250$omp$1	OMPMul.exe	843	5653	253	4624	9171	104	3	43	26
multiply_matrices_ijk_ikj_1000_50$omp$1	OMPMul.exe	842	5892	92	4807	10702	413	13	83	42
multiply_matrices_ijk_ikj_1000_500$omp$1	OMPMul.exe	944	5953	205	5518	9640	20	37	34	18
multiply_matrices_ijk_ikj_100_100$omp$1	OMPMul.exe	1	12	1	13	20				
multiply_matrices_ijk_ikj_100_50$omp$1	OMPMul.exe		14		9	24	2			
multiply_matrices_ijk_ikj_1050_105$omp$1	OMPMul.exe	1038	6813	374	5870	11329	249	6	73	41
multiply_matrices_ijk_ikj_1050_1050$omp$1	OMPMul.exe	1046	7158	154	6408	11648	4	29	57	38
multiply_matrices_ijk_ikj_1050_150$omp$1	OMPMul.exe	1029	6652	417	5753	11085	183	5	64	38
multiply_matrices_ijk_ikj_1050_175$omp$1	OMPMul.exe	1016	6702	358	5625	10816	160	4	83	47
multiply_matrices_ijk_ikj_1050_210$omp$1	OMPMul.exe	981	6547	307	5412	10683	141	4	71	44
multiply_matrices_ijk_ikj_1050_350$omp$1	OMPMul.exe	1053	6854	239	6031	11136	85	8	54	29
multiply_matrices_ijk_ikj_1050_350(void)	OMPMul.exe				1					
multiply_matrices_ijk_ikj_1050_50$omp$1	OMPMul.exe	969	6742	113	5490	12268	484	15	132	76
multiply_matrices_ijk_ikj_1050_525$omp$1	OMPMul.exe	1090	6582	203	6038	10676	25	48	45	26
multiply_matrices_ijk_ikj_1050_70$omp$1	OMPMul.exe	1084	7043	105	6061	11849	353	8	104	52
multiply_matrices_ijk_ikj_1050_75$omp$1	OMPMul.exe	1060	6942	133	5899	11605	336	8	103	58
multiply_matrices_ijk_ikj_1100_100$omp$1	OMPMul.exe	1156	7733	291	6494	12650	303	9	73	44
multiply_matrices_ijk_ikj_1100_110$omp$1	OMPMul.exe	1195	7707	484	6585	12750	280	8	104	59
multiply_matrices_ijk_ikj_1100_1100$omp$1	OMPMul.exe	1218	8102	182	7371	13144	2	32	81	51
multiply_matrices_ijk_ikj_1100_220$omp$1	OMPMul.exe	1137	7409	339	6217	12079	154	6	102	70
multiply_matrices_ijk_ikj_1100_275$omp$1	OMPMul.exe	1119	7502	294	6118	12257	125	5	69	43
multiply_matrices_ijk_ikj_1100_50$omp$1	OMPMul.exe	1107	7801	139	6378	14188	550	18	114	59
multiply_matrices_ijk_ikj_1100_55$omp$1	OMPMul.exe	1269	8182	122	7179	14008	510	15	121	65
multiply_matrices_ijk_ikj_1100_550$omp$1	OMPMul.exe	1257	7895	244	7183	12906	23	52	42	25
multiply_matrices_ijk_ikj_1150_115$omp$1	OMPMul.exe	1381	8884	621	7710	14757	302	8	94	52
multiply_matrices_ijk_ikj_1150_1150$omp$1	OMPMul.exe	1441	9202	204	8671	15039	1	39	119	80
multiply_matrices_ijk_ikj_1150_230$omp$1	OMPMul.exe	1290	8408	398	6943	13757	172	6	131	79
multiply_matrices_ijk_ikj_1150_50$omp$1	OMPMul.exe	1275	8944	166	7282	16232	626	20	103	55
multiply_matrices_ijk_ikj_1150_575$omp$1	OMPMul.exe	1437	9228	290	8377	15080	22	54	43	21
multiply_matrices_ijk_ikj_1200_100$omp$1	OMPMul.exe	1494	10134	372	8481	16575	386	12	102	63
multiply_matrices_ijk_ikj_1200_120$omp$1	OMPMul.exe	1597	10383	736	9194	16929	319	8	143	81
multiply_matrices_ijk_ikj_1200_1200$omp$1	OMPMul.exe	1642	10464	234	10387	17086	1	41	241	185
multiply_matrices_ijk_ikj_1200_150$omp$1	OMPMul.exe	1536	10034	635	8640	16589	270	7	114	67
multiply_matrices_ijk_ikj_1200_200$omp$1	OMPMul.exe	1508	9653	467	8081	15742	218	5	121	78
multiply_matrices_ijk_ikj_1200_240$omp$1	OMPMul.exe	1465	9871	416	8119	16090	184	6	104	75
multiply_matrices_ijk_ikj_1200_300$omp$1	OMPMul.exe	1450	9825	375	8229	15995	152	7	84	52
multiply_matrices_ijk_ikj_1200_400$omp$1	OMPMul.exe	1641	10450	362	9550	16775	85	31	72	46
multiply_matrices_ijk_ikj_1200_50$omp$1	OMPMul.exe	1455	10266	180	8398	18635	706	20	134	71
multiply_matrices_ijk_ikj_1200_60$omp$1	OMPMul.exe	1609	10423	174	9061	17261	610	16	153	84
multiply_matrices_ijk_ikj_1200_600$omp$1	OMPMul.exe	1557	10375	299	9327	16837	21	64	52	21
multiply_matrices_ijk_ikj_1200_75$omp$1	OMPMul.exe	1584	10520	185	8910	17586	499	10	135	78
multiply_matrices_ijk_ikj_1200_80$omp$1	OMPMul.exe	1547	10141	192	8577	16862	473	12	129	73
multiply_matrices_ijk_ikj_1250_125$omp$1	OMPMul.exe	1793	11366	814	10032	18877	362	9	107	68
multiply_matrices_ijk_ikj_1250_1250$omp$1	OMPMul.exe	2130	11776	253	12665	19211	2	46	603	398
multiply_matrices_ijk_ikj_1250_250$omp$1	OMPMul.exe	1636	11064	494	9048	18023	203	6	121	74
multiply_matrices_ijk_ikj_1250_50$omp$1	OMPMul.exe	1652	11342	207	9295	20650	817	24	161	88
multiply_matrices_ijk_ikj_1250_625$omp$1	OMPMul.exe	1817	11329	323	10496	18475	22	72	60	30
multiply_matrices_ijk_ikj_1300_100$omp$1	OMPMul.exe	1927	12840	497	10790	21066	492	16	177	102
multiply_matrices_ijk_ikj_1300_130$omp$1	OMPMul.exe	1986	12901	907	11260	21368	385	11	109	69
multiply_matrices_ijk_ikj_1300_1300$omp$1	OMPMul.exe	2510	13528	293	15146	22102	2	49	1034	640
multiply_matrices_ijk_ikj_1300_260$omp$1	OMPMul.exe	1853	12067	485	9973	19651	223	8	135	82
multiply_matrices_ijk_ikj_1300_325$omp$1	OMPMul.exe	1904	12549	466	10759	20497	176	12	123	72
multiply_matrices_ijk_ikj_1300_50$omp$1	OMPMul.exe	1862	12742	222	10580	23136	912	26	206	112
multiply_matrices_ijk_ikj_1300_52$omp$1	OMPMul.exe	2108	13835	188	12202	22056	853	25	230	135
multiply_matrices_ijk_ikj_1300_65$omp$1	OMPMul.exe	2018	13562	216	11762	22915	703	19	150	89
multiply_matrices_ijk_ikj_1300_650$omp$1	OMPMul.exe	2016	12920	354	11907	20966	24	79	67	32
multiply_matrices_ijk_ikj_1350_135$omp$1	OMPMul.exe	2221	14175	957	12367	23558	426	12	164	99
multiply_matrices_ijk_ikj_1350_1350$omp$1	OMPMul.exe	2799	14381	309	16177	23582	3	55	1603	1065
multiply_matrices_ijk_ikj_1350_150$omp$1	OMPMul.exe	2223	14161	896	12285	23542	384	15	205	130
multiply_matrices_ijk_ikj_1350_225$omp$1	OMPMul.exe	2089	13861	614	11443	22770	281	8	127	72
multiply_matrices_ijk_ikj_1350_270$omp$1	OMPMul.exe	2058	13826	586	11285	22627	241	11	147	96
multiply_matrices_ijk_ikj_1350_450$omp$1	OMPMul.exe	2366	14404	475	13334	23344	90	76	88	49
multiply_matrices_ijk_ikj_1350_50$omp$1	OMPMul.exe	2069	14411	234	11719	26167	1016	29	207	98
multiply_matrices_ijk_ikj_1350_54$omp$1	OMPMul.exe	2382	15250	250	13750	26276	935	30	254	146
multiply_matrices_ijk_ikj_1350_675$omp$1	OMPMul.exe	2286	14714	432	13513	23852	22	90	74	40
multiply_matrices_ijk_ikj_1350_75$omp$1	OMPMul.exe	2269	15025	229	12687	25155	698	17	157	84
multiply_matrices_ijk_ikj_1350_90$omp$1	OMPMul.exe	2192	14479	417	12340	24274	607	16	129	71
multiply_matrices_ijk_ikj_1400_100$omp$1	OMPMul.exe	2404	16039	619	13454	26246	616	18	182	108
multiply_matrices_ijk_ikj_1400_140$omp$1	OMPMul.exe	2469	15841	1000	13859	25787	460	10	170	100
multiply_matrices_ijk_ikj_1400_1400$omp$1	OMPMul.exe	3009	15386	339	17243	25167	3	60	2043	1504
multiply_matrices_ijk_ikj_1400_175$omp$1	OMPMul.exe	2410	15555	853	12979	25301	386	8	176	116
multiply_matrices_ijk_ikj_1400_200$omp$1	OMPMul.exe	2386	15591	746	13088	25333	340	10	173	106
multiply_matrices_ijk_ikj_1400_280$omp$1	OMPMul.exe	2291	15407	587	12703	24996	263	9	168	105
multiply_matrices_ijk_ikj_1400_350$omp$1	OMPMul.exe	2458	15878	594	13940	25864	203	19	132	83
multiply_matrices_ijk_ikj_1400_50$omp$1	OMPMul.exe	2289	16008	278	13079	29082	1130	35	229	116
multiply_matrices_ijk_ikj_1400_56$omp$1	OMPMul.exe	2582	16577	249	14821	27887	1015	32	238	145
multiply_matrices_ijk_ikj_1400_70$omp$1	OMPMul.exe	2568	16797	256	14357	28116	835	20	194	107
multiply_matrices_ijk_ikj_1400_700$omp$1	OMPMul.exe	2518	16261	455	14879	26340	21	97	74	46
multiply_matrices_ijk_ikj_1450_145$omp$1	OMPMul.exe	2743	17511	1110	15156	28097	501	15	182	106
multiply_matrices_ijk_ikj_1450_1450$omp$1	OMPMul.exe	3359	17691	354	19185	28744	6	64	2241	1873
multiply_matrices_ijk_ikj_1450_290$omp$1	OMPMul.exe	2567	16936	688	13901	27648	281	15	206	122
multiply_matrices_ijk_ikj_1450_50$omp$1	OMPMul.exe	2564	17854	303	14614	32433	1257	42	217	127
multiply_matrices_ijk_ikj_1450_58$omp$1	OMPMul.exe	2904	18740	275	16498	31648	1109	31	303	172
multiply_matrices_ijk_ikj_1450_725$omp$1	OMPMul.exe	2801	17688	488	16204	28723	24	106	108	46
multiply_matrices_ijk_ikj_1500_100$omp$1	OMPMul.exe	2945	19637	752	16520	32165	765	21	225	130
multiply_matrices_ijk_ikj_1500_125$omp$1	OMPMul.exe	3090	19357	1389	17055	32083	631	17	244	138
multiply_matrices_ijk_ikj_1500_150$omp$1	OMPMul.exe	3016	19077	1159	16527	31635	539	12	201	119
multiply_matrices_ijk_ikj_1500_1500$omp$1	OMPMul.exe	3437	19500	313	20479	31968	6	65	2397	2080
multiply_matrices_ijk_ikj_1500_250$omp$1	OMPMul.exe	2853	19114	828	15643	31130	349	12	167	101
multiply_matrices_ijk_ikj_1500_300$omp$1	OMPMul.exe	2839	19474	759	16243	31608	289	13	178	128
multiply_matrices_ijk_ikj_1500_375$omp$1	OMPMul.exe	3103	20594	778	18921	33602	200	43	164	88
multiply_matrices_ijk_ikj_1500_50$omp$1	OMPMul.exe	3053	20387	347	17403	36272	1383	43	258	142
multiply_matrices_ijk_ikj_1500_500$omp$1	OMPMul.exe	2999	19662	614	18182	31662	83	123	132	74
multiply_matrices_ijk_ikj_1500_60$omp$1	OMPMul.exe	3141	20728	339	17991	34488	1172	35	271	164
multiply_matrices_ijk_ikj_1500_75$omp$1	OMPMul.exe	3111	20532	385	17377	34372	969	24	217	116
multiply_matrices_ijk_ikj_1500_750$omp$1	OMPMul.exe	2911	19879	571	18110	32246	26	116	97	48
multiply_matrices_ijk_ikj_150_150$omp$1	OMPMul.exe	3	15	1	14	23	1		1	1
multiply_matrices_ijk_ikj_150_50$omp$1	OMPMul.exe	3	29		23	46	1		2	1
