Function	Module	Timer	DC accesses	DC misses	CPU clocks	Ret inst	DTLB L1M L2H	DTLB L1M L2M	Read req L3	L3 misses
multiply_matrices_ijk_1500(void)	OMPMul.exe	47868	13205	62263	275117	22892	4059	67751	72246	3101
multiply_matrices_ijk_1450(void)	OMPMul.exe	42364	12038	53164	248667	21610	4181	59945	36377	2550
multiply_matrices_ijk_1400(void)	OMPMul.exe	38499	10843	46541	222969	19001	4127	53920	28863	1737
multiply_matrices_ijk_1350(void)	OMPMul.exe	33517	9969	44694	197850	17235	4341	47526	26562	1345
multiply_matrices_ijk_1300(void)	OMPMul.exe	29871	8974	32682	173134	15344	4327	42354	19963	945
multiply_matrices_ijk_1250(void)	OMPMul.exe	26179	7464	31508	152508	13521	4439	37026	18586	680
multiply_matrices_ijk_1200(void)	OMPMul.exe	22575	6508	21081	133303	12186	4255	32150	12619	479
multiply_matrices_ijk_1150(void)	OMPMul.exe	19400	6049	16651	113689	11482	4730	27314	9651	221
multiply_matrices_ijk_1100(void)	OMPMul.exe	16731	5309	19361	98972	10179	4447	23876	11437	173
multiply_matrices_ijk_1050(void)	OMPMul.exe	14232	4447	11911	82753	7219	4408	20266	7039	130
multiply_matrices_ijk_1000(void)	OMPMul.exe	11231	4088	5771	66195	7160	4502	16310	3565	74
multiply_matrices_ijk_950(void)	OMPMul.exe	8567	3359	6863	49749	5821	4916	12162	4264	58
multiply_matrices_ijk_900(void)	OMPMul.exe	6067	2827	4810	35018	4862	5356	8677	3463	70
multiply_matrices_ijk_850(void)	OMPMul.exe	3799	2365	3906	22639	4232	5903	5696	2441	20
multiply_matrices_ikj_1500(void)	OMPMul.exe	2801	6634	313	15951	10928	6	68	4823	2217
multiply_matrices_ijk_ikj_1450_1450(void)	OMPMul.exe	2585	7704	313	16055	16097	3	63	2187	1445
multiply_matrices_ijk_ikj_1500_125(void)	OMPMul.exe	2576	11063	1336	14276	23392	627	22	2627	49
multiply_matrices_ijk_ikj_1400_1400(void)	OMPMul.exe	2458	5567	292	14015	14502	2	56	1921	988
multiply_matrices_ikj_1450(void)	OMPMul.exe	2400	7792	282	15367	10020	6	61	2108	1331
multiply_matrices_ijk_ikj_1500_150(void)	OMPMul.exe	2353	7713	993	10443	18673	624	15	3719	50
multiply_matrices_ijk_800(void)	OMPMul.exe	2344	1552	8103	12233	2844	7030	3718	6701	16
multiply_matrices_ijk_ikj_1450_725(void)	OMPMul.exe	2289	9960	565	14161	20183	22	106	2349	32
multiply_matrices_ijk_ikj_1500_75(void)	OMPMul.exe	2223	11507	314	12979	25827	936	24	286	45
multiply_matrices_ijk_ikj_1500_50(void)	OMPMul.exe	2153	10123	333	13127	27252	1347	45	335	57
multiply_matrices_ikj_1350(void)	OMPMul.exe	2142	6514	249	12683	8429	7	45	1670	676
multiply_matrices_ijk_ikj_1500_250(void)	OMPMul.exe	2134	8870	812	11615	21479	354	11	3013	32
multiply_matrices_ijk_ikj_1500_60(void)	OMPMul.exe	2093	8620	268	12255	26576	1160	32	312	57
multiply_matrices_ikj_1400(void)	OMPMul.exe	2076	5606	279	12905	8805	5	58	1976	1076
multiply_matrices_ijk_ikj_1450_50(void)	OMPMul.exe	2051	9196	307	11583	24814	1206	34	325	69
multiply_matrices_ijk_ikj_1450_145(void)	OMPMul.exe	1984	9333	1102	12154	19464	515	17	3053	29
multiply_matrices_ijk_ikj_1500_100(void)	OMPMul.exe	1944	8105	588	11613	24673	730	21	424	38
multiply_matrices_ijk_ikj_1450_58(void)	OMPMul.exe	1871	9105	259	11470	24215	1049	32	287	47
multiply_matrices_ijk_ikj_1400_700(void)	OMPMul.exe	1734	5157	422	8453	15076	26	107	2317	17
multiply_matrices_ijk_ikj_1400_350(void)	OMPMul.exe	1716	7160	567	9975	17011	189	23	2037	26
multiply_matrices_ijk_ikj_1450_290(void)	OMPMul.exe	1701	7668	648	10098	18466	280	15	2727	31
multiply_matrices_ikj_1300(void)	OMPMul.exe	1614	4547	221	9452	7400	2	41	1489	358
multiply_matrices_ijk_ikj_1300_130(void)	OMPMul.exe	1585	6171	887	8801	15167	388	9	3231	186
multiply_matrices_ijk_ikj_1250_625(void)	OMPMul.exe	1566	6403	358	9153	13024	28	53	1716	77
multiply_matrices_ijk_ikj_1250_1250(void)	OMPMul.exe	1547	5215	232	9238	11017	3	39	1413	219
multiply_matrices_ijk_ikj_1300_50(void)	OMPMul.exe	1498	6409	206	8439	17437	891	29	658	53
multiply_matrices_ijk_ikj_1250_125(void)	OMPMul.exe	1494	6325	768	8239	13376	377	10	1860	105
multiply_matrices_ijk_ikj_1300_65(void)	OMPMul.exe	1488	7230	181	8391	16542	700	20	443	94
multiply_matrices_ijk_ikj_1300_52(void)	OMPMul.exe	1457	5833	207	8509	18208	834	24	237	41
multiply_matrices_ijk_ikj_1300_650(void)	OMPMul.exe	1439	5580	383	8209	13227	32	74	1819	23
multiply_matrices_ijk_ikj_1300_325(void)	OMPMul.exe	1424	6852	468	8387	14264	173	14	2621	46
multiply_matrices_ijk_ikj_1300_260(void)	OMPMul.exe	1300	4777	519	6928	13886	225	7	2794	72
multiply_matrices_ijk_ikj_1300_100(void)	OMPMul.exe	1297	5138	367	7415	15648	492	11	763	70
multiply_matrices_ijk_750(void)	OMPMul.exe	1275	1345	5187	6882	2319	7766	1191	4256	20
multiply_matrices_ijk_ikj_1250_250(void)	OMPMul.exe	1264	5138	465	6821	12456	206	9	2229	51
multiply_matrices_ikj_1250(void)	OMPMul.exe	1236	5119	201	7894	6722	1	37	1251	118
multiply_matrices_ijk_ikj_1150_575(void)	OMPMul.exe	1211	5007	287	7096	10221	33	30	1211	55
