Function	Timer	DC accesses	DC misses	CPU clocks	Ret inst	DTLB L1M L2H	DTLB L1M L2M	DRAM accesses	L3 misses	time
ikj_50	0.00	0.00	0.00	0.00	0.00	0.00	0.00	16666.67	0.00	0.0003
ijk_50	0.00	83333.33	0.00	166666.67	166666.67	0.00	0.00	0.00	0.00	0.0000
ikj_100	0.33	750000.00	0.00	666666.67	1083333.33	0.00	0.00	0.00	0.00	0.0007
ijk_100	1.67	500000.00	8333.33	1000000.00	833333.33	0.00	0.00	133333.33	16666.67	0.0017
ikj_150	1.67	3166666.67	8333.33	2666666.67	4250000.00	0.00	0.00	0.00	0.00	0.0017
ijk_150	4.67	4083333.33	116666.67	9166666.67	7333333.33	0.00	0.00	100000.00	0.00	0.0050
ikj_200	2.67	4333333.33	0.00	4500000.00	7166666.67	0.00	0.00	116666.67	16666.67	0.0033
ijk_200	12.00	7833333.33	533333.33	18250000.00	13833333.33	8333.33	0.00	416666.67	33333.33	0.0137
ikj_250	6.67	9833333.33	25000.00	9666666.67	13083333.33	0.00	0.00	266666.67	16666.67	0.0067
ijk_250	23.00	15500000.00	516666.67	35333333.33	27166666.67	2033333.33	0.00	533333.33	33333.33	0.0253
ikj_300	10.00	15166666.67	16666.67	15083333.33	25416666.67	16666.67	0.00	350000.00	0.00	0.0107
ijk_300	39.67	25583333.33	866666.67	57916666.67	45416666.67	4325000.00	8333.33	1000000.00	66666.67	0.0437
ikj_350	17.00	24083333.33	83333.33	24333333.33	33833333.33	41666.67	0.00	916666.67	50000.00	0.0193
ijk_350	62.00	41250000.00	2000000.00	92583333.33	72916666.67	7975000.00	8333.33	1683333.33	166666.67	0.0703
ikj_400	28.00	31916666.67	66666.67	42166666.67	52083333.33	33333.33	0.00	1050000.00	66666.67	0.0310
ijk_400	105.67	64166666.67	2183333.33	164833333.33	113083333.33	13150000.00	0.00	2266666.67	316666.67	0.1170
ikj_450	44.00	64583333.33	233333.33	81916666.67	86166666.67	50000.00	8333.33	900000.00	66666.67	0.0563
ijk_450	139.33	87333333.33	4850000.00	208500000.00	155833333.33	22325000.00	0.00	2366666.67	183333.33	0.1590
ikj_500	53.00	58250000.00	200000.00	78083333.33	97500000.00	50000.00	0.00	1783333.33	166666.67	0.0610
ijk_500	224.00	122166666.67	21950000.00	338250000.00	215916666.67	34858333.33	16666.67	11050000.00	483333.33	0.2487
ikj_550	82.33	107750000.00	291666.67	133500000.00	143750000.00	66666.67	16666.67	2433333.33	183333.33	0.0937
ijk_550	264.33	157000000.00	12291666.67	389916666.67	281250000.00	54366666.67	83333.33	7350000.00	433333.33	0.2947
ikj_600	92.00	112000000.00	391666.67	153583333.33	185833333.33	100000.00	0.00	2333333.33	83333.33	0.1030
ijk_600	358.67	216916666.67	12633333.33	543833333.33	378583333.33	75858333.33	125000.00	5516666.67	433333.33	0.3930
ikj_650	133.00	156083333.33	525000.00	196250000.00	205500000.00	158333.33	0.00	4200000.00	216666.67	0.1527
ijk_650	449.67	272250000.00	18166666.67	685750000.00	485250000.00	108550000.00	691666.67	9116666.67	900000.00	0.5110
ikj_700	148.33	170916666.67	633333.33	226166666.67	283250000.00	166666.67	33333.33	4400000.00	266666.67	0.1650
ijk_700	591.67	346083333.33	22866666.67	910666666.67	614000000.00	148550000.00	2000000.00	10716666.67	950000.00	0.6797
ikj_750	220.67	265250000.00	866666.67	332916666.67	350250000.00	175000.00	33333.33	5900000.00	233333.33	0.2410
ijk_750	1411.33	388833333.33	149833333.33	1992833333.33	670750000.00	174150000.00	26541666.67	73283333.33	1683333.33	1.5640
ikj_800	227.00	259000000.00	1075000.00	358916666.67	427833333.33	133333.33	100000.00	7733333.33	300000.00	0.2517
ijk_800	2532.33	448166666.67	233566666.67	3540333333.33	819250000.00	159658333.33	83833333.33	113133333.33	1100000.00	2.7840
ikj_850	327.67	402750000.00	1358333.33	509583333.33	528750000.00	125000.00	166666.67	6900000.00	183333.33	0.3527
ijk_850	3893.33	595833333.33	98800000.00	5749666666.67	1073916666.67	146066666.67	140725000.00	43133333.33	1866666.67	4.1300
ikj_900	326.67	387583333.33	1916666.67	530500000.00	640750000.00	108333.33	275000.00	9566666.67	283333.33	0.3620
ijk_900	6023.00	716333333.33	121991666.67	8810666666.67	1225250000.00	133925000.00	215708333.33	62183333.33	3666666.67	6.2947
ikj_950	477.67	527583333.33	1991666.67	676750000.00	696250000.00	100000.00	333333.33	11533333.33	250000.00	0.4940
ijk_950	8512.33	849500000.00	171250000.00	12506750000.00	1474333333.33	123383333.33	302416666.67	76966666.67	4600000.00	8.8570
ikj_1000	481.00	506916666.67	2441666.67	707416666.67	832333333.33	100000.00	400000.00	12100000.00	366666.67	0.5010
ijk_1000	11216.00	1036750000.00	144075000.00	16663416666.67	1738000000.00	112891666.67	404366666.67	67133333.33	6083333.33	11.7330
ikj_1050	628.67	698750000.00	2666666.67	903750000.00	916416666.67	133333.33	516666.67	15750000.00	433333.33	0.6687
ijk_1050	14177.33	1106166666.67	299583333.33	20910416666.67	1789083333.33	110316666.67	501833333.33	127700000.00	8900000.00	14.7767
ikj_1100	662.33	675250000.00	3200000.00	968250000.00	1112500000.00	83333.33	575000.00	17583333.33	1183333.33	0.6840
ijk_1100	16930.33	1335166666.67	486991666.67	25047750000.00	2570833333.33	110383333.33	592191666.67	204150000.00	12033333.33	17.6540
ikj_1150	836.33	907166666.67	3475000.00	1214916666.67	1192416666.67	100000.00	716666.67	23400000.00	1183333.33	0.9053
ijk_1150	19391.33	1511500000.00	415591666.67	28567000000.00	2889750000.00	118675000.00	680700000.00	177933333.33	15883333.33	20.1493
ikj_1200	870.67	852583333.33	4241666.67	1302666666.67	1407416666.67	125000.00	766666.67	24233333.33	1766666.67	0.9327
ijk_1200	22616.67	1660083333.33	527408333.33	33518500000.00	3070583333.33	106408333.33	800891666.67	236683333.33	28316666.67	23.7183
ikj_1250	1323.00	1327000000.00	5191666.67	2097333333.33	1737333333.33	58333.33	841666.67	26533333.33	6333333.33	1.3983
ijk_1250	25123.67	1854416666.67	756175000.00	36920083333.33	3269416666.67	103691666.67	868883333.33	341966666.67	37533333.33	27.4883
ikj_1300	1092.67	773916666.67	3758333.33	1638833333.33	1260583333.33	16666.67	683333.33	33600000.00	12183333.33	1.7017
ijk_1300	19981.00	1508416666.67	548475000.00	29166500000.00	2563833333.33	71150000.00	701325000.00	357050000.00	35900000.00	31.1770
ikj_1350	1445.00	1080166666.67	4208333.33	2134000000.00	1395666666.67	100000.00	791666.67	44900000.00	22983333.33	2.2333
ijk_1350	22533.00	1659833333.33	748091666.67	33336583333.33	2879250000.00	71633333.33	787783333.33	473250000.00	48266666.67	35.4207
ikj_1400	1469.00	926500000.00	4441666.67	2180333333.33	1468083333.33	75000.00	958333.33	61333333.33	37350000.00	2.3817
ijk_1400	25750.67	1814916666.67	779691666.67	37525500000.00	3180500000.00	68358333.33	893866666.67	517350000.00	60450000.00	40.1773
ikj_1450	1689.67	1302833333.33	4566666.67	2599083333.33	1680916666.67	75000.00	1016666.67	69450000.00	49483333.33	2.7650
ijk_1450	28477.00	2020916666.67	888291666.67	41786250000.00	3591583333.33	68758333.33	994741666.67	649783333.33	79750000.00	44.4907
ikj_1500	1881.33	1090166666.67	4958333.33	2628500000.00	1794000000.00	116666.67	1158333.33	119583333.33	71933333.33	2.9097
ijk_1500	32130.67	2216250000.00	1047900000.00	46718083333.33	3769083333.33	66416666.67	1118083333.33	1252050000.00	93833333.33	50.1730
ijk_ikj_50_50	0.00	83333.33	0.00	166666.67	333333.33	0.00	0.00	0.00	0.00	0.0000
ijk_ikj_100_50	1.00	416666.67	8333.33	583333.33	833333.33	0.00	0.00	0.00	0.00	0.0010
ijk_ikj_100_100	0.33	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.0003
ijk_ikj_150_50	1.67	1250000.00	0.00	1416666.67	2833333.33	0.00	0.00	16666.67	16666.67	0.0020
ijk_ikj_150_75	2.00	1083333.33	0.00	1083333.33	1916666.67	0.00	0.00	50000.00	0.00	0.0017
ijk_ikj_150_150	1.33	1666666.67	0.00	1583333.33	2916666.67	0.00	0.00	33333.33	0.00	0.0020
ijk_ikj_200_50	2.67	4083333.33	8333.33	4666666.67	10333333.33	0.00	0.00	50000.00	0.00	0.0043
ijk_ikj_200_100	2.67	2666666.67	33333.33	3083333.33	7083333.33	0.00	0.00	116666.67	0.00	0.0043
ijk_ikj_200_200	2.67	2833333.33	16666.67	3500000.00	7083333.33	0.00	0.00	50000.00	0.00	0.0040
ijk_ikj_250_50	6.00	7333333.33	25000.00	8333333.33	17166666.67	0.00	0.00	66666.67	33333.33	0.0083
ijk_ikj_250_125	7.00	8750000.00	100000.00	10833333.33	16083333.33	0.00	0.00	166666.67	0.00	0.0107
ijk_ikj_250_250	5.33	4166666.67	0.00	4916666.67	7333333.33	16666.67	0.00	316666.67	16666.67	0.0080
ijk_ikj_300_50	10.00	14916666.67	33333.33	16666666.67	33916666.67	0.00	0.00	33333.33	0.00	0.0143
ijk_ikj_300_60	10.00	9333333.33	41666.67	11166666.67	24333333.33	0.00	8333.33	133333.33	50000.00	0.0140
ijk_ikj_300_75	9.67	13750000.00	33333.33	13666666.67	26083333.33	0.00	0.00	33333.33	66666.67	0.0147
ijk_ikj_300_100	8.33	9250000.00	41666.67	10750000.00	23166666.67	0.00	0.00	50000.00	16666.67	0.0127
ijk_ikj_300_150	11.67	12916666.67	150000.00	16083333.33	25416666.67	8333.33	0.00	500000.00	0.00	0.0170
ijk_ikj_300_300	8.33	9250000.00	41666.67	11416666.67	20750000.00	25000.00	0.00	466666.67	100000.00	0.0130
ijk_ikj_350_50	15.67	18000000.00	66666.67	18916666.67	40416666.67	8333.33	8333.33	133333.33	16666.67	0.0220
ijk_ikj_350_70	15.67	17916666.67	33333.33	18750000.00	39916666.67	0.00	0.00	66666.67	0.00	0.0220
ijk_ikj_350_175	19.00	25666666.67	250000.00	29000000.00	43083333.33	25000.00	0.00	700000.00	83333.33	0.0283
ijk_ikj_350_350	14.67	19583333.33	33333.33	21833333.33	37000000.00	16666.67	0.00	366666.67	0.00	0.0220
ijk_ikj_400_50	23.00	29083333.33	100000.00	31416666.67	66583333.33	8333.33	0.00	166666.67	16666.67	0.0333
ijk_ikj_400_80	17.67	21250000.00	125000.00	26500000.00	52666666.67	0.00	0.00	216666.67	66666.67	0.0280
