Function	Timer	DC accesses	DC misses	CPU clocks	Ret inst	DTLB L1M L2H	DTLB L1M L2M	DRAM accesses	L3 misses	time
ikj_50								1		0.0000
ijk_50		1		2	2					0.0000
ikj_100		5		4	6					0.0000
ijk_100	3	6	1	12	10			1	1	0.0000
ikj_150	3	19		20	26					0.0000
ijk_150	9	32	10	70	57			1		0.0000
ikj_200	5	30		33	50			1		0.0000
ijk_200	22	63	44	148	113			3	2	0.0001
ikj_250	14	74	3	75	98			3	1	0.0000
ijk_250	45	132	44	297	229	156		2	1	0.0001
ikj_300	22	118	1	125	198	2				0.0000
ijk_300	77	215	73	484	383	331	1	4	2	0.0002
ikj_350	35	216	8	219	307	3		3	2	0.0001
ijk_350	133	313	155	707	553	661	1	15	7	0.0003
ikj_400	59	242	6	327	397	3		6	3	0.0001
ijk_400	211	499	167	1285	878	1070		25	16	0.0005
ikj_450	94	477	16	612	629	3	1	6	3	0.0002
ijk_450	284	705	385	1684	1249	1753		22	10	0.0006
ikj_500	111	439	11	601	729	4		16	8	0.0002
ijk_500	451	996	1794	2775	1766	2693	1	44	25	0.0010
ikj_550	171	789	18	997	1059	5		14	7	0.0004
ijk_550	533	1325	1033	3301	2383	4041	6	35	18	0.0012
ikj_600	198	872	29	1217	1440	8		11	5	0.0004
ijk_600	721	1749	1020	4379	3052	5977	11	31	21	0.0015
ikj_650	281	1312	45	1677	1726	12		20	12	0.0006
ijk_650	919	2214	1476	5587	3947	8417	54	85	49	0.0020
ikj_700	310	1384	55	1868	2297	14	2	26	15	0.0007
ijk_700	1192	2732	1802	7244	4848	11887	159	99	52	0.0027
ikj_750	474	2254	74	2860	2985	13	2	22	10	0.0010
ijk_750	2959	3321	12793	17032	5730	13132	1994	141	81	0.0061
ikj_800	475	2082	90	2961	3433	11	7	12	10	0.0010
ijk_800	5253	3826	19925	30251	6987	12129	6342	87	50	0.0109
ikj_850	683	3154	102	4063	4166	10	13	21	9	0.0014
ijk_850	7881	4785	7950	46357	8655	11625	11191	147	92	0.0161
ikj_900	673	3108	151	4330	5142	7	22	23	12	0.0014
ijk_900	12002	5769	9829	70710	9841	10715	17208	268	150	0.0246
ikj_950	967	4518	170	5862	5956	9	26	19	10	0.0020
ijk_950	16970	6835	13687	100332	11871	9890	24128	354	218	0.0345
ikj_1000	976	4158	204	5956	6814	10	31	29	16	0.0020
ijk_1000	22417	8353	11518	133766	13696	9045	32214	463	291	0.0458
ikj_1050	1268	5993	231	7856	7866	11	37	36	16	0.0027
ijk_1050	28300	8827	24039	168172	14250	8830	39954	623	404	0.0577
ikj_1100	1372	5638	260	8340	9290	7	41	98	61	0.0028
ijk_1100	34060	10713	39078	201601	20671	8799	47187	812	549	0.0690
ikj_1150	1783	8136	318	11092	10761	6	48	86	51	0.0036
ijk_1150	38774	12089	33220	229115	23195	9511	54370	1025	732	0.0787
ikj_1200	1870	7396	363	11522	12195	8	55	122	76	0.0038
ijk_1200	45275	13413	42208	268919	24661	8514	63957	1582	1220	0.0926
ikj_1250	2733	10805	422	17274	14126	6	64	341	262	0.0055
ijk_1250	49192	14789	59233	290533	25712	8004	67240	1932	1572	0.1076
ikj_1300	1664	4740	230	10214	7727		41	527	373	0.0067
ijk_1300	30072	9127	33135	176864	15422	4211	41805	1460	1209	0.1219
ikj_1350	2193	6448	256	12925	8319	5	50	1024	703	0.0088
ijk_1350	34082	9949	45077	202189	17316	4255	47008	1833	1551	0.1386
ikj_1400	2331	5512	254	13259	8812	4	57	1704	1165	0.0094
ijk_1400	38753	10936	47022	227337	19165	4076	53344	2178	1890	0.1572
ikj_1450	2669	7842	266	15822	10151	3	61	2059	1638	0.0109
ijk_1450	43067	12213	53431	252768	21489	4070	59424	2610	2235	0.1740
ikj_1500	2843	6448	282	15591	10600	8	71	2352	2099	0.0114
ijk_1500	48524	13390	63485	285500	22337	3911	66419	2877	2529	0.1970
ijk_ikj_100_50	1	1		2	2					0.0000
ijk_ikj_100_100	1									0.0000
ijk_ikj_150_50	2	6		6	13					0.0000
ijk_ikj_150_75	2	11		10	15			1		0.0000
ijk_ikj_150_150	2	11		10	15					0.0000
ijk_ikj_200_50	4	18		21	43			1		0.0000
ijk_ikj_200_100	3	11	1	12	23			1		0.0000
ijk_ikj_200_200	3	9	1	10	16					0.0000
ijk_ikj_250_50	7	47	2	48	88					0.0000
ijk_ikj_250_125	10	44	6	48	58					0.0000
ijk_ikj_250_250	8	32		37	47	1		1		0.0000
ijk_ikj_300_50	13	86	3	84	156					0.0000
ijk_ikj_300_60	12	55	2	56	118			1		0.0000
ijk_ikj_300_75	12	76	2	66	112				1	0.0000
ijk_ikj_300_100	10	62	3	63	126				1	0.0001
ijk_ikj_300_150	14	75	8	89	116	1		1		0.0000
ijk_ikj_300_300	12	59	3	68	110	1		1	1	0.0001
ijk_ikj_350_50	19	97	4	84	170			2		0.0000
ijk_ikj_350_70	20	102	1	91	185					0.0001
ijk_ikj_350_175	27	152	15	160	189	1				0.0001
ijk_ikj_350_350	21	93	1	104	141	1				0.0001
ijk_ikj_400_50	27	160	6	149	288					0.0001
ijk_ikj_400_80	21	137	9	153	277					0.0001
ijk_ikj_400_100	27	126	13	146	250					0.0001
ijk_ikj_400_200	30	122	18	154	215	3		1		0.0001
ijk_ikj_400_400	33	141	6	211	242	2			1	0.0001
ijk_ikj_450_50	38	228	8	214	419			1	2	0.0001
ijk_ikj_450_75	43	246	3	220	369			2	1	0.0002
ijk_ikj_450_90	38	281	9	258	466					0.0002
ijk_ikj_450_150	53	278	38	323	425	4		2	1	0.0002
ijk_ikj_450_225	51	248	23	260	305	3		1		0.0002
ijk_ikj_450_450	48	229	6	290	334	3		2		0.0002
