Function	Module	Timer	DC accesses	DC misses	CPU clocks	Ret inst	DTLB L1M L2H	DTLB L1M L2M	L1 DTLB hit	DRAM accesses	Read req L3	L3 misses
multiply_matrices_ijk_1500(void)	OMPMul.exe	92031	18481	86957	564399	250213	2556	43187	148158	5899	50469	3318
multiply_matrices_ijk_1450(void)	OMPMul.exe	83017	16690	78517	506356	226158	2577	38649	133999	5212	45399	2824
multiply_matrices_ijk_1400(void)	OMPMul.exe	72322	14972	70472	451907	205146	2632	34453	120954	5122	41553	2687
multiply_matrices_ijk_1350(void)	OMPMul.exe	65962	13402	62977	402501	185012	2700	30765	108469	4463	37101	2289
multiply_matrices_ijk_1300(void)	OMPMul.exe	57178	12119	56058	353640	165659	2744	27150	97122	2964	32016	1658
multiply_matrices_ijk_1250(void)	OMPMul.exe	42289	8961	41252	257220	122210	2286	19569	71281	2000	23608	1080
multiply_matrices_ijk_1150(void)	OMPMul.exe	35872	7896	36441	222612	113609	2628	16958	63620	1229	20601	589
multiply_matrices_ijk_1100(void)	OMPMul.exe	33010	7340	33709	202793	107773	2783	15328	58842	920	18846	400
multiply_matrices_ijk_1050(void)	OMPMul.exe	29467	6345	28822	172860	92615	2804	13049	50805	714	16550	280
multiply_matrices_ijk_1000(void)	OMPMul.exe	21974	5050	22805	131604	64900	2569	9982	40645	442	12927	177
multiply_matrices_ijk_1200(void)	OMPMul.exe	21783	4682	21791	135198	67498	1396	10410	38297	807	12327	444
multiply_matrices_ijk_950(void)	OMPMul.exe	9930	2345	10564	59269	30777	1395	4520	18813	237	6097	92
multiply_matrices_ijk_900(void)	OMPMul.exe	8251	1946	8942	47508	26943	1384	3716	16288	120	5007	42
multiply_matrices_ikj_1500(void)	OMPMul.exe	7425	26802	624	42489	307414	64	42	231360	4893	3679	2659
multiply_matrices_ikj_1450(void)	OMPMul.exe	6895	24902	643	40478	284034	46	39	205695	4369	3320	2282
multiply_matrices_ikj_1400(void)	OMPMul.exe	6386	21967	639	36727	255513	43	44	185744	3965	3033	1824
multiply_matrices_ijk_850(void)	OMPMul.exe	6033	1671	7480	38074	23111	1391	2989	13570	244	4369	88
multiply_matrices_ikj_1350(void)	OMPMul.exe	5772	19747	594	31945	226765	55	36	167773	3369	2754	1377
multiply_matrices_ikj_1300(void)	OMPMul.exe	5513	17697	493	28939	203738	49	35	148592	2241	2426	879
