Function	Module	Timer	DC accesses	DC misses	CPU clocks	Ret inst	DTLB L1M L2H	DTLB L1M L2M	DRAM accesses	L3 misses
multiply_matrices_ijk_1250(void)	OMPMul.exe	49192	14789	59233	290533	25712	8004	67240	1932	1572
multiply_matrices_ijk_1500(void)	OMPMul.exe	48524	13390	63485	285500	22337	3911	66419	2877	2529
multiply_matrices_ijk_1200(void)	OMPMul.exe	45275	13413	42208	268919	24661	8514	63957	1582	1220
multiply_matrices_ijk_1450(void)	OMPMul.exe	43067	12213	53431	252768	21489	4070	59424	2610	2235
multiply_matrices_ijk_1150(void)	OMPMul.exe	38774	12089	33220	229115	23195	9511	54370	1025	732
multiply_matrices_ijk_1400(void)	OMPMul.exe	38753	10936	47022	227337	19165	4076	53344	2178	1890
multiply_matrices_ijk_1350(void)	OMPMul.exe	34082	9949	45077	202189	17316	4255	47008	1833	1551
multiply_matrices_ijk_1100(void)	OMPMul.exe	34060	10713	39078	201601	20671	8799	47187	812	549
multiply_matrices_ijk_1300(void)	OMPMul.exe	30072	9127	33135	176864	15422	4211	41805	1460	1209
multiply_matrices_ijk_1050(void)	OMPMul.exe	28300	8827	24039	168172	14250	8830	39954	623	404
multiply_matrices_ijk_1000(void)	OMPMul.exe	22417	8353	11518	133766	13696	9045	32214	463	291
multiply_matrices_ijk_950(void)	OMPMul.exe	16970	6835	13687	100332	11871	9890	24128	354	218
multiply_matrices_ijk_900(void)	OMPMul.exe	12002	5769	9829	70710	9841	10715	17208	268	150
multiply_matrices_ijk_850(void)	OMPMul.exe	7881	4785	7950	46357	8655	11625	11191	147	92
multiply_matrices_ijk_ikj_1500_1500(void)	OMPMul.exe	5786	13352	603	33279	23821	9	144	4539	3977
multiply_matrices_ijk_800(void)	OMPMul.exe	5253	3826	19925	30251	6987	12129	6342	87	50
multiply_matrices_ijk_ikj_1500_375(void)	OMPMul.exe	4701	21095	1461	27967	25991	430	81	214	129
multiply_matrices_ijk_ikj_1350_1350(void)	OMPMul.exe	4462	12831	527	26483	18101	8	93	2170	1470
