function,Timer,DC accesses,DC misses,CPU clocks,Ret inst,DTLB L1M L2H,DTLB L1M L2M,DRAM accesses,L3 misses,time,INST_RETIRED.ANY,CPU_CLK_UNHALTED.THREAD,CPU_CLK_UNHALTED.REF_TSC,DTLB_LOAD_MISSES.MISS_CAUSES_A_WALK,ITLB_MISSES.MISS_CAUSES_A_WALK,MEM_LOAD_RETIRED.L1_HIT_PS,MEM_LOAD_RETIRED.L1_MISS_PS,MEM_LOAD_RETIRED.L2_HIT_PS,MEM_LOAD_RETIRED.L2_MISS_PS,MEM_LOAD_RETIRED.L3_HIT_PS,MEM_LOAD_RETIRED.L3_MISS_PS,time_Avg,time_min,time_max
ikj_100,0.33,750000.00,0.00,666666.67,1083333.33,0.00,0.00,0.00,0.00,0.0007,1733333.3333,533333.3333,533333.3333,0.0000,0.0000,386666.6667,20000.0000,32000.0000,0.0000,0.0000,0.0000,0.0001,0.0000,0.0010
ikj_150,1.67,3166666.67,8333.33,2666666.67,4250000.00,0.00,0.00,0.00,0.00,0.0017,5733333.3333,2466666.6667,2066666.6667,0.0000,0.0000,1393333.3333,126666.6667,105333.3333,0.0000,0.0000,0.0000,0.0008,0.0000,0.0020
ikj_200,2.67,4333333.33,0.00,4500000.00,7166666.67,0.00,0.00,116666.67,16666.67,0.0033,13333333.3333,5200000.0000,4066666.6667,0.0000,0.0000,2566666.6667,240000.0000,334666.6667,12000.0000,8000.0000,0.0000,0.0017,0.0010,0.0030
ikj_250,6.67,9833333.33,25000.00,9666666.67,13083333.33,0.00,0.00,266666.67,16666.67,0.0067,25866666.6667,11066666.6667,9000000.0000,0.0000,0.0000,5653333.3333,500000.0000,472000.0000,33333.3333,29333.3333,1333.3333,0.0033,0.0020,0.0060
ikj_300,10.00,15166666.67,16666.67,15083333.33,25416666.67,16666.67,0.00,350000.00,0.00,0.0107,43866666.6667,17533333.3333,14333333.3333,0.0000,0.0000,6640000.0000,686666.6667,1108000.0000,136000.0000,140000.0000,1333.3333,0.0055,0.0040,0.0090
ikj_350,17.00,24083333.33,83333.33,24333333.33,33833333.33,41666.67,0.00,916666.67,50000.00,0.0193,70000000.0000,31400000.0000,25733333.3333,0.0000,0.0000,12873333.3333,926666.6667,1325333.3333,188000.0000,185333.3333,0.0000,0.0096,0.0080,0.0150
ikj_400,28.00,31916666.67,66666.67,42166666.67,52083333.33,33333.33,0.00,1050000.00,66666.67,0.0310,93600000.0000,38866666.6667,31866666.6667,0.0000,0.0000,13660000.0000,1633333.3333,2616000.0000,438666.6667,433333.3333,2666.6667,0.0128,0.0100,0.0190
ikj_450,44.00,64583333.33,233333.33,81916666.67,86166666.67,50000.00,8333.33,900000.00,66666.67,0.0563,136000000.0000,63866666.6667,52666666.6667,0.0000,0.0000,25946666.6667,2433333.3333,2346666.6667,385333.3333,386666.6667,1333.3333,0.0195,0.0160,0.0300
ikj_500,53.00,58250000.00,200000.00,78083333.33,97500000.00,50000.00,0.00,1783333.33,166666.67,0.0610,186333333.3333,77400000.0000,64066666.6667,0.0000,0.0000,38386666.6667,4626666.6667,3670666.6667,696000.0000,686666.6667,5333.3333,0.0257,0.0200,0.0410
ikj_550,82.33,107750000.00,291666.67,133500000.00,143750000.00,66666.67,16666.67,2433333.33,183333.33,0.0937,251800000.0000,119866666.6667,98600000.0000,0.0000,0.0000,43600000.0000,3826666.6667,4534666.6667,789333.3333,781333.3333,2666.6667,0.0361,0.0310,0.0520
ikj_600,92.00,112000000.00,391666.67,153583333.33,185833333.33,100000.00,0.00,2333333.33,83333.33,0.1030,325533333.3333,132200000.0000,109266666.6667,0.0000,0.0000,61766666.6667,7326666.6667,7032000.0000,1144000.0000,1124000.0000,14666.6667,0.0421,0.0360,0.0640
ikj_650,133.00,156083333.33,525000.00,196250000.00,205500000.00,158333.33,0.00,4200000.00,216666.67,0.1527,418200000.0000,189800000.0000,156733333.3333,0.0000,0.0000,88006666.6667,7873333.3333,6562666.6667,1150666.6667,1142666.6667,10666.6667,0.0620,0.0520,0.0790
ikj_700,148.33,170916666.67,633333.33,226166666.67,283250000.00,166666.67,33333.33,4400000.00,266666.67,0.1650,519600000.0000,214800000.0000,177866666.6667,13333.3333,0.0000,112313333.3333,12220000.0000,9533333.3333,1678666.6667,1656000.0000,18666.6667,0.0705,0.0590,0.0880
ikj_750,220.67,265250000.00,866666.67,332916666.67,350250000.00,175000.00,33333.33,5900000.00,233333.33,0.2410,645133333.3333,282133333.3333,232066666.6667,0.0000,0.0000,138713333.3333,12206666.6667,10237333.3333,1673333.3333,1646666.6667,24000.0000,0.0906,0.0790,0.1130
ikj_800,227.00,259000000.00,1075000.00,358916666.67,427833333.33,133333.33,100000.00,7733333.33,300000.00,0.2517,742866666.6667,312866666.6667,256400000.0000,0.0000,0.0000,143400000.0000,18126666.6667,16114666.6667,2806666.6667,2740000.0000,72000.0000,0.0969,0.0820,0.1160
ikj_850,327.67,402750000.00,1358333.33,509583333.33,528750000.00,125000.00,166666.67,6900000.00,183333.33,0.3527,900866666.6667,411466666.6667,336600000.0000,6666.6667,0.0000,186660000.0000,18046666.6667,14473333.3333,2637333.3333,2540000.0000,93333.3333,0.1283,0.1120,0.1500
ikj_900,326.67,387583333.33,1916666.67,530500000.00,640750000.00,108333.33,275000.00,9566666.67,283333.33,0.3620,1070666666.6667,447600000.0000,362866666.6667,0.0000,0.0000,212133333.3333,26753333.3333,22241333.3333,3962666.6667,3708000.0000,256000.0000,0.1448,0.1210,0.2280
ikj_950,477.67,527583333.33,1991666.67,676750000.00,696250000.00,100000.00,333333.33,11533333.33,250000.00,0.4940,1270533333.3333,591666666.6667,470066666.6667,6666.6667,0.0000,255533333.3333,24366666.6667,20998666.6667,3836000.0000,3462666.6667,374666.6667,0.1867,0.1550,0.2420
ikj_1000,481.00,506916666.67,2441666.67,707416666.67,832333333.33,100000.00,400000.00,12100000.00,366666.67,0.5010,1478733333.3333,634933333.3333,503266666.6667,6666.6667,0.0000,301406666.6667,37246666.6667,30116000.0000,5365333.3333,4709333.3333,648000.0000,0.2298,0.1860,0.3130
ikj_1050,628.67,698750000.00,2666666.67,903750000.00,916416666.67,133333.33,516666.67,15750000.00,433333.33,0.6687,1725200000.0000,835400000.0000,651600000.0000,13333.3333,0.0000,363273333.3333,33906666.6667,27482666.6667,5062666.6667,4288000.0000,769333.3333,0.2702,0.2160,0.3420
ikj_1100,662.33,675250000.00,3200000.00,968250000.00,1112500000.00,83333.33,575000.00,17583333.33,1183333.33,0.6840,1979466666.6667,903400000.0000,704200000.0000,0.0000,0.0000,391193333.3333,47453333.3333,41554666.6667,7792000.0000,5960000.0000,1833333.3333,0.2781,0.2250,0.3540
ikj_1150,836.33,907166666.67,3475000.00,1214916666.67,1192416666.67,100000.00,716666.67,23400000.00,1183333.33,0.9053,2277200000.0000,1172466666.6667,904400000.0000,26666.6667,0.0000,484240000.0000,43953333.3333,35512000.0000,6897333.3333,5052000.0000,1845333.3333,0.3612,0.2970,0.4480
ikj_1200,870.67,852583333.33,4241666.67,1302666666.67,1407416666.67,125000.00,766666.67,24233333.33,1766666.67,0.9327,2499800000.0000,1241466666.6667,956333333.3333,120000.0000,0.0000,488586666.6667,61433333.3333,51682666.6667,10733333.3333,7108000.0000,3636000.0000,0.3843,0.3210,0.4620
ikj_1250,1323.00,1327000000.00,5191666.67,2097333333.33,1737333333.33,58333.33,841666.67,26533333.33,6333333.33,1.3983,2847000000.0000,1611666666.6667,1236666666.6667,426666.6667,0.0000,575126666.6667,54293333.3333,45076000.0000,9874666.6667,5905333.3333,3984000.0000,0.4965,0.4060,0.5920
ikj_1300,1092.67,773916666.67,3758333.33,1638833333.33,1260583333.33,16666.67,683333.33,33600000.00,12183333.33,1.7017,3205933333.3333,1701800000.0000,1304666666.6667,686666.6667,0.0000,637240000.0000,79053333.3333,63568000.0000,15473333.3333,8522666.6667,6960000.0000,0.5179,0.4340,0.6030
