Function / Call Stack,INST_RETIRED.ANY,CPU_CLK_UNHALTED.THREAD,CPU_CLK_UNHALTED.REF_TSC,DTLB_LOAD_MISSES.MISS_CAUSES_A_WALK,ITLB_MISSES.MISS_CAUSES_A_WALK,MEM_LOAD_RETIRED.L1_HIT_PS,MEM_LOAD_RETIRED.L1_MISS_PS,MEM_LOAD_RETIRED.L2_HIT_PS,MEM_LOAD_RETIRED.L2_MISS_PS,MEM_LOAD_RETIRED.L3_HIT_PS,MEM_LOAD_RETIRED.L3_MISS_PS,time_avg,time_min,time_max,type,n,r
ijk_1100,4.69094E+9,7.0316E+9,5.7896E+9,47.096E+6,20E+3,1.31832E+9,1.32116E+9,1.227016E+9,106.772E+6,98.16E+6,3.868E+6,0.5742,0.467,0.783,ijk,1100,0
ijk_1150,5.36028E+9,8.6082E+9,7.0778E+9,58.166E+6,0,1.49042E+9,1.49136E+9,1.413764E+9,123.224E+6,110.628E+6,5.64E+6,0.7066,0.561,1.043,ijk,1150,0
ijk_1200,6.0893E+9,9.044E+9,7.439E+9,60.52E+6,40E+3,1.70764E+9,1.72708E+9,1.555852E+9,169.56E+6,147.592E+6,8.964E+6,0.7323,0.609,1.124,ijk,1200,0
ijk_1250,6.88254E+9,11.4544E+9,9.4176E+9,87.452E+6,40E+3,1.93276E+9,1.9272E+9,1.732048E+9,225.324E+6,203.132E+6,9.988E+6,0.9233,0.753,1.249,ijk,1250,0
ijk_1300,7.7448E+9,13.0022E+9,10.688E+9,326.478E+6,20E+3,2.1692E+9,2.16896E+9,1.94666E+9,261.136E+6,231.244E+6,14.4E+6,1.0679,0.812,1.528,ijk,1300,0
ijk_1350,8.67356E+9,15.5674E+9,12.7784E+9,356.524E+6,60E+3,2.42778E+9,2.4127E+9,2.136628E+9,338.38E+6,301.08E+6,17.856E+6,1.2869,0.982,1.688,ijk,1350,0
ijk_1400,9.67006E+9,16.0456E+9,13.1938E+9,298.716E+6,20E+3,2.74414E+9,2.76004E+9,2.317288E+9,398.416E+6,346.116E+6,24.2E+6,1.2903,1.009,2.032,ijk,1400,0
ijk_1450,10.74826E+9,19.3686E+9,15.916E+9,654.84E+6,20E+3,3.01446E+9,3.00118E+9,2.547336E+9,516.752E+6,465.064E+6,25.584E+6,1.552,1.255,2.03,ijk,1450,0
ijk_1500,11.90014E+9,21.6794E+9,17.7994E+9,885.816E+6,80E+3,3.3794E+9,3.36914E+9,2.66748E+9,684.48E+6,620.384E+6,34.664E+6,1.7968,1.423,2.549,ijk,1500,0
ijk_1550,13.14842E+9,33.8864E+9,27.905E+9,1.876142E+9,60E+3,3.7395E+9,3.718E+9,2.850572E+9,855.836E+6,781.644E+6,44.624E+6,2.7169,2.362,3.553,ijk,1550,0
ijk_1600,14.48674E+9,43.9188E+9,36.1934E+9,2.399682E+9,100E+3,4.086E+9,4.05738E+9,557.336E+6,3.54176E+9,3.4512E+9,52.364E+6,3.4908,3.1,4.405,ijk,1600,0
ijk_1650,15.87712E+9,52.6384E+9,43.3516E+9,3.112666E+9,160E+3,4.49876E+9,4.45988E+9,3.208392E+9,1.289028E+9,1.184128E+9,69.548E+6,4.1484,3.734,5.42,ijk,1650,0
ijk_1700,17.36718E+9,58.8724E+9,48.5108E+9,3.550614E+9,20E+3,4.94588E+9,4.90656E+9,3.497768E+9,1.399164E+9,1.273304E+9,88.824E+6,4.6324,4.277,5.928,ijk,1700,0
