Liczba watkow 4
name;n;r;time
IJK_1100;1100;0;  0.7830
IJK_1150;1150;0;  0.8730
IJK_1200;1200;0;  1.1240
IJK_1250;1250;0;  1.2490
IJK_1300;1300;0;  1.5280
IJK_1350;1350;0;  1.6310
IJK_1400;1400;0;  2.0320
IJK_1450;1450;0;  1.9600
IJK_1500;1500;0;  2.5490
IJK_1550;1550;0;  3.4030
IJK_1600;1600;0;  4.4050
IJK_1650;1650;0;  5.1980
IJK_1700;1700;0;  5.9280
IJK_1100;1100;0;  0.7650
IJK_1150;1150;0;  1.0430
IJK_1200;1200;0;  0.8600
IJK_1250;1250;0;  1.2100
IJK_1300;1300;0;  1.3300
IJK_1350;1350;0;  1.6580
IJK_1400;1400;0;  1.4530
IJK_1450;1450;0;  1.8540
IJK_1500;1500;0;  2.0690
IJK_1550;1550;0;  2.9270
IJK_1600;1600;0;  3.5800
IJK_1650;1650;0;  3.8110
IJK_1700;1700;0;  4.3530
IJK_1100;1100;0;  0.4680
IJK_1150;1150;0;  0.5610
IJK_1200;1200;0;  0.6440
IJK_1250;1250;0;  0.7530
IJK_1300;1300;0;  0.8120
IJK_1350;1350;0;  1.0020
IJK_1400;1400;0;  1.1820
IJK_1450;1450;0;  1.3870
IJK_1500;1500;0;  1.6300
IJK_1550;1550;0;  2.7980
IJK_1600;1600;0;  3.4100
IJK_1650;1650;0;  3.7560
IJK_1700;1700;0;  4.2970
IJK_1100;1100;0;  0.4830
IJK_1150;1150;0;  0.5810
IJK_1200;1200;0;  0.6350
IJK_1250;1250;0;  0.7700
IJK_1300;1300;0;  0.8530
IJK_1350;1350;0;  0.9820
IJK_1400;1400;0;  1.0240
IJK_1450;1450;0;  1.3330
IJK_1500;1500;0;  1.4230
IJK_1550;1550;0;  2.4880
IJK_1600;1600;0;  3.1200
IJK_1650;1650;0;  3.8970
IJK_1700;1700;0;  4.3450
IJK_1100;1100;0;  0.5050
IJK_1150;1150;0;  0.6010
IJK_1200;1200;0;  0.6090
IJK_1250;1250;0;  0.8820
IJK_1300;1300;0;  0.9090
IJK_1350;1350;0;  1.0800
IJK_1400;1400;0;  1.0170
IJK_1450;1450;0;  1.2770
IJK_1500;1500;0;  1.5300
IJK_1550;1550;0;  2.4170
IJK_1600;1600;0;  3.1120
IJK_1650;1650;0;  3.8350
IJK_1700;1700;0;  4.3360
IJK_1100;1100;0;  0.5240
IJK_1150;1150;0;  0.6760
IJK_1200;1200;0;  0.6090
IJK_1250;1250;0;  0.7580
IJK_1300;1300;0;  0.9390
IJK_1350;1350;0;  1.0490
IJK_1400;1400;0;  1.3030
IJK_1450;1450;0;  1.4860
IJK_1500;1500;0;  1.5230
IJK_1550;1550;0;  2.3680
IJK_1600;1600;0;  3.1850
IJK_1650;1650;0;  3.7340
IJK_1700;1700;0;  4.2770
IJK_1100;1100;0;  0.4960
IJK_1150;1150;0;  0.6310
IJK_1200;1200;0;  0.6360
IJK_1250;1250;0;  1.0000
IJK_1300;1300;0;  1.4000
IJK_1350;1350;0;  1.6880
IJK_1400;1400;0;  1.4850
IJK_1450;1450;0;  2.0300
IJK_1500;1500;0;  2.4490
IJK_1550;1550;0;  3.5530
IJK_1600;1600;0;  4.3090
IJK_1650;1650;0;  5.4200
IJK_1700;1700;0;  5.7310
IJK_1100;1100;0;  0.7380
IJK_1150;1150;0;  0.8950
IJK_1200;1200;0;  0.9320
IJK_1250;1250;0;  1.0680
IJK_1300;1300;0;  1.2140
IJK_1350;1350;0;  1.5370
IJK_1400;1400;0;  1.3340
IJK_1450;1450;0;  1.6760
IJK_1500;1500;0;  1.8810
IJK_1550;1550;0;  2.4270
IJK_1600;1600;0;  3.4880
IJK_1650;1650;0;  4.2550
IJK_1700;1700;0;  4.3610
IJK_1100;1100;0;  0.4670
IJK_1150;1150;0;  0.5680
IJK_1200;1200;0;  0.6510
IJK_1250;1250;0;  0.7580
IJK_1300;1300;0;  0.8310
IJK_1350;1350;0;  1.1360
IJK_1400;1400;0;  1.0640
IJK_1450;1450;0;  1.2620
IJK_1500;1500;0;  1.4900
IJK_1550;1550;0;  2.4260
IJK_1600;1600;0;  3.1000
IJK_1650;1650;0;  3.7440
IJK_1700;1700;0;  4.3240
IJK_1100;1100;0;  0.5130
IJK_1150;1150;0;  0.6370
IJK_1200;1200;0;  0.6230
IJK_1250;1250;0;  0.7850
IJK_1300;1300;0;  0.8630
IJK_1350;1350;0;  1.1060
IJK_1400;1400;0;  1.0090
IJK_1450;1450;0;  1.2550
IJK_1500;1500;0;  1.4240
IJK_1550;1550;0;  2.3620
IJK_1600;1600;0;  3.1990
IJK_1650;1650;0;  3.8340
IJK_1700;1700;0;  4.3720
