"Function / Call Stack","INST_RETIRED.ANY","CPU_CLK_UNHALTED.THREAD","CPU_CLK_UNHALTED.REF_TSC","DTLB_LOAD_MISSES.MISS_CAUSES_A_WALK","ITLB_MISSES.MISS_CAUSES_A_WALK","MEM_LOAD_RETIRED.L1_HIT_PS","MEM_LOAD_RETIRED.L1_MISS_PS","MEM_LOAD_RETIRED.L2_HIT_PS","MEM_LOAD_RETIRED.L2_MISS_PS","MEM_LOAD_RETIRED.L3_HIT_PS","MEM_LOAD_RETIRED.L3_MISS_PS"
"multiply_matrices_ijk_1700$omp$1","173671800000","588724000000","485108000000","35506140000","200000","49458800000","49065600000","34977680000","13991640000","12733040000","888240000"
"multiply_matrices_ijk_1650$omp$1","158771200000","526384000000","433516000000","31126660000","1600000","44987600000","44598800000","32083920000","12890280000","11841280000","695480000"
"multiply_matrices_ijk_1600$omp$1","144867400000","439188000000","361934000000","23996820000","1000000","40860000000","40573800000","5573360000","35417600000","34512000000","523640000"
"multiply_matrices_ijk_1550$omp$1","131484200000","338864000000","279050000000","18761420000","600000","37395000000","37180000000","28505720000","8558360000","7816440000","446240000"
"multiply_matrices_ijk_1500$omp$1","119001400000","216794000000","177994000000","8858160000","800000","33794000000","33691400000","26674800000","6844800000","6203840000","346640000"
"multiply_matrices_ijk_1450$omp$1","107482600000","193686000000","159160000000","6548400000","200000","30144600000","30011800000","25473360000","5167520000","4650640000","255840000"
"multiply_matrices_ijk_1400$omp$1","96700600000","160456000000","131938000000","2987160000","200000","27441400000","27600400000","23172880000","3984160000","3461160000","242000000"
"clean$omp$1","95465200000","29312000000","23846000000","120000","200000","259800000","6600000","3480000","2800000","1200000","0"
"multiply_matrices_ijk_1350$omp$1","86735600000","155674000000","127784000000","3565240000","600000","24277800000","24127000000","21366280000","3383800000","3010800000","178560000"
"multiply_matrices_ijk_1300$omp$1","77448000000","130022000000","106880000000","3264780000","200000","21692000000","21689600000","19466600000","2611360000","2312440000","144000000"
"multiply_matrices_ijk_1250$omp$1","68825400000","114544000000","94176000000","874520000","400000","19327600000","19272000000","17320480000","2253240000","2031320000","99880000"
"multiply_matrices_ijk_1200$omp$1","60893000000","90440000000","74390000000","605200000","400000","17076400000","17270800000","15558520000","1695600000","1475920000","89640000"
"multiply_matrices_ijk_1150$omp$1","53602800000","86082000000","70778000000","581660000","0","14904200000","14913600000","14137640000","1232240000","1106280000","56400000"
"multiply_matrices_ijk_1100$omp$1","46909400000","70316000000","57896000000","470960000","200000","13183200000","13211600000","12270160000","1067720000","981600000","38680000"
"func@0x18000d515","12521000000","5574000000","4532000000","140000","0","3571400000","200000","400000","40000","0","0"
"rand","9885800000","3386000000","2650000000","0","0","1740800000","200000","320000","40000","40000","0"
"FlsGetValue","9479000000","5530000000","4454000000","0","0","3633000000","600000","480000","40000","40000","0"
"func@0x18000d0a0","6605400000","3698000000","3080000000","800000","0","3871400000","200000","0","40000","0","0"
"NtYieldExecution","5816600000","40166000000","32718000000","60000","2800000","2480600000","3400000","3120000","560000","240000","0"
"RtlRestoreLastWin32Error","5193200000","3134000000","2530000000","60000","400000","1558800000","400000","80000","0","0","0"
"func@0x1401872dc","4880200000","45038000000","37056000000","120000","61400000","1231600000","3200000","3800000","560000","280000","40000"
"func@0x180012560","4452400000","5148000000","4396000000","0","0","2700600000","400000","320000","40000","40000","0"
"clean_1600$omp$1","3202000000","654000000","576000000","0","0","422800000","0","40000","0","0","0"
"clean_1650$omp$1","3014200000","756000000","638000000","0","0","617200000","0","0","0","0","0"
"clean_1700$omp$1","2879800000","684000000","596000000","0","0","693600000","0","80000","80000","0","0"
"clean_1550$omp$1","2669600000","686000000","580000000","0","0","462600000","0","40000","0","0","0"
"clean_1500$omp$1","2402000000","580000000","450000000","0","0","482800000","0","0","0","0","0"
"clean_1400$omp$1","2355400000","550000000","440000000","0","0","340000000","0","40000","40000","0","0"
"clean_1450$omp$1","2344600000","520000000","458000000","0","0","457800000","0","0","0","0","0"
"clean_1350$omp$1","2259200000","442000000","384000000","0","0","505200000","0","40000","0","0","0"
"func@0x1400d4ea0","2216600000","2988000000","2590000000","100000","0","655600000","2200000","1520000","360000","160000","0"
"GetLastError","2108600000","824000000","638000000","0","0","671000000","0","40000","0","0","0"
"clean_1300$omp$1","1872200000","440000000","378000000","0","0","314800000","0","80000","0","0","0"
"clean_1200$omp$1","1852000000","332000000","290000000","0","0","306800000","200000","120000","0","0","0"
"func@0x180090ed0","1764800000","1096000000","954000000","0","0","304000000","200000","40000","0","0","0"
"clean_1150$omp$1","1752800000","394000000","314000000","0","0","266000000","200000","40000","0","0","0"
"clean_1250$omp$1","1741800000","416000000","304000000","0","0","376200000","0","0","0","80000","0"
"func@0x180044a60","1596800000","1218000000","942000000","0","0","656600000","0","80000","0","0","0"
"func@0x140225f80","1235600000","834000000","690000000","140000","0","218800000","1800000","720000","1200000","400000","40000"
"clean_1100$omp$1","1166400000","332000000","284000000","0","0","247600000","0","0","0","0","0"
"func@0x140070e90","1164400000","1312000000","932000000","0","0","241400000","4800000","1640000","1080000","200000","0"
"func@0x140069d70","1164000000","1684000000","1448000000","20000","0","299000000","8000000","720000","5520000","1240000","0"
"func@0x140184002","849800000","5006000000","4154000000","80000","5200000","145400000","4600000","2880000","2000000","1520000","0"
"func@0x1800046a0","674400000","7554000000","6312000000","140000","5400000","234200000","5200000","600000","5040000","1840000","80000"
"func@0x140080309","659600000","1578000000","1332000000","100000","0","105800000","200000","200000","1280000","120000","880000"
"func@0x140083590","639800000","772000000","720000000","300000","0","127000000","4200000","1680000","4520000","2920000","720000"
"func@0x1400860b0","493600000","1032000000","768000000","120000","0","140400000","6600000","3800000","5600000","1760000","1360000"
"func@0x1400718b0","491400000","700000000","630000000","0","0","125000000","5200000","2920000","2560000","400000","0"
"func@0x1400727b0","475200000","398000000","432000000","20000","0","83000000","5400000","1240000","2360000","240000","400000"
"func@0x1400722b0","454600000","424000000","370000000","20000","0","96600000","6800000","720000","4360000","360000","3560000"
"func@0x140086800","454400000","952000000","738000000","180000","0","82800000","2600000","120000","2720000","160000","2280000"
"func@0x1400813b0","449200000","200000000","176000000","0","0","43600000","1800000","0","3440000","0","3160000"
"func@0x140085fbd","429400000","228000000","166000000","0","0","67600000","200000","0","40000","0","0"
"func@0x140070540","429000000","514000000","416000000","20000","0","101000000","7400000","2280000","3880000","400000","0"
"func@0x140071de6","392200000","220000000","148000000","0","0","69000000","800000","200000","40000","0","0"
"func@0x140171124","385800000","370000000","274000000","0","0","47000000","200000","160000","280000","200000","40000"
"func@0x14006ee20","319000000","472000000","410000000","20000","0","45800000","3200000","2480000","840000","320000","0"
"func@0x140225f2c","288800000","248000000","208000000","0","0","51600000","0","40000","80000","40000","0"
"func@0x140068550","259400000","3698000000","3022000000","0","0","25400000","4600000","80000","5400000","760000","0"
"RtlGetCurrentUmsThread","170400000","1072000000","852000000","200000","3400000","18000000","600000","280000","40000","0","0"
"func@0x140177270","163000000","2304000000","1876000000","11540000","1600000","30800000","17800000","8120000","9400000","8040000","1080000"
"func@0x14006b220","157200000","118000000","68000000","0","0","25200000","1600000","280000","1200000","560000","0"
"func@0x1401710f0","150600000","82000000","74000000","0","0","32400000","1200000","360000","1000000","600000","0"
"func@0x180001d48","137200000","1908000000","1414000000","20000","600000","61600000","400000","280000","0","0","0"
"func@0x1400e22e0","132800000","910000000","794000000","80000","0","21400000","200000","0","120000","0","80000"
"ExpInterlockedPopEntrySList","121600000","938000000","878000000","300000","0","16800000","3000000","640000","2360000","360000","80000"
"func@0x140078970","116600000","124000000","98000000","0","0","28400000","200000","40000","0","0","0"
"KeClockInterruptNotify","116400000","686000000","606000000","1740000","0","27200000","7600000","1000000","5680000","4280000","440000"
"func@0x1c00017fd","98200000","126000000","80000000","0","200000","12000000","0","80000","80000","0","40000"
"func@0x140206958","97200000","130000000","94000000","60000","0","21800000","4400000","720000","3520000","3160000","520000"
"func@0x140094820","91200000","142000000","130000000","360000","0","20000000","5600000","2360000","2880000","3000000","40000"
"func@0x1400801d7","85200000","74000000","38000000","0","0","13800000","0","0","0","0","0"
"func@0x14017ca90","64800000","994000000","844000000","3540000","400000","10200000","7000000","3120000","2960000","1920000","80000"
"func@0x140153060","60600000","88000000","68000000","20000","0","18400000","600000","120000","240000","200000","80000"
"func@0x140225f54","59800000","50000000","72000000","0","0","3600000","0","40000","0","0","0"
"func@0x1400f3650","58600000","636000000","522000000","2220000","400000","13400000","3600000","1400000","2200000","2640000","40000"
"func@0x140086700","55800000","22000000","18000000","0","0","2600000","0","0","0","0","0"
"func@0x14007d4d0","53800000","64000000","56000000","0","0","28400000","400000","0","120000","0","0"
"func@0x140171154","50800000","16000000","28000000","0","0","10400000","0","40000","0","0","0"
"func@0x1400b5ebf","47000000","252000000","224000000","120000","800000","10000000","200000","240000","120000","0","40000"
"func@0x1400c4270","39400000","56000000","52000000","0","0","7400000","600000","120000","400000","280000","160000"
"func@0x1400c5580","39000000","144000000","142000000","800000","0","12200000","400000","80000","760000","160000","600000"
"SwitchToThread","37800000","1194000000","1012000000","20000","400000","14200000","400000","440000","40000","0","0"
"func@0x140012cc0","35800000","154000000","146000000","120000","0","6200000","1200000","240000","1200000","360000","560000"
"HalRequestClockInterrupt","34400000","168000000","136000000","360000","0","9200000","800000","80000","840000","880000","160000"
"func@0x1400c5d90","28600000","130000000","124000000","100000","0","7200000","800000","400000","560000","280000","80000"
"func@0x14000ab40","28600000","28000000","8000000","40000","0","1800000","600000","0","40000","0","0"
"func@0x1400faf90","27400000","28000000","16000000","40000","0","1800000","0","40000","80000","0","0"
"func@0x140086fd0","26800000","54000000","42000000","0","0","2200000","800000","320000","400000","40000","120000"
"GetTickCount","25000000","1784000000","1476000000","240000","400000","4200000","0","0","0","0","0"
"func@0x1400e2798","24800000","14000000","6000000","0","0","5000000","200000","520000","120000","0","0"
"func@0x1400b5f40","23600000","142000000","90000000","20000","0","3800000","0","0","0","0","0"
"func@0x140206b98","23600000","20000000","16000000","0","0","6400000","1400000","200000","1120000","640000","0"
"func@0x1400c99a0","22800000","62000000","44000000","100000","0","2000000","600000","80000","360000","320000","120000"
"RtlCopyMemory","22600000","46000000","54000000","0","0","2200000","600000","360000","520000","160000","400000"
"func@0x1c00033b0","21800000","42000000","44000000","0","0","3800000","200000","280000","600000","800000","40000"
"func@0x14042f9c0","20400000","38000000","18000000","0","0","800000","200000","0","40000","0","0"
"func@0x14017cc10","19800000","20000000","38000000","40000","0","7600000","200000","200000","400000","120000","40000"
"func@0x14017a4d0","19600000","88000000","56000000","20000","0","6600000","1400000","400000","320000","120000","40000"
"func@0x1400f7b50","18600000","34000000","18000000","0","0","200000","0","0","0","0","0"
"func@0x14006cc30","16800000","20000000","8000000","0","0","2000000","0","0","0","0","0"
"KeAndGroupAffinityEx","15600000","30000000","28000000","120000","0","3400000","0","0","80000","80000","40000"
"func@0x14006b8d0","14200000","16000000","20000000","0","0","4600000","0","200000","40000","40000","0"
"KeSetEvent","14000000","50000000","36000000","40000","0","3600000","400000","0","200000","0","200000"
"func@0x140070e1d","14000000","18000000","22000000","0","0","1800000","0","0","0","0","0"
"func@0x14006d7f0","13000000","20000000","8000000","0","0","1600000","0","0","0","0","0"
"func@0x140083160","13000000","26000000","8000000","20000","0","1000000","0","0","40000","120000","0"
"func@0x14000a980","12600000","14000000","20000000","20000","0","600000","0","0","0","0","0"
"func@0x1401baac9","12400000","14000000","24000000","0","0","4200000","400000","80000","640000","600000","0"
