Liczba watkow 4
name;n;r;time
IJK_IKJ_2000_10;2000;10;  2.2310
IJK_IKJ_2000_20;2000;20;  1.7020
IJK_IKJ_2000_25;2000;25;  1.6860
IJK_IKJ_2000_50;2000;50;  1.4910
IJK_IKJ_2000_100;2000;100;  1.5050
IJK_IKJ_2000_125;2000;125;  1.5500
IJK_IKJ_2000_250;2000;250;  1.5690
IJK_IKJ_2000_500;2000;500;  1.6230
IJK_IKJ_2000_10;2000;10;  2.0600
IJK_IKJ_2000_20;2000;20;  1.6040
IJK_IKJ_2000_25;2000;25;  1.7290
IJK_IKJ_2000_50;2000;50;  1.3670
IJK_IKJ_2000_100;2000;100;  1.5050
IJK_IKJ_2000_125;2000;125;  1.5740
IJK_IKJ_2000_250;2000;250;  1.5440
IJK_IKJ_2000_500;2000;500;  1.4290
IJK_IKJ_2000_10;2000;10;  2.0780
IJK_IKJ_2000_20;2000;20;  1.6990
IJK_IKJ_2000_25;2000;25;  1.5620
IJK_IKJ_2000_50;2000;50;  1.3410
IJK_IKJ_2000_100;2000;100;  1.3850
IJK_IKJ_2000_125;2000;125;  1.3860
IJK_IKJ_2000_250;2000;250;  1.4000
IJK_IKJ_2000_500;2000;500;  1.5520
IJK_IKJ_2000_10;2000;10;  1.8380
IJK_IKJ_2000_20;2000;20;  1.3590
IJK_IKJ_2000_25;2000;25;  1.2680
IJK_IKJ_2000_50;2000;50;  1.1380
IJK_IKJ_2000_100;2000;100;  1.1190
IJK_IKJ_2000_125;2000;125;  1.1220
IJK_IKJ_2000_250;2000;250;  1.2080
IJK_IKJ_2000_500;2000;500;  1.1270
IJK_IKJ_2000_10;2000;10;  1.6440
IJK_IKJ_2000_20;2000;20;  1.2880
IJK_IKJ_2000_25;2000;25;  1.2420
IJK_IKJ_2000_50;2000;50;  1.1370
IJK_IKJ_2000_100;2000;100;  1.1540
IJK_IKJ_2000_125;2000;125;  1.1390
IJK_IKJ_2000_250;2000;250;  1.1810
IJK_IKJ_2000_500;2000;500;  1.0800
IJK_IKJ_2000_10;2000;10;  1.6420
IJK_IKJ_2000_20;2000;20;  1.2940
IJK_IKJ_2000_25;2000;25;  1.3990
IJK_IKJ_2000_50;2000;50;  1.2140
IJK_IKJ_2000_100;2000;100;  1.2710
IJK_IKJ_2000_125;2000;125;  1.1840
IJK_IKJ_2000_250;2000;250;  1.1830
IJK_IKJ_2000_500;2000;500;  1.1420
IJK_IKJ_2000_10;2000;10;  1.5830
IJK_IKJ_2000_20;2000;20;  1.2020
IJK_IKJ_2000_25;2000;25;  1.1970
IJK_IKJ_2000_50;2000;50;  1.1230
IJK_IKJ_2000_100;2000;100;  1.1210
IJK_IKJ_2000_125;2000;125;  1.1240
IJK_IKJ_2000_250;2000;250;  1.2020
IJK_IKJ_2000_500;2000;500;  1.2550
IJK_IKJ_2000_10;2000;10;  1.6640
IJK_IKJ_2000_20;2000;20;  1.1930
IJK_IKJ_2000_25;2000;25;  1.2560
IJK_IKJ_2000_50;2000;50;  1.1370
IJK_IKJ_2000_100;2000;100;  1.1240
IJK_IKJ_2000_125;2000;125;  1.1520
IJK_IKJ_2000_250;2000;250;  1.1730
IJK_IKJ_2000_500;2000;500;  1.0850
IJK_IKJ_2000_10;2000;10;  1.5750
IJK_IKJ_2000_20;2000;20;  1.2230
IJK_IKJ_2000_25;2000;25;  1.2020
IJK_IKJ_2000_50;2000;50;  1.0620
IJK_IKJ_2000_100;2000;100;  1.1070
IJK_IKJ_2000_125;2000;125;  1.1110
IJK_IKJ_2000_250;2000;250;  1.1720
IJK_IKJ_2000_500;2000;500;  1.1230
IJK_IKJ_2000_10;2000;10;  1.5790
IJK_IKJ_2000_20;2000;20;  1.2030
IJK_IKJ_2000_25;2000;25;  1.2390
IJK_IKJ_2000_50;2000;50;  1.0920
IJK_IKJ_2000_100;2000;100;  1.1360
IJK_IKJ_2000_125;2000;125;  1.1480
IJK_IKJ_2000_250;2000;250;  1.1780
IJK_IKJ_2000_500;2000;500;  1.1110
