"Function / Call Stack","INST_RETIRED.ANY","CPU_CLK_UNHALTED.THREAD","CPU_CLK_UNHALTED.REF_TSC","DTLB_LOAD_MISSES.MISS_CAUSES_A_WALK","ITLB_MISSES.MISS_CAUSES_A_WALK","MEM_LOAD_RETIRED.L1_HIT_PS","MEM_LOAD_RETIRED.L1_MISS_PS","MEM_LOAD_RETIRED.L2_HIT_PS","MEM_LOAD_RETIRED.L2_MISS_PS","MEM_LOAD_RETIRED.L3_HIT_PS","MEM_LOAD_RETIRED.L3_MISS_PS"
"multiply_matrices_ijk_ikj_2000_10$omp$1","649039200000","217694000000","178582000000","694400000","1200000","176042000000","1198400000","82720000","1149080000","1110080000","36600000"
"multiply_matrices_ijk_ikj_2000_25$omp$1","476593400000","166572000000","136502000000","128160000","800000","160819800000","512000000","252240000","253120000","176440000","70160000"
"multiply_matrices_ijk_ikj_2000_20$omp$1","472409400000","166338000000","136482000000","180100000","800000","159866800000","537800000","171640000","355520000","293560000","54520000"
"multiply_matrices_ijk_ikj_2000_50$omp$1","431521600000","146714000000","120368000000","34800000","0","159801800000","521400000","416440000","92560000","45800000","40640000"
"multiply_matrices_ijk_ikj_2000_125$omp$1","399365200000","152814000000","125348000000","10140000","800000","139383800000","3078400000","2874520000","253840000","235720000","15240000"
"multiply_matrices_ijk_ikj_2000_100$omp$1","398287000000","153116000000","125546000000","12220000","1200000","138202800000","3166800000","3108800000","126880000","108120000","16920000"
"multiply_matrices_ijk_ikj_2000_250$omp$1","390653600000","156684000000","128552000000","7540000","1000000","140209000000","2600800000","2021520000","622520000","612320000","9560000"
"multiply_matrices_ijk_ikj_2000_500$omp$1","384061200000","151042000000","123886000000","28020000","1000000","142122000000","2498800000","2169240000","330480000","317360000","12360000"
"clean$omp$1","58773000000","17824000000","14682000000","0","0","158400000","5200000","2200000","1480000","600000","0"
"clean_2000$omp$1","41508600000","8302000000","6764000000","0","200000","6546600000","600000","160000","0","40000","0"
"func@0x18000d515","15218200000","6806000000","5526000000","60000","0","4613600000","0","360000","40000","0","0"
"rand","11759400000","3964000000","3048000000","0","0","1749000000","600000","240000","0","0","0"
