"Function / Call Stack","INST_RETIRED.ANY","CPU_CLK_UNHALTED.THREAD","CPU_CLK_UNHALTED.REF_TSC","DTLB_LOAD_MISSES.MISS_CAUSES_A_WALK","ITLB_MISSES.MISS_CAUSES_A_WALK","MEM_LOAD_RETIRED.L1_HIT_PS","MEM_LOAD_RETIRED.L1_MISS_PS","MEM_LOAD_RETIRED.L2_HIT_PS","MEM_LOAD_RETIRED.L2_MISS_PS","MEM_LOAD_RETIRED.L3_HIT_PS","MEM_LOAD_RETIRED.L3_MISS_PS"
"func@0x1c0055814","0","2000000","0","0","0","0","0","0","0","0","0"
"func@0x1c004c6f4","2000000","110000000","96000000","0","0","0","0","0","0","0","0"
"func@0x1c002c210","0","0","4000000","0","0","0","0","0","0","0","0"
"func@0x1c00500c7","2000000","0","2000000","0","0","0","0","0","0","0","0"
"func@0x1c004fff4","0","2000000","0","0","0","0","0","0","0","0","0"
"func@0x1c0013d44","0","0","2000000","0","0","0","0","0","0","0","0"
"func@0x1c005768c","0","4000000","0","0","0","0","0","0","0","0","0"
"func@0x1c006df00","2000000","2000000","0","0","0","0","0","0","0","0","0"
"func@0x1c006eaa0","0","2000000","0","0","0","0","0","0","0","0","0"
"func@0x1a766","0","2000000","0","0","0","0","0","0","0","0","0"
"func@0x328e0","0","2000000","2000000","0","0","0","0","0","0","0","0"
"func@0x1c0002810","0","2000000","0","0","0","0","0","0","0","0","0"
"func@0x1c0008b30","0","8000000","12000000","200000","200000","0","0","0","0","100000","0"
"func@0x1c0001605","22000000","20000000","22000000","0","0","16000000","200000","200000","0","0","0"
"EntropyProvideData","0","0","4000000","0","0","0","0","0","100000","0","0"
"func@0x1c00090a0","0","0","2000000","0","0","0","0","0","0","0","0"
"func@0x1c0037e00","0","8000000","4000000","0","0","0","0","0","0","0","0"
"func@0x1c002a580","0","4000000","2000000","0","0","0","0","0","0","0","0"
"func@0x1c0008d20","0","0","0","0","200000","0","0","0","0","0","0"
"func@0x1c002a510","2000000","10000000","2000000","0","0","0","0","0","0","0","0"
"func@0x1c0001010","0","2000000","4000000","0","0","0","0","0","0","0","0"
"func@0x1c0001110","8000000","8000000","4000000","0","0","0","0","0","0","0","0"
"func@0x1c00082a0","0","0","2000000","0","0","0","0","0","0","0","0"
"func@0x1c0009980","0","2000000","0","0","0","0","0","0","0","0","0"
"func@0x1c001e788","0","0","6000000","0","0","0","0","200000","0","0","0"
"func@0x1c00014f0","0","2000000","0","0","0","0","0","0","0","0","0"
"func@0x1c001fa24","0","2000000","2000000","0","0","0","0","0","0","0","0"
"func@0x1c0025450","0","2000000","2000000","0","0","0","0","0","0","100000","0"
"func@0x1c001f444","0","4000000","0","0","0","0","0","0","100000","0","0"
"func@0x1c0001220","0","8000000","8000000","0","0","0","200000","0","100000","0","0"
"func@0x1c0001330","6000000","56000000","56000000","0","0","0","200000","0","0","0","200000"
"func@0x1c0014830","0","8000000","0","0","0","0","0","0","0","0","0"
"func@0x1c0023280","0","0","4000000","0","0","0","0","0","0","0","0"
"func@0x1c00013c0","0","18000000","18000000","200000","0","0","0","0","100000","100000","0"
"func@0x1c0023480","0","2000000","2000000","0","0","0","0","0","100000","0","0"
"func@0x1c00251d0","0","4000000","8000000","0","0","0","0","0","0","0","0"
"func@0x1c0022b28","2000000","16000000","4000000","0","0","0","0","0","0","0","0"
"func@0x1c001fa94","0","2000000","0","0","200000","0","200000","0","0","100000","0"
"func@0x1c0024e80","0","2000000","0","0","0","0","0","0","0","0","0"
"func@0x1c001e880","2000000","12000000","12000000","200000","0","0","0","200000","0","0","0"
"DpiGetSchedulerCallbackState","0","4000000","10000000","0","0","0","200000","200000","100000","0","0"
"DpSynchronizeExecution","2000000","0","0","0","0","0","0","0","0","0","0"
"func@0x1c001eecc","0","14000000","2000000","0","200000","0","0","0","0","0","0"
"func@0x1c0001420","2000000","0","0","0","0","0","0","0","0","0","0"
"DpiGetDxgAdapter","0","6000000","12000000","0","0","0","0","0","0","0","0"
"func@0x1c00084b3","0","2000000","2000000","0","0","0","0","0","0","0","0"
"func@0x1c00082df","2000000","8000000","0","0","0","0","0","0","0","0","0"
"func@0x1c0008120","2000000","8000000","0","0","0","0","0","0","0","0","0"
"func@0x1c0006a70","2000000","6000000","6000000","0","0","0","0","0","100000","0","200000"
"func@0x1c00065b0","2000000","10000000","16000000","0","0","0","0","0","100000","0","0"
"func@0x1c0005f30","0","4000000","0","0","0","0","0","0","0","0","0"
"func@0x1c0005730","0","8000000","6000000","0","0","0","0","0","0","0","0"
"func@0x1c0004850","2000000","10000000","10000000","0","0","0","0","0","0","0","0"
