Liczba watkow 4
name;n;r;time
SEQ_IKJ_100;100;0;  0.0000
IJK_100;100;0;  0.0000
SEQ_IKJ_150;150;0;  0.0010
IJK_150;150;0;  0.0010
SEQ_IKJ_200;200;0;  0.0030
IJK_200;200;0;  0.0020
SEQ_IKJ_250;250;0;  0.0060
IJK_250;250;0;  0.0050
SEQ_IKJ_300;300;0;  0.0080
IJK_300;300;0;  0.0080
SEQ_IKJ_350;350;0;  0.0150
IJK_350;350;0;  0.0140
SEQ_IKJ_400;400;0;  0.0180
IJK_400;400;0;  0.0190
SEQ_IKJ_450;450;0;  0.0290
IJK_450;450;0;  0.0260
SEQ_IKJ_500;500;0;  0.0250
IJK_500;500;0;  0.0370
SEQ_IKJ_550;550;0;  0.0370
IJK_550;550;0;  0.0510
SEQ_IKJ_600;600;0;  0.0370
IJK_600;600;0;  0.0710
SEQ_IKJ_650;650;0;  0.0620
IJK_650;650;0;  0.0790
SEQ_IKJ_700;700;0;  0.0750
IJK_700;700;0;  0.1130
SEQ_IKJ_750;750;0;  0.0800
IJK_750;750;0;  0.1670
SEQ_IKJ_800;800;0;  0.1010
IJK_800;800;0;  0.1620
SEQ_IKJ_850;850;0;  0.1180
IJK_850;850;0;  0.1840
SEQ_IKJ_900;900;0;  0.1270
IJK_900;900;0;  0.2290
SEQ_IKJ_950;950;0;  0.1690
IJK_950;950;0;  0.2710
SEQ_IKJ_1000;1000;0;  0.1740
IJK_1000;1000;0;  0.3030
SEQ_IKJ_1050;1050;0;  0.2340
IJK_1050;1050;0;  0.3880
SEQ_IKJ_1100;1100;0;  0.2520
IJK_1100;1100;0;  0.4950
SEQ_IKJ_1150;1150;0;  0.3240
IJK_1150;1150;0;  0.5370
SEQ_IKJ_1200;1200;0;  0.3450
IJK_1200;1200;0;  0.5980
SEQ_IKJ_1250;1250;0;  0.4310
IJK_1250;1250;0;  0.7430
SEQ_IKJ_1300;1300;0;  0.4670
IJK_1300;1300;0;  0.8240
SEQ_IKJ_1350;1350;0;  0.6040
IJK_1350;1350;0;  0.9370
SEQ_IKJ_1400;1400;0;  0.6100
IJK_1400;1400;0;  0.9270
SEQ_IKJ_1450;1450;0;  0.7560
IJK_1450;1450;0;  1.2180
SEQ_IKJ_1500;1500;0;  0.7720
IJK_1500;1500;0;  1.5830
IJK_IKJ_100_10;100;10;  0.0000
IJK_IKJ_100_20;100;20;  0.0000
IJK_IKJ_100_25;100;25;  0.0000
IJK_IKJ_150_10;150;10;  0.0010
IJK_IKJ_150_15;150;15;  0.0010
IJK_IKJ_150_25;150;25;  0.0000
IJK_IKJ_150_30;150;30;  0.0010
IJK_IKJ_200_10;200;10;  0.0010
IJK_IKJ_200_20;200;20;  0.0020
IJK_IKJ_200_25;200;25;  0.0010
IJK_IKJ_200_40;200;40;  0.0030
IJK_IKJ_200_50;200;50;  0.0020
IJK_IKJ_250_10;250;10;  0.0020
IJK_IKJ_250_25;250;25;  0.0040
IJK_IKJ_250_50;250;50;  0.0020
IJK_IKJ_300_10;300;10;  0.0080
IJK_IKJ_300_12;300;12;  0.0040
IJK_IKJ_300_15;300;15;  0.0070
IJK_IKJ_300_20;300;20;  0.0030
IJK_IKJ_300_25;300;25;  0.0030
IJK_IKJ_300_30;300;30;  0.0040
IJK_IKJ_300_50;300;50;  0.0080
IJK_IKJ_300_60;300;60;  0.0100
IJK_IKJ_300_75;300;75;  0.0030
IJK_IKJ_350_10;350;10;  0.0060
IJK_IKJ_350_14;350;14;  0.0060
IJK_IKJ_350_25;350;25;  0.0110
IJK_IKJ_350_35;350;35;  0.0060
IJK_IKJ_350_50;350;50;  0.0110
IJK_IKJ_350_70;350;70;  0.0070
IJK_IKJ_400_10;400;10;  0.0110
IJK_IKJ_400_16;400;16;  0.0090
IJK_IKJ_400_20;400;20;  0.0140
IJK_IKJ_400_25;400;25;  0.0080
IJK_IKJ_400_40;400;40;  0.0080
IJK_IKJ_400_50;400;50;  0.0100
IJK_IKJ_400_80;400;80;  0.0220
IJK_IKJ_400_100;400;100;  0.0150
IJK_IKJ_450_10;450;10;  0.0270
IJK_IKJ_450_15;450;15;  0.0180
IJK_IKJ_450_18;450;18;  0.0200
IJK_IKJ_450_25;450;25;  0.0110
IJK_IKJ_450_30;450;30;  0.0160
IJK_IKJ_450_45;450;45;  0.0240
IJK_IKJ_450_50;450;50;  0.0130
IJK_IKJ_450_75;450;75;  0.0200
IJK_IKJ_450_90;450;90;  0.0160
IJK_IKJ_500_10;500;10;  0.0320
IJK_IKJ_500_20;500;20;  0.0150
IJK_IKJ_500_25;500;25;  0.0210
IJK_IKJ_500_50;500;50;  0.0220
IJK_IKJ_500_100;500;100;  0.0220
IJK_IKJ_500_125;500;125;  0.0140
IJK_IKJ_550_10;550;10;  0.0290
IJK_IKJ_550_11;550;11;  0.0260
IJK_IKJ_550_22;550;22;  0.0210
IJK_IKJ_550_25;550;25;  0.0200
IJK_IKJ_550_50;550;50;  0.0330
IJK_IKJ_550_55;550;55;  0.0220
IJK_IKJ_550_110;550;110;  0.0300
IJK_IKJ_600_10;600;10;  0.0420
IJK_IKJ_600_12;600;12;  0.0290
IJK_IKJ_600_15;600;15;  0.0270
IJK_IKJ_600_20;600;20;  0.0260
IJK_IKJ_600_24;600;24;  0.0260
IJK_IKJ_600_25;600;25;  0.0250
IJK_IKJ_600_30;600;30;  0.0240
IJK_IKJ_600_40;600;40;  0.0240
IJK_IKJ_600_50;600;50;  0.0230
IJK_IKJ_600_60;600;60;  0.0400
IJK_IKJ_600_75;600;75;  0.0230
IJK_IKJ_600_100;600;100;  0.0430
IJK_IKJ_600_120;600;120;  0.0540
IJK_IKJ_600_150;600;150;  0.0250
IJK_IKJ_650_10;650;10;  0.0420
IJK_IKJ_650_13;650;13;  0.0380
IJK_IKJ_650_25;650;25;  0.0330
IJK_IKJ_650_26;650;26;  0.0350
IJK_IKJ_650_50;650;50;  0.0390
IJK_IKJ_650_65;650;65;  0.0340
IJK_IKJ_650_130;650;130;  0.0490
IJK_IKJ_700_10;700;10;  0.0510
IJK_IKJ_700_14;700;14;  0.0480
IJK_IKJ_700_20;700;20;  0.0400
IJK_IKJ_700_25;700;25;  0.0390
IJK_IKJ_700_28;700;28;  0.0410
IJK_IKJ_700_35;700;35;  0.0370
IJK_IKJ_700_50;700;50;  0.0400
IJK_IKJ_700_70;700;70;  0.0440
IJK_IKJ_700_100;700;100;  0.0740
IJK_IKJ_700_140;700;140;  0.0620
IJK_IKJ_700_175;700;175;  0.0520
IJK_IKJ_750_10;750;10;  0.0670
