Function / Call Stack,CPU_CLK_UNHALTED.THREAD,CPU_CLK_UNHALTED.REF_TSC,DTLB_LOAD_MISSES.MISS_CAUSES_A_WALK,ITLB_MISSES.MISS_CAUSES_A_WALK,MEM_LOAD_RETIRED.L1_HIT_PS,MEM_LOAD_RETIRED.L1_MISS_PS,MEM_LOAD_RETIRED.L2_HIT_PS,MEM_LOAD_RETIRED.L2_MISS_PS,MEM_LOAD_RETIRED.L3_HIT_PS,MEM_LOAD_RETIRED.L3_MISS_PS,time
ijk_ikj_1350_27,1226600000.0000,1013600000.0000,560000.0000,0.0000,1557600000.0000,3620000.0000,1560000.0000,2050000.0000,1840000.0000,140000.0000,0.3021
ikj_950,249000000.0000,199200000.0000,20000.0000,0.0000,102400000.0000,9680000.0000,8180000.0000,1540000.0000,1270000.0000,220000.0000,0.1700
ikj_900,192800000.0000,157000000.0000,0.0000,0.0000,83600000.0000,9780000.0000,8920000.0000,1560000.0000,1410000.0000,140000.0000,0.1295
ikj_850,176800000.0000,143000000.0000,0.0000,0.0000,70800000.0000,6620000.0000,5940000.0000,1050000.0000,1010000.0000,20000.0000,0.1228
ikj_800,136200000.0000,112000000.0000,0.0000,0.0000,54400000.0000,6780000.0000,6360000.0000,1100000.0000,1040000.0000,60000.0000,0.0881
ikj_750,117400000.0000,96800000.0000,0.0000,0.0000,55600000.0000,4900000.0000,4100000.0000,670000.0000,670000.0000,20000.0000,0.0846
ikj_700,90400000.0000,73600000.0000,0.0000,0.0000,37200000.0000,4080000.0000,4500000.0000,730000.0000,740000.0000,40000.0000,0.0625
ikj_650,92600000.0000,75400000.0000,20000.0000,0.0000,30000000.0000,2280000.0000,3020000.0000,500000.0000,520000.0000,0.0000,0.0560
ikj_600,61800000.0000,51000000.0000,0.0000,0.0000,37600000.0000,3680000.0000,1480000.0000,250000.0000,230000.0000,0.0000,0.0372
ikj_550,46000000.0000,38400000.0000,0.0000,0.0000,8000000.0000,680000.0000,2580000.0000,450000.0000,460000.0000,0.0000,0.0340
ikj_500,32800000.0000,27200000.0000,0.0000,0.0000,24800000.0000,2880000.0000,420000.0000,70000.0000,60000.0000,0.0000,0.0239
ikj_450,30000000.0000,24800000.0000,0.0000,0.0000,13200000.0000,1140000.0000,640000.0000,110000.0000,90000.0000,0.0000,0.0197
ikj_400,17800000.0000,14400000.0000,0.0000,0.0000,4800000.0000,640000.0000,840000.0000,140000.0000,120000.0000,0.0000,0.0130
