Function / Call Stack,INST_RETIRED.ANY,CPU_CLK_UNHALTED.THREAD,CPU_CLK_UNHALTED.REF_TSC,DTLB_LOAD_MISSES.MISS_CAUSES_A_WALK,ITLB_MISSES.MISS_CAUSES_A_WALK,MEM_LOAD_RETIRED.L1_HIT_PS,MEM_LOAD_RETIRED.L1_MISS_PS,MEM_LOAD_RETIRED.L2_HIT_PS,MEM_LOAD_RETIRED.L2_MISS_PS,MEM_LOAD_RETIRED.L3_HIT_PS,MEM_LOAD_RETIRED.L3_MISS_PS,time
ijk_ikj_1500_10,30401555555.5556,8489555555.5556,7014666666.6667,15800000.0000,22222.2222,8239266666.6667,57711111.1111,7527777.7778,51788888.8889,51044444.4444,566666.6667,0.6051
ijk_ikj_1450_10,27460888888.8889,7577111111.1111,6256888888.8889,11822222.2222,22222.2222,7450600000.0000,52333333.3333,7844444.4444,45888888.8889,45461111.1111,377777.7778,0.5474
ijk_ikj_1500_15,26586444444.4444,7154222222.2222,5918444444.4444,8266666.6667,0.0000,8149222222.2222,28177777.7778,1805555.5556,26444444.4444,25611111.1111,788888.8889,0.5334
ijk_ikj_1500_12,25218222222.2222,7123777777.7778,5886888888.8889,11422222.2222,22222.2222,7535666666.6667,37311111.1111,1827777.7778,35505555.5556,34872222.2222,455555.5556,0.5282
ijk_ikj_1400_10,24720666666.6667,7261333333.3333,5964888888.8889,9933333.3333,22222.2222,6741555555.5556,46755555.5556,7305555.5556,40094444.4444,39594444.4444,411111.1111,0.4938
ijk_ikj_1500_25,22323555555.5556,6304888888.8889,5210666666.6667,4222222.2222,22222.2222,7538733333.3333,19533333.3333,5688888.8889,12033333.3333,10838888.8889,1027777.7778,0.4621
ijk_ikj_1350_10,22164000000.0000,6334888888.8889,5227777777.7778,7577777.7778,22222.2222,6023088888.8889,42422222.2222,7344444.4444,35911111.1111,35522222.2222,327777.7778,0.4361
ijk_ikj_1500_20,22128222222.2222,6406000000.0000,5299555555.5556,5377777.7778,0.0000,7462488888.8889,21177777.7778,3233333.3333,17044444.4444,16161111.1111,827777.7778,0.4666
ijk_ikj_1500_30,21837777777.7778,6235555555.5556,5159777777.7778,3000000.0000,0.0000,7606111111.1111,18333333.3333,8222222.2222,8477777.7778,7255555.5556,1033333.3333,0.4739
ijk_ikj_1400_14,21659333333.3333,5929555555.5556,4894444444.4444,5600000.0000,22222.2222,6489400000.0000,24777777.7778,1700000.0000,23250000.0000,22888888.8889,355555.5556,0.4324
ijk_ikj_1500_50,20213111111.1111,5955777777.7778,4925555555.5556,1244444.4444,0.0000,7421066666.6667,13977777.7778,8650000.0000,3683333.3333,2755555.5556,761111.1111,0.4364
ijk_ikj_1450_25,20165777777.7778,5672000000.0000,4685333333.3333,3533333.3333,0.0000,6826333333.3333,18155555.5556,5833333.3333,10838888.8889,9844444.4444,827777.7778,0.4289
ijk_ikj_1300_10,19791111111.1111,5574444444.4444,4599333333.3333,5844444.4444,0.0000,5389777777.7778,37911111.1111,7250000.0000,31422222.2222,31088888.8889,277777.7778,0.3874
ijk_ikj_1450_29,19590888888.8889,5463777777.7778,4516000000.0000,2822222.2222,22222.2222,6839266666.6667,17977777.7778,7933333.3333,8283333.3333,7316666.6667,800000.0000,0.4521
ijk_ikj_1500_75,19521333333.3333,6007111111.1111,4962444444.4444,688888.8889,0.0000,7174022222.2222,64044444.4444,56050000.0000,3438888.8889,2633333.3333,594444.4444,0.4454
