Function / Call Stack,INST_RETIRED.ANY,CPU_CLK_UNHALTED.THREAD,CPU_CLK_UNHALTED.REF_TSC,DTLB_LOAD_MISSES.MISS_CAUSES_A_WALK,ITLB_MISSES.MISS_CAUSES_A_WALK,MEM_LOAD_RETIRED.L1_HIT_PS,MEM_LOAD_RETIRED.L1_MISS_PS,MEM_LOAD_RETIRED.L2_HIT_PS,MEM_LOAD_RETIRED.L2_MISS_PS,MEM_LOAD_RETIRED.L3_HIT_PS,MEM_LOAD_RETIRED.L3_MISS_PS,time
ijk_ikj_1500_10,27361400000.0000,7640600000.0000,6313200000.0000,14220000.0000,20000.0000,7415340000.0000,51940000.0000,6775000.0000,46610000.0000,45940000.0000,510000.0000,0.5446
ijk_ikj_1450_10,24714800000.0000,6819400000.0000,5631200000.0000,10640000.0000,20000.0000,6705540000.0000,47100000.0000,7060000.0000,41300000.0000,40915000.0000,340000.0000,0.4927
ijk_ikj_1500_15,23927800000.0000,6438800000.0000,5326600000.0000,7440000.0000,0.0000,7334300000.0000,25360000.0000,1625000.0000,23800000.0000,23050000.0000,710000.0000,0.4801
ijk_ikj_1500_12,22696400000.0000,6411400000.0000,5298200000.0000,10280000.0000,20000.0000,6782100000.0000,33580000.0000,1645000.0000,31955000.0000,31385000.0000,410000.0000,0.4754
ijk_ikj_1400_10,22248600000.0000,6535200000.0000,5368400000.0000,8940000.0000,20000.0000,6067400000.0000,42080000.0000,6575000.0000,36085000.0000,35635000.0000,370000.0000,0.4444
ijk_ikj_1500_25,20091200000.0000,5674400000.0000,4689600000.0000,3800000.0000,20000.0000,6784860000.0000,17580000.0000,5120000.0000,10830000.0000,9755000.0000,925000.0000,0.4159
ijk_ikj_1350_10,19947600000.0000,5701400000.0000,4705000000.0000,6820000.0000,20000.0000,5420780000.0000,38180000.0000,6610000.0000,32320000.0000,31970000.0000,295000.0000,0.3925
ijk_ikj_1500_20,19915400000.0000,5765400000.0000,4769600000.0000,4840000.0000,0.0000,6716240000.0000,19060000.0000,2910000.0000,15340000.0000,14545000.0000,745000.0000,0.4199
ijk_ikj_1500_30,19654000000.0000,5612000000.0000,4643800000.0000,2700000.0000,0.0000,6845500000.0000,16500000.0000,7400000.0000,7630000.0000,6530000.0000,930000.0000,0.4265
ijk_ikj_1400_14,19493400000.0000,5336600000.0000,4405000000.0000,5040000.0000,20000.0000,5840460000.0000,22300000.0000,1530000.0000,20925000.0000,20600000.0000,320000.0000,0.3892
ijk_ikj_1500_50,18191800000.0000,5360200000.0000,4433000000.0000,1120000.0000,0.0000,6678960000.0000,12580000.0000,7785000.0000,3315000.0000,2480000.0000,685000.0000,0.3928
ijk_ikj_1450_25,18149200000.0000,5104800000.0000,4216800000.0000,3180000.0000,0.0000,6143700000.0000,16340000.0000,5250000.0000,9755000.0000,8860000.0000,745000.0000,0.3860
ijk_ikj_1300_10,17812000000.0000,5017000000.0000,4139400000.0000,5260000.0000,0.0000,4850800000.0000,34120000.0000,6525000.0000,28280000.0000,27980000.0000,250000.0000,0.3487
ijk_ikj_1450_29,17631800000.0000,4917400000.0000,4064400000.0000,2540000.0000,20000.0000,6155340000.0000,16180000.0000,7140000.0000,7455000.0000,6585000.0000,720000.0000,0.4069
ijk_ikj_1500_75,17569200000.0000,5406400000.0000,4466200000.0000,620000.0000,0.0000,6456620000.0000,57640000.0000,50445000.0000,3095000.0000,2370000.0000,535000.0000,0.4009
ijk_ikj_1350_15,17443000000.0000,4822400000.0000,3983800000.0000,3900000.0000,40000.0000,5375480000.0000,19340000.0000,1885000.0000,17460000.0000,17040000.0000,385000.0000,0.3389
ijk_ikj_1500_60,17294400000.0000,5268800000.0000,4358600000.0000,800000.0000,0.0000,6589120000.0000,16400000.0000,12740000.0000,2890000.0000,2070000.0000,640000.0000,0.4061
ijk_ikj_1500_125,16833600000.0000,5730800000.0000,4732000000.0000,340000.0000,20000.0000,5921860000.0000,128220000.0000,119100000.0000,8870000.0000,8340000.0000,385000.0000,0.4012
ijk_ikj_1500_100,16790000000.0000,5639400000.0000,4662000000.0000,480000.0000,0.0000,5763080000.0000,132640000.0000,132010000.0000,4315000.0000,3755000.0000,450000.0000,0.4270
ijk_ikj_1500_150,16750000000.0000,5851000000.0000,4819600000.0000,240000.0000,0.0000,5859200000.0000,113740000.0000,103765000.0000,12525000.0000,12035000.0000,430000.0000,0.4703
ijk_ikj_1500_250,16465400000.0000,5756200000.0000,4703800000.0000,320000.0000,0.0000,5866840000.0000,109320000.0000,83535000.0000,26665000.0000,26255000.0000,290000.0000,0.5450
ijk_ikj_1450_50,16430800000.0000,4685000000.0000,3877400000.0000,880000.0000,0.0000,6094020000.0000,10860000.0000,6850000.0000,3025000.0000,2455000.0000,455000.0000,0.3747
ijk_ikj_1500_375,16343600000.0000,5597200000.0000,4617000000.0000,240000.0000,20000.0000,5948380000.0000,107100000.0000,88165000.0000,19890000.0000,19560000.0000,210000.0000,0.4410
ijk_ikj_1400_25,16334600000.0000,4625600000.0000,3821600000.0000,2340000.0000,0.0000,5484080000.0000,14740000.0000,4715000.0000,8855000.0000,8090000.0000,580000.0000,0.3282
ijk_ikj_1500_300,16287800000.0000,5758800000.0000,4714000000.0000,140000.0000,0.0000,5913500000.0000,99740000.0000,78675000.0000,22225000.0000,21910000.0000,285000.0000,0.6494
ijk_ikj_1400_20,16190800000.0000,4824000000.0000,3980400000.0000,3240000.0000,0.0000,5441080000.0000,16520000.0000,3285000.0000,12620000.0000,12020000.0000,500000.0000,0.3362
ijk_ikj_1450_58,16162400000.0000,4726400000.0000,3904600000.0000,780000.0000,0.0000,6005520000.0000,13620000.0000,10890000.0000,2590000.0000,2065000.0000,440000.0000,0.3798
ijk_ikj_1350_18,16145600000.0000,4463200000.0000,3687000000.0000,2920000.0000,0.0000,5167440000.0000,15920000.0000,1920000.0000,13340000.0000,12910000.0000,330000.0000,0.3160
ijk_ikj_1250_10,15833800000.0000,4476600000.0000,3694400000.0000,3200000.0000,20000.0000,4295040000.0000,30080000.0000,6145000.0000,24765000.0000,24505000.0000,170000.0000,0.3142
ijk_ikj_1400_35,15728800000.0000,4490400000.0000,3711400000.0000,1340000.0000,40000.0000,5594640000.0000,13240000.0000,7685000.0000,5235000.0000,4480000.0000,630000.0000,0.3270
ijk_ikj_1300_13,15642600000.0000,4353600000.0000,3595400000.0000,3460000.0000,0.0000,4634660000.0000,21560000.0000,1095000.0000,19610000.0000,19330000.0000,250000.0000,0.2966
ijk_ikj_1400_28,15262800000.0000,4513600000.0000,3731000000.0000,2080000.0000,20000.0000,5436220000.0000,13960000.0000,5460000.0000,7110000.0000,6430000.0000,575000.0000,0.3210
ijk_ikj_1450_145,15105200000.0000,5048200000.0000,4156600000.0000,360000.0000,0.0000,5321980000.0000,109860000.0000,101950000.0000,8770000.0000,8295000.0000,355000.0000,0.4348
ijk_ikj_1350_27,14832000000.0000,4320600000.0000,3557600000.0000,1720000.0000,40000.0000,5144660000.0000,13580000.0000,5570000.0000,6755000.0000,6205000.0000,480000.0000,0.3021
ijk_ikj_1450_290,14820000000.0000,5131000000.0000,4200800000.0000,100000.0000,20000.0000,5321700000.0000,97200000.0000,76230000.0000,22045000.0000,21800000.0000,250000.0000,0.5698
ijk_ikj_1400_50,14791200000.0000,4338400000.0000,3586200000.0000,780000.0000,0.0000,5500560000.0000,10460000.0000,6365000.0000,2745000.0000,2195000.0000,540000.0000,0.2987
ijk_ikj_1350_25,14647200000.0000,4235600000.0000,3488800000.0000,2120000.0000,0.0000,4935260000.0000,13560000.0000,4755000.0000,7790000.0000,7180000.0000,470000.0000,0.2952
ijk_ikj_1400_40,14582600000.0000,4397000000.0000,3633600000.0000,1040000.0000,0.0000,5383760000.0000,10300000.0000,6250000.0000,3800000.0000,3110000.0000,595000.0000,0.3092
ijk_ikj_1350_30,14327800000.0000,4185200000.0000,3446800000.0000,1460000.0000,20000.0000,5000580000.0000,12120000.0000,5760000.0000,5435000.0000,4850000.0000,485000.0000,0.2960
ijk_ikj_1400_70,14284200000.0000,4391000000.0000,3626400000.0000,600000.0000,20000.0000,5450100000.0000,26620000.0000,20005000.0000,2230000.0000,1670000.0000,420000.0000,0.3029
ijk_ikj_1400_56,14135000000.0000,4218400000.0000,3480600000.0000,680000.0000,0.0000,5490200000.0000,10880000.0000,6920000.0000,2290000.0000,1830000.0000,400000.0000,0.3477
ijk_ikj_1200_10,14009400000.0000,3834600000.0000,3168200000.0000,1780000.0000,0.0000,3821480000.0000,26080000.0000,6040000.0000,20550000.0000,20390000.0000,120000.0000,0.2712
ijk_ikj_1400_100,13649800000.0000,4492400000.0000,3715800000.0000,400000.0000,0.0000,4716700000.0000,110660000.0000,108890000.0000,2490000.0000,2050000.0000,350000.0000,0.3754
ijk_ikj_1400_175,13572400000.0000,4605400000.0000,3810200000.0000,160000.0000,0.0000,4768460000.0000,94360000.0000,80445000.0000,15740000.0000,15385000.0000,290000.0000,0.3457
ijk_ikj_1400_140,13474800000.0000,4845800000.0000,3998000000.0000,240000.0000,0.0000,4833380000.0000,96660000.0000,87245000.0000,7525000.0000,7090000.0000,325000.0000,0.3937
ijk_ikj_1400_200,13344400000.0000,4699400000.0000,3866800000.0000,200000.0000,0.0000,4635820000.0000,86460000.0000,72250000.0000,19110000.0000,18760000.0000,245000.0000,0.3955
ijk_ikj_1350_45,13316000000.0000,4022400000.0000,3318200000.0000,820000.0000,0.0000,4897120000.0000,11120000.0000,7410000.0000,3045000.0000,2350000.0000,535000.0000,0.2790
ijk_ikj_1400_350,13287800000.0000,4680200000.0000,3859400000.0000,180000.0000,20000.0000,4827840000.0000,80460000.0000,65970000.0000,16315000.0000,16125000.0000,145000.0000,0.3339
ijk_ikj_1350_50,13262200000.0000,3947000000.0000,3261400000.0000,740000.0000,0.0000,4933100000.0000,10480000.0000,7650000.0000,2480000.0000,1980000.0000,375000.0000,0.2947
ijk_ikj_1400_280,13258800000.0000,4552000000.0000,3731400000.0000,180000.0000,0.0000,4758140000.0000,86020000.0000,67510000.0000,19735000.0000,19500000.0000,205000.0000,0.5120
ijk_ikj_1300_26,13164600000.0000,3801000000.0000,3137400000.0000,1460000.0000,20000.0000,4475220000.0000,10660000.0000,3425000.0000,6285000.0000,5860000.0000,350000.0000,0.2612
ijk_ikj_1350_54,13141800000.0000,3897800000.0000,3216200000.0000,680000.0000,0.0000,4880180000.0000,10800000.0000,9500000.0000,2235000.0000,1840000.0000,360000.0000,0.2924
ijk_ikj_1300_25,13078800000.0000,3708800000.0000,3065000000.0000,1680000.0000,40000.0000,4426640000.0000,11500000.0000,3765000.0000,6795000.0000,6390000.0000,395000.0000,0.2717
ijk_ikj_1300_20,12962800000.0000,3743600000.0000,3092800000.0000,2020000.0000,0.0000,4327980000.0000,12420000.0000,1960000.0000,9985000.0000,9635000.0000,260000.0000,0.2643
ijk_ikj_1350_75,12808400000.0000,4046400000.0000,3339200000.0000,360000.0000,0.0000,4602840000.0000,47260000.0000,44550000.0000,2100000.0000,1670000.0000,365000.0000,0.3046
ijk_ikj_1350_90,12558400000.0000,4170400000.0000,3445000000.0000,380000.0000,0.0000,4314640000.0000,96100000.0000,95895000.0000,2145000.0000,1705000.0000,320000.0000,0.3297
ijk_ikj_1150_10,12328800000.0000,3396400000.0000,2805800000.0000,1500000.0000,20000.0000,3383720000.0000,23880000.0000,6030000.0000,17760000.0000,17580000.0000,105000.0000,0.2353
ijk_ikj_1350_135,12311200000.0000,4432000000.0000,3649800000.0000,240000.0000,0.0000,4358000000.0000,80000000.0000,75110000.0000,6435000.0000,6090000.0000,295000.0000,0.3809
