Function / Call Stack,INST_RETIRED.ANY,CPU_CLK_UNHALTED.THREAD,CPU_CLK_UNHALTED.REF_TSC,DTLB_LOAD_MISSES.MISS_CAUSES_A_WALK,ITLB_MISSES.MISS_CAUSES_A_WALK,MEM_LOAD_RETIRED.L1_HIT_PS,MEM_LOAD_RETIRED.L1_MISS_PS,MEM_LOAD_RETIRED.L2_HIT_PS,MEM_LOAD_RETIRED.L2_MISS_PS,MEM_LOAD_RETIRED.L3_HIT_PS,MEM_LOAD_RETIRED.L3_MISS_PS,time_avg,time_min,time_max,type,n,r
ikj_100,2E+6,600E+3,600E+3,0,0,400E+3,0,36E+3,0,0,0,0.0001,0,0.001,ikj,100,0
ikj_200,13.6E+6,5.2E+6,4.6E+6,0,0,3E+6,260E+3,288E+3,8E+3,0,0,0.0018,0.001,0.002,ikj,200,0
ikj_300,43.6E+6,19.2E+6,15.6E+6,0,0,7.92E+6,680E+3,964E+3,116E+3,124E+3,0,0.0052,0.004,0.009,ikj,300,0
ikj_400,93.4E+6,43.8E+6,36.6E+6,0,0,20.1E+6,2.24E+6,1.74E+6,284E+3,284E+3,4E+3,0.011,0.01,0.013,ikj,400,0
ikj_500,186.8E+6,78.4E+6,64.8E+6,0,0,28.92E+6,3.78E+6,4.212E+6,852E+3,844E+3,4E+3,0.0231,0.02,0.035,ikj,500,0
ikj_600,325.4E+6,141.6E+6,116.8E+6,0,0,43.04E+6,4.38E+6,8.876E+6,1.46E+6,1.452E+6,4E+3,0.0429,0.036,0.067,ikj,600,0
ikj_700,519.8E+6,224.4E+6,185.4E+6,0,0,110.12E+6,11.5E+6,10.012E+6,1.68E+6,1.656E+6,32E+3,0.0648,0.057,0.091,ikj,700,0
ikj_800,742.6E+6,313.8E+6,258.6E+6,0,0,145.14E+6,19.38E+6,16.22E+6,2.936E+6,2.856E+6,88E+3,0.0871,0.083,0.102,ikj,800,0
ikj_900,1.0706E+9,451.8E+6,369.6E+6,0,0,210.9E+6,26.86E+6,22.148E+6,3.888E+6,3.632E+6,260E+3,0.1218,0.117,0.127,ikj,900,0
ikj_1000,1.4788E+9,628.2E+6,504.2E+6,20E+3,0,299.68E+6,37.78E+6,30.532E+6,5.456E+6,4.784E+6,664E+3,0.1845,0.172,0.209,ikj,1000,0
ikj_1100,1.9804E+9,900.2E+6,705.2E+6,0,0,384.26E+6,46.52E+6,42.252E+6,8.008E+6,6.236E+6,1.776E+6,0.2393,0.235,0.253,ikj,1100,0
ikj_1200,2.5004E+9,1.2646E+9,973.8E+6,80E+3,0,484.08E+6,60.6E+6,52.608E+6,11E+6,7E+6,3.992E+6,0.3387,0.323,0.368,ikj,1200,0
ikj_1300,3.206E+9,1.7242E+9,1.325E+9,820E+3,0,639.18E+6,78.96E+6,63.6E+6,15.488E+6,8.444E+6,7.008E+6,0.4519,0.438,0.469,ikj,1300,0
ikj_1400,4.0262E+9,2.2556E+9,1.7194E+9,1.48E+6,0,802.8E+6,99.2E+6,80.992E+6,19.796E+6,8.14E+6,11.656E+6,0.5913,0.581,0.608,ikj,1400,0
ikj_1500,4.9752E+9,2.8446E+9,2.1686E+9,1.54E+6,0,1.00436E+9,124.32E+6,95.784E+6,26.88E+6,8.928E+6,17.944E+6,0.7441,0.729,0.795,ikj,1500,0
ikj_1600,5.9166E+9,3.4894E+9,2.6694E+9,2.22E+6,0,1.1554E+9,152.92E+6,115.304E+6,37.636E+6,11.22E+6,26.412E+6,0.9021,0.89,0.943,ikj,1600,0
ikj_1700,7.147E+9,4.274E+9,3.286E+9,2.88E+6,0,1.40102E+9,179.02E+6,131.58E+6,45.824E+6,13.38E+6,32.472E+6,1.1046,1.09,1.132,ikj,1700,0
ikj_1800,8.5206E+9,5.091E+9,3.8958E+9,3.3E+6,0,1.65974E+9,211.24E+6,156.756E+6,56.364E+6,16.432E+6,39.924E+6,1.3226,1.31,1.345,ikj,1800,0
ikj_1900,10.061E+9,6.0406E+9,4.6418E+9,3.88E+6,0,1.9862E+9,251.34E+6,180.308E+6,67.916E+6,19.212E+6,48.66E+6,1.5718,1.553,1.632,ikj,1900,0
ikj_2000,11.5472E+9,6.997E+9,5.4312E+9,4.6E+6,20E+3,2.23062E+9,293.68E+6,209.06E+6,83.468E+6,23.384E+6,60.092E+6,1.8411,1.817,1.879,ikj,2000,0
ikj_2100,13.442E+9,8.507E+9,6.6834E+9,5.2E+6,0,2.58206E+9,334.46E+6,234.18E+6,102.14E+6,28.092E+6,74.032E+6,2.1502,2.121,2.242,ikj,2100,0
ikj_2200,15.5124E+9,9.8154E+9,7.7264E+9,5.88E+6,0,3.00636E+9,386.56E+6,267.364E+6,117.58E+6,32.828E+6,84.712E+6,2.4842,2.456,2.533,ikj,2200,0
ikj_2300,17.788E+9,11.2454E+9,8.8466E+9,6.72E+6,0,3.44344E+9,441.06E+6,303.636E+6,137.468E+6,39.144E+6,98.352E+6,2.8685,2.803,2.968,ikj,2300,0
ikj_2400,19.9434E+9,12.7284E+9,9.986E+9,7.88E+6,0,3.80962E+9,506.32E+6,344.1E+6,163.008E+6,46.676E+6,116.292E+6,3.2423,3.21,3.29,ikj,2400,0
ikj_2500,22.6468E+9,14.4874E+9,11.3732E+9,8.58E+6,20E+3,4.31582E+9,565.08E+6,383.948E+6,185.504E+6,52.588E+6,132.96E+6,3.7008,3.635,3.765,ikj,2500,0
ijk_ikj_100_10,7.4E+6,2.2E+6,2.6E+6,0,0,1.92E+6,0,4E+3,4E+3,0,0,0.0004,0,0.001,ijk_ikj,100,10
ijk_ikj_100_20,6.2E+6,1.2E+6,1E+6,0,0,2.32E+6,20E+3,4E+3,0,0,0,0.0005,0,0.001,ijk_ikj,100,20
