Liczba watkow 4
name;n;r;time
SEQ_IKJ_100;100;0;  0.0010
IJK_100;100;0;  0.0000
SEQ_IKJ_200;200;0;  0.0020
IJK_200;200;0;  0.0020
SEQ_IKJ_300;300;0;  0.0090
IJK_300;300;0;  0.0080
SEQ_IKJ_400;400;0;  0.0110
IJK_400;400;0;  0.0190
SEQ_IKJ_500;500;0;  0.0240
IJK_500;500;0;  0.0400
SEQ_IKJ_600;600;0;  0.0670
IJK_600;600;0;  0.0760
SEQ_IKJ_700;700;0;  0.0910
IJK_700;700;0;  0.1160
SEQ_IKJ_800;800;0;  0.0900
IJK_800;800;0;  0.1830
SEQ_IKJ_900;900;0;  0.1210
IJK_900;900;0;  0.2120
SEQ_IKJ_1000;1000;0;  0.1830
IJK_1000;1000;0;  0.3430
SEQ_IKJ_1100;1100;0;  0.2530
IJK_1100;1100;0;  0.4810
SEQ_IKJ_1200;1200;0;  0.3680
IJK_1200;1200;0;  0.7610
SEQ_IKJ_1300;1300;0;  0.4690
IJK_1300;1300;0;  0.8050
SEQ_IKJ_1400;1400;0;  0.5950
IJK_1400;1400;0;  1.1440
SEQ_IKJ_1500;1500;0;  0.7950
IJK_1500;1500;0;  1.3700
SEQ_IKJ_1600;1600;0;  0.9040
IJK_1600;1600;0;  2.7070
SEQ_IKJ_1700;1700;0;  1.1190
IJK_1700;1700;0;  4.5130
SEQ_IKJ_1800;1800;0;  1.3180
IJK_1800;1800;0;  5.4080
SEQ_IKJ_1900;1900;0;  1.5530
IJK_1900;1900;0;  7.5860
SEQ_IKJ_2000;2000;0;  1.8420
IJK_2000;2000;0;  7.4910
IJK_IKJ_100_10;100;10;  0.0010
IJK_IKJ_100_20;100;20;  0.0000
IJK_IKJ_100_25;100;25;  0.0000
IJK_IKJ_200_10;200;10;  0.0010
IJK_IKJ_200_20;200;20;  0.0020
IJK_IKJ_200_25;200;25;  0.0010
IJK_IKJ_200_40;200;40;  0.0010
IJK_IKJ_200_50;200;50;  0.0010
IJK_IKJ_300_10;300;10;  0.0070
IJK_IKJ_300_12;300;12;  0.0050
IJK_IKJ_300_15;300;15;  0.0060
IJK_IKJ_300_20;300;20;  0.0060
IJK_IKJ_300_25;300;25;  0.0050
IJK_IKJ_300_30;300;30;  0.0050
IJK_IKJ_300_50;300;50;  0.0070
IJK_IKJ_300_60;300;60;  0.0050
IJK_IKJ_300_75;300;75;  0.0040
IJK_IKJ_400_10;400;10;  0.0150
IJK_IKJ_400_16;400;16;  0.0110
IJK_IKJ_400_20;400;20;  0.0120
IJK_IKJ_400_25;400;25;  0.0130
IJK_IKJ_400_40;400;40;  0.0120
IJK_IKJ_400_50;400;50;  0.0100
IJK_IKJ_400_80;400;80;  0.0110
IJK_IKJ_400_100;400;100;  0.0100
IJK_IKJ_500_10;500;10;  0.0360
IJK_IKJ_500_20;500;20;  0.0200
IJK_IKJ_500_25;500;25;  0.0160
IJK_IKJ_500_50;500;50;  0.0200
IJK_IKJ_500_100;500;100;  0.0220
IJK_IKJ_500_125;500;125;  0.0200
IJK_IKJ_600_10;600;10;  0.0370
IJK_IKJ_600_12;600;12;  0.0480
IJK_IKJ_600_15;600;15;  0.0480
IJK_IKJ_600_20;600;20;  0.0430
IJK_IKJ_600_24;600;24;  0.0290
IJK_IKJ_600_25;600;25;  0.0360
IJK_IKJ_600_30;600;30;  0.0300
