Function / Call Stack,INST_RETIRED.ANY,CPU_CLK_UNHALTED.THREAD,CPU_CLK_UNHALTED.REF_TSC,DTLB_LOAD_MISSES.MISS_CAUSES_A_WALK,ITLB_MISSES.MISS_CAUSES_A_WALK,MEM_LOAD_RETIRED.L1_HIT_PS,MEM_LOAD_RETIRED.L1_MISS_PS,MEM_LOAD_RETIRED.L2_HIT_PS,MEM_LOAD_RETIRED.L2_MISS_PS,MEM_LOAD_RETIRED.L3_HIT_PS,MEM_LOAD_RETIRED.L3_MISS_PS,time_avg,time_min,time_max,type,n,r
ijk_ikj_100_25,4.6E+6,1E+6,2E+6,0,0,1.8E+6,0,0,0,0,0,0,0,0,ijk_ikj,100,25
ijk_ikj_100_20,6.2E+6,1.2E+6,1E+6,0,0,2.32E+6,20E+3,4E+3,0,0,0,0.0005,0,0.001,ijk_ikj,100,20
ikj_100,2E+6,600E+3,600E+3,0,0,400E+3,0,36E+3,0,0,0,0.0001,0,0.001,ikj,100,0
ijk_ikj_200_50,43E+6,15.6E+6,12E+6,0,0,16.4E+6,40E+3,24E+3,8E+3,0,0,0.0014,0.001,0.002,ijk_ikj,200,50
ijk_ikj_200_40,42.2E+6,14E+6,11.4E+6,0,0,16.86E+6,0,32E+3,4E+3,8E+3,8E+3,0.0021,0.001,0.003,ijk_ikj,200,40
ikj_200,13.6E+6,5.2E+6,4.6E+6,0,0,3E+6,260E+3,288E+3,8E+3,0,0,0.0018,0.001,0.002,ikj,200,0
ijk_ikj_300_75,140.2E+6,44.6E+6,37.2E+6,0,0,66.02E+6,620E+3,280E+3,16E+3,24E+3,4E+3,0.0046,0.004,0.006,ijk_ikj,300,75
ijk_ikj_300_10,218.4E+6,66.4E+6,54.6E+6,0,0,53.7E+6,320E+3,396E+3,28E+3,28E+3,0,0.0067,0.006,0.008,ijk_ikj,300,10
ikj_300,43.6E+6,19.2E+6,15.6E+6,0,0,7.92E+6,680E+3,964E+3,116E+3,124E+3,0,0.0052,0.004,0.009,ikj,300,0
ijk_ikj_400_100,318E+6,109.8E+6,90E+6,0,0,135.38E+6,2.7E+6,1.86E+6,32E+3,56E+3,0,0.01,0.009,0.011,ijk_ikj,400,100
ijk_ikj_400_10,518E+6,145.8E+6,119.6E+6,0,0,156.26E+6,1.02E+6,728E+3,92E+3,88E+3,0,0.0139,0.013,0.017,ijk_ikj,400,10
ikj_400,93.4E+6,43.8E+6,36.6E+6,0,0,20.1E+6,2.24E+6,1.74E+6,284E+3,284E+3,4E+3,0.011,0.01,0.013,ikj,400,0
ijk_ikj_500_50,675E+6,203.2E+6,168.2E+6,0,0,205.18E+6,480E+3,556E+3,124E+3,120E+3,4E+3,0.0199,0.016,0.031,ijk_ikj,500,50
ijk_ikj_500_10,1.0132E+9,261.4E+6,216E+6,0,0,229.4E+6,1.6E+6,1.956E+6,348E+3,344E+3,4E+3,0.026,0.023,0.036,ijk_ikj,500,10
ikj_500,186.8E+6,78.4E+6,64.8E+6,0,0,28.92E+6,3.78E+6,4.212E+6,852E+3,844E+3,4E+3,0.0231,0.02,0.035,ikj,500,0
ijk_ikj_600_50,1.1644E+9,346.6E+6,287E+6,0,0,463.2E+6,800E+3,564E+3,192E+3,180E+3,8E+3,0.029,0.026,0.043,ijk_ikj,600,50
ijk_ikj_600_100,1.0742E+9,343E+6,283.6E+6,0,0,393.2E+6,8.62E+6,7.548E+6,260E+3,240E+3,8E+3,0.0408,0.031,0.059,ijk_ikj,600,100
ikj_600,325.4E+6,141.6E+6,116.8E+6,0,0,43.04E+6,4.38E+6,8.876E+6,1.46E+6,1.452E+6,4E+3,0.0429,0.036,0.067,ikj,600,0
ijk_ikj_700_35,1.9668E+9,553.4E+6,458.8E+6,0,20E+3,752.36E+6,1.66E+6,828E+3,544E+3,540E+3,12E+3,0.0449,0.041,0.07,ijk_ikj,700,35
ijk_ikj_700_140,1.684E+9,565.8E+6,468.6E+6,20E+3,0,548.2E+6,10.88E+6,11.876E+6,1.316E+6,1.308E+6,12E+3,0.0637,0.061,0.065,ijk_ikj,700,140
ikj_700,519.8E+6,224.4E+6,185.4E+6,0,0,110.12E+6,11.5E+6,10.012E+6,1.68E+6,1.656E+6,32E+3,0.0648,0.057,0.091,ikj,700,0
ijk_ikj_800_50,2.7594E+9,809.8E+6,670.6E+6,0,20E+3,1.10958E+9,2.36E+6,1.392E+6,472E+3,428E+3,16E+3,0.0582,0.057,0.06,ijk_ikj,800,50
ijk_ikj_800_160,2.5046E+9,847.6E+6,702.4E+6,20E+3,20E+3,913.5E+6,19.22E+6,15.428E+6,2.156E+6,2.132E+6,36E+3,0.0982,0.095,0.1,ijk_ikj,800,160
ikj_800,742.6E+6,313.8E+6,258.6E+6,0,0,145.14E+6,19.38E+6,16.22E+6,2.936E+6,2.856E+6,88E+3,0.0871,0.083,0.102,ikj,800,0
ijk_ikj_900_25,4.3392E+9,1.1818E+9,979.2E+6,60E+3,0,1.47238E+9,3.82E+6,1.272E+6,2.18E+6,2.184E+6,28E+3,0.086,0.085,0.088,ijk_ikj,900,25
ijk_ikj_900_180,3.5542E+9,1.207E+9,996.2E+6,0,0,1.24642E+9,24.14E+6,20.916E+6,4.284E+6,4.244E+6,24E+3,0.1551,0.133,0.229,ijk_ikj,900,180
