Function / Call Stack,INST_RETIRED.ANY,CPU_CLK_UNHALTED.THREAD,CPU_CLK_UNHALTED.REF_TSC,DTLB_LOAD_MISSES.MISS_CAUSES_A_WALK,ITLB_MISSES.MISS_CAUSES_A_WALK,MEM_LOAD_RETIRED.L1_HIT_PS,MEM_LOAD_RETIRED.L1_MISS_PS,MEM_LOAD_RETIRED.L2_HIT_PS,MEM_LOAD_RETIRED.L2_MISS_PS,MEM_LOAD_RETIRED.L3_HIT_PS,MEM_LOAD_RETIRED.L3_MISS_PS,time_Avg,time_min,time_max
ikj_100,1733333,533333,533333,0,0,386667,20E+3,32E+3,0,0,0,0.0001,0,0.001
ikj_150,5733333,2466667,2066667,0,0,1393333,126667,105333,0,0,0,0.0008,0,0.002
ikj_200,13333333,5.2E+6,4066667,0,0,2566667,240E+3,334667,12E+3,8E+3,0,0.0017,0.001,0.003
ikj_250,25866667,11066667,9E+6,0,0,5653333,500E+3,472E+3,33333,29333,1333,0.0033,0.002,0.006
ikj_300,43866667,17533333,14333333,0,0,6.64E+6,686667,1.108E+6,136E+3,140E+3,1333,0.0055,0.004,0.009
ikj_350,70E+6,31.4E+6,25733333,0,0,12873333,926667,1325333,188E+3,185333,0,0.0096,0.008,0.015
ikj_400,93.6E+6,38866667,31866667,0,0,13.66E+6,1633333,2.616E+6,438667,433333,2667,0.0128,0.01,0.019
ikj_450,136E+6,63866667,52666667,0,0,25946667,2433333,2346667,385333,386667,1333,0.0195,0.016,0.03
ikj_500,186333333,77.4E+6,64066667,0,0,38386667,4626667,3670667,696E+3,686667,5333,0.0257,0.02,0.041
ikj_550,251.8E+6,119866667,98.6E+6,0,0,43.6E+6,3826667,4534667,789333,781333,2667,0.0361,0.031,0.052
ikj_600,325533333,132.2E+6,109266667,0,0,61766667,7326667,7.032E+6,1.144E+6,1.124E+6,14667,0.0421,0.036,0.064
ikj_650,418.2E+6,189.8E+6,156733333,0,0,88006667,7873333,6562667,1150667,1142667,10667,0.062,0.052,0.079
ikj_700,519.6E+6,214.8E+6,177866667,13333,0,112313333,12.22E+6,9533333,1678667,1.656E+6,18667,0.0705,0.059,0.088
ikj_750,645133333,282133333,232066667,0,0,138713333,12206667,10237333,1673333,1646667,24E+3,0.0906,0.079,0.113
ikj_800,742866667,312866667,256.4E+6,0,0,143.4E+6,18126667,16114667,2806667,2.74E+6,72E+3,0.0969,0.082,0.116
ikj_850,900866667,411466667,336.6E+6,6667,0,186.66E+6,18046667,14473333,2637333,2.54E+6,93333,0.1283,0.112,0.15
ikj_900,1070666667,447.6E+6,362866667,0,0,212133333,26753333,22241333,3962667,3.708E+6,256E+3,0.1448,0.121,0.228
ikj_950,1270533333,591666667,470066667,6667,0,255533333,24366667,20998667,3.836E+6,3462667,374667,0.1867,0.155,0.242
ikj_1000,1478733333,634933333,503266667,6667,0,301406667,37246667,30.116E+6,5365333,4709333,648E+3,0.2298,0.186,0.313
ikj_1050,1.7252E+9,835.4E+6,651.6E+6,13333,0,363273333,33906667,27482667,5062667,4.288E+6,769333,0.2702,0.216,0.342
ikj_1100,1979466667,903.4E+6,704.2E+6,0,0,391193333,47453333,41554667,7.792E+6,5.96E+6,1833333,0.2781,0.225,0.354
ikj_1150,2.2772E+9,1172466667,904.4E+6,26667,0,484.24E+6,43953333,35.512E+6,6897333,5.052E+6,1845333,0.3612,0.297,0.448
ikj_1200,2.4998E+9,1241466667,956333333,120E+3,0,488586667,61433333,51682667,10733333,7.108E+6,3.636E+6,0.3843,0.321,0.462
ikj_1250,2.847E+9,1611666667,1236666667,426667,0,575126667,54293333,45.076E+6,9874667,5905333,3.984E+6,0.4965,0.406,0.592
ikj_1300,3205933333,1.7018E+9,1304666667,686667,0,637.24E+6,79053333,63.568E+6,15473333,8522667,6.96E+6,0.5179,0.434,0.603
ikj_1350,3614466667,2145866667,1.6368E+9,1693333,0,736.56E+6,68.3E+6,55437333,13678667,6893333,6757333,0.6533,0.556,0.779
ikj_1400,4025733333,2241466667,1711333333,1.44E+6,6667,803306667,99893333,80.728E+6,19594667,8034667,11570667,0.6877,0.578,0.791
ikj_1450,4499466667,2.7296E+9,2081266667,2093333,0,921.74E+6,85693333,68797333,17358667,6.604E+6,10726667,0.8331,0.708,0.947
ikj_1500,4.9758E+9,2831866667,2.1574E+9,1533333,13333,985.48E+6,122.6E+6,97005333,27.848E+6,9150667,18686667,0.8607,0.726,0.993
ijk_ikj_100_10,7.8E+6,2.6E+6,1733333,0,0,2213333,26667,5333,1333,1333,1333,0.0003,0,0.001
ijk_ikj_100_20,6666667,1933333,1.6E+6,0,0,2193333,0,2667,0,0,0,0.0004,0,0.001
ijk_ikj_100_25,6466667,2133333,1.4E+6,0,0,2186667,0,2667,0,0,0,0.0004,0,0.001
ijk_ikj_150_10,27.4E+6,8.6E+6,7266667,0,0,7.3E+6,26667,22667,1333,1333,0,0.0009,0,0.001
ijk_ikj_150_15,24133333,7733333,6333333,0,0,9886667,40E+3,12E+3,1333,0,0,0.0009,0,0.001
ijk_ikj_150_25,20466667,6.4E+6,6333333,0,0,5906667,20E+3,18667,4E+3,1333,0,0.001,0,0.002
ijk_ikj_150_30,19.8E+6,6.4E+6,5533333,0,0,6.76E+6,20E+3,17333,1333,0,0,0.0008,0,0.001
ijk_ikj_200_10,64466667,20333333,16733333,0,0,18.1E+6,53333,86667,5333,1333,1333,0.0021,0.002,0.003
ijk_ikj_200_20,47.4E+6,16.6E+6,13666667,0,0,17E+6,6667,57333,5333,2667,1333,0.0018,0.001,0.003
ijk_ikj_200_25,47.6E+6,15733333,13133333,0,0,14666667,40E+3,42667,4E+3,4E+3,0,0.0016,0.001,0.002
ijk_ikj_200_40,42.8E+6,13666667,11533333,0,0,16413333,33333,14667,6667,5333,0,0.002,0.001,0.003
ijk_ikj_200_50,42.8E+6,14466667,12466667,0,0,19013333,53333,17333,4E+3,1333,1333,0.0016,0.001,0.002
ijk_ikj_250_10,126.2E+6,38533333,31533333,6667,0,32.2E+6,233333,224E+3,5333,12E+3,1333,0.0042,0.003,0.005
ijk_ikj_250_25,92533333,30333333,25266667,0,0,37146667,80E+3,56E+3,5333,6667,2667,0.0034,0.002,0.005
ijk_ikj_250_50,83.8E+6,27266667,22933333,0,0,30206667,46667,50667,10667,9333,0,0.0037,0.002,0.006
ijk_ikj_300_10,218933333,66333333,54933333,0,0,65.62E+6,426667,340E+3,26667,9333,1333,0.0068,0.004,0.009
ijk_ikj_300_12,181466667,52733333,43733333,0,0,49.88E+6,233333,256E+3,18667,17333,0,0.0058,0.004,0.008
ijk_ikj_300_15,191133333,53.6E+6,44066667,0,0,66446667,273333,160E+3,18667,20E+3,1333,0.0061,0.004,0.007
ijk_ikj_300_20,159866667,52333333,43266667,0,0,47346667,160E+3,129333,33333,28E+3,0,0.0058,0.004,0.007
ijk_ikj_300_25,160466667,53266667,43466667,0,0,56393333,113333,90667,21333,17333,2667,0.0051,0.003,0.006
ijk_ikj_300_30,157466667,51.8E+6,42.4E+6,6667,0,55066667,140E+3,72E+3,21333,28E+3,1333,0.0056,0.003,0.008
ijk_ikj_300_50,145733333,50866667,41.6E+6,0,0,56393333,146667,102667,17333,20E+3,2667,0.0062,0.004,0.009
ijk_ikj_300_60,138.4E+6,49666667,40.4E+6,0,6667,59.58E+6,220E+3,136E+3,10667,10667,0,0.0062,0.004,0.009
ijk_ikj_300_75,140.6E+6,50666667,41E+6,0,6667,50926667,433333,396E+3,17333,22667,2667,0.0051,0.004,0.006
ijk_ikj_350_10,347866667,102.2E+6,84E+6,0,0,106.5E+6,693333,493333,72E+3,52E+3,1333,0.0103,0.006,0.013
ijk_ikj_350_14,304733333,88.2E+6,72.6E+6,0,6667,89.3E+6,333333,284E+3,70667,65333,1333,0.0093,0.006,0.013
ijk_ikj_350_25,255.4E+6,81333333,66466667,0,0,92653333,260E+3,141333,60E+3,68E+3,4E+3,0.0085,0.005,0.011
ijk_ikj_350_35,245266667,77333333,64.6E+6,0,0,87993333,146667,117333,44E+3,42667,0,0.0088,0.005,0.011
ijk_ikj_350_50,230933333,77.4E+6,63266667,6667,0,94.52E+6,246667,162667,37333,41333,1333,0.0086,0.006,0.011
ijk_ikj_350_70,222933333,74.6E+6,61E+6,0,0,96.94E+6,540E+3,380E+3,37333,17333,1333,0.0098,0.007,0.015
ijk_ikj_400_10,518666667,148333333,121866667,0,0,130.46E+6,793333,856E+3,130667,124E+3,1333,0.0149,0.01,0.019
ijk_ikj_400_16,396866667,118266667,97133333,0,0,150173333,533333,272E+3,100E+3,101333,1333,0.0121,0.008,0.016
ijk_ikj_400_20,377866667,114933333,94666667,6667,0,112626667,313333,245333,116E+3,108E+3,1333,0.011,0.008,0.014
ijk_ikj_400_25,381E+6,117.4E+6,96266667,0,0,132646667,346667,196E+3,98667,90667,5333,0.012,0.008,0.015
ijk_ikj_400_40,339.8E+6,110666667,90.8E+6,0,0,135.42E+6,260E+3,128E+3,54667,52E+3,2667,0.0127,0.007,0.018
ijk_ikj_400_50,344466667,110266667,90533333,0,0,110.18E+6,273333,256E+3,69333,62667,1333,0.0111,0.007,0.015
ijk_ikj_400_80,321533333,109333333,89.8E+6,0,6667,130233333,1986667,1.508E+6,44E+3,32E+3,4E+3,0.014,0.01,0.023
ijk_ikj_400_100,319E+6,107666667,89E+6,0,0,97.86E+6,2026667,2602667,72E+3,74667,8E+3,0.011,0.007,0.016
ijk_ikj_450_10,738266667,204666667,169.4E+6,0,0,223.78E+6,1.5E+6,1.08E+6,149333,148E+3,2667,0.0219,0.014,0.029
ijk_ikj_450_15,646.6E+6,175.2E+6,145.4E+6,6667,0,193.86E+6,640E+3,478667,197333,197333,0,0.0186,0.012,0.025
ijk_ikj_450_18,598266667,162266667,134E+6,0,0,199266667,493333,326667,156E+3,154667,0,0.0184,0.011,0.026
ijk_ikj_450_25,542333333,162333333,134133333,0,0,171086667,420E+3,213333,178667,176E+3,2667,0.0189,0.011,0.026
ijk_ikj_450_30,530466667,168E+6,138333333,0,0,207526667,453333,202667,120E+3,122667,2667,0.0168,0.011,0.023
ijk_ikj_450_45,492933333,150866667,124066667,0,0,157073333,346667,253333,108E+3,100E+3,5333,0.0165,0.011,0.024
ijk_ikj_450_50,491266667,156933333,128.4E+6,6667,0,189346667,413333,350667,93333,72E+3,2667,0.0175,0.013,0.026
ijk_ikj_450_75,474466667,152333333,125.8E+6,0,0,177986667,1406667,1274667,64E+3,58667,2667,0.0185,0.012,0.027
ijk_ikj_450_90,465133333,160933333,133333333,0,0,172.28E+6,3.22E+6,3.036E+6,70667,50667,4E+3,0.0179,0.015,0.03
ijk_ikj_500_10,1013333333,283.4E+6,233533333,6667,0,272.88E+6,1.88E+6,1650667,325333,330667,4E+3,0.028,0.018,0.039
ijk_ikj_500_20,737.6E+6,224.4E+6,185E+6,0,0,266366667,780E+3,380E+3,265333,245333,6667,0.021,0.015,0.03
ijk_ikj_500_25,744333333,213066667,175666667,0,0,206E+6,486667,377333,293333,301333,4E+3,0.0215,0.014,0.03
ijk_ikj_500_50,673866667,208E+6,171333333,0,6667,294966667,726667,388E+3,102667,93333,2667,0.0239,0.016,0.033
ijk_ikj_500_100,621.4E+6,214533333,176666667,6667,0,214.7E+6,4566667,4.58E+6,126667,121333,5333,0.0299,0.021,0.044
ijk_ikj_500_125,623.4E+6,222E+6,182266667,6667,0,212413333,4.28E+6,4418667,277333,274667,5333,0.0216,0.014,0.028
ijk_ikj_550_10,1348466667,359E+6,296333333,0,0,359.14E+6,2493333,2030667,652E+3,642667,2667,0.0359,0.024,0.051
ijk_ikj_550_11,1328933333,392E+6,323666667,0,0,430466667,2.32E+6,1058667,724E+3,718667,4E+3,0.0371,0.026,0.053
ijk_ikj_550_22,1035466667,292.2E+6,241.8E+6,0,0,353.16E+6,820E+3,310667,405333,413333,0,0.0291,0.021,0.043
ijk_ikj_550_25,990933333,292466667,242066667,0,0,337633333,740E+3,322667,382667,382667,2667,0.029,0.02,0.043
ijk_ikj_550_50,896866667,275.2E+6,226333333,0,0,307966667,600E+3,510667,158667,170667,2667,0.0293,0.02,0.04
ijk_ikj_550_55,893333333,271.6E+6,225E+6,0,0,277573333,886667,789333,184E+3,170667,6667,0.0304,0.021,0.043
ijk_ikj_550_110,838466667,299066667,246.2E+6,6667,0,296286667,5986667,5.8E+6,261333,238667,6667,0.0349,0.029,0.048
ijk_ikj_600_10,1751066667,483.6E+6,397866667,0,0,452526667,3186667,2.648E+6,942667,938667,2667,0.0483,0.032,0.066
ijk_ikj_600_12,1.4534E+9,424.4E+6,349.4E+6,0,0,482026667,2306667,1.092E+6,745333,752E+3,0,0.0394,0.027,0.056
ijk_ikj_600_15,1.5316E+9,410666667,339.8E+6,6667,0,499353333,1.68E+6,718667,757333,764E+3,1333,0.0416,0.028,0.057
ijk_ikj_600_20,1.2744E+9,370866667,305666667,0,0,419893333,1086667,445333,648E+3,630667,2667,0.0374,0.025,0.052
ijk_ikj_600_24,1.2318E+9,360.8E+6,297333333,0,0,386753333,826667,360E+3,506667,501333,5333,0.0374,0.026,0.05
ijk_ikj_600_25,1.286E+9,372866667,307733333,0,0,449.62E+6,1.02E+6,346667,542667,546667,1333,0.0354,0.024,0.05
ijk_ikj_600_30,1.258E+9,356466667,294466667,0,0,478573333,1026667,393333,358667,342667,1333,0.0357,0.024,0.047
ijk_ikj_600_40,1.1478E+9,354133333,291933333,6667,0,389613333,700E+3,476E+3,277333,265333,5333,0.0364,0.023,0.049
ijk_ikj_600_50,1164533333,345333333,284.8E+6,0,0,418846667,980E+3,569333,216E+3,214667,6667,0.0339,0.023,0.047
ijk_ikj_600_60,1106466667,338866667,279933333,0,0,437.7E+6,1353333,836E+3,172E+3,166667,5333,0.037,0.026,0.057
ijk_ikj_600_75,1124666667,349133333,287.2E+6,0,0,421.74E+6,3.96E+6,3.408E+6,173333,157333,10667,0.0332,0.023,0.044
ijk_ikj_600_100,1074933333,350.6E+6,289466667,0,0,400573333,8653333,7525333,177333,172E+3,6667,0.0403,0.031,0.061
ijk_ikj_600_120,1.0666E+9,362E+6,298466667,6667,0,344893333,6773333,8046667,337333,314667,13333,0.0489,0.037,0.074
ijk_ikj_600_150,1072066667,385933333,317.8E+6,0,0,371.44E+6,6473333,6.2E+6,672E+3,658667,13333,0.0358,0.026,0.053
ijk_ikj_650_10,2226866667,613.4E+6,506.6E+6,6667,0,599.9E+6,4226667,2881333,1.492E+6,1.476E+6,4E+3,0.0597,0.041,0.082
ijk_ikj_650_13,1955466667,554.6E+6,457933333,0,0,596.44E+6,2.74E+6,878667,1545333,1.54E+6,6667,0.0558,0.036,0.077
ijk_ikj_650_25,1634666667,462E+6,380866667,0,0,599773333,1493333,428E+3,698667,694667,2667,0.0457,0.032,0.064
ijk_ikj_650_26,1645266667,465733333,383.8E+6,26667,0,557.3E+6,1246667,444E+3,664E+3,642667,4E+3,0.0454,0.034,0.06
ijk_ikj_650_50,1480333333,446266667,368133333,6667,0,574.12E+6,1.18E+6,812E+3,261333,242667,8E+3,0.0451,0.034,0.068
ijk_ikj_650_65,1429733333,426666667,352533333,6667,0,528033333,2153333,1.624E+6,258667,248E+3,6667,0.0475,0.033,0.071
ijk_ikj_650_130,1.3722E+9,466133333,384.6E+6,0,0,508.82E+6,10213333,8478667,794667,774667,12E+3,0.0572,0.048,0.085
ijk_ikj_700_10,2780466667,741133333,612133333,13333,0,729386667,5.12E+6,3706667,1969333,1950667,6667,0.0697,0.05,0.096
ijk_ikj_700_14,2.4366E+9,696.4E+6,575533333,0,0,758.94E+6,2873333,1.036E+6,1626667,1630667,6667,0.0649,0.045,0.086
ijk_ikj_700_20,2024533333,595.4E+6,490.6E+6,26667,0,684626667,1.82E+6,545333,1181333,1.16E+6,2667,0.0566,0.04,0.081
ijk_ikj_700_25,2042266667,592333333,488E+6,20E+3,0,672.12E+6,1666667,670667,993333,970667,9333,0.0512,0.038,0.074
ijk_ikj_700_28,1907666667,571E+6,471066667,6667,0,700873333,1626667,682667,726667,700E+3,4E+3,0.0536,0.04,0.074
ijk_ikj_700_35,1966333333,574733333,474.6E+6,6667,0,700893333,1546667,890667,552E+3,545333,9333,0.0537,0.037,0.078
ijk_ikj_700_50,1.849E+9,542733333,447666667,6667,0,706433333,1.4E+6,889333,324E+3,310667,5333,0.0533,0.04,0.076
ijk_ikj_700_70,1785333333,547266667,452733333,20E+3,0,730966667,4073333,2.88E+6,257333,233333,10667,0.0564,0.043,0.086
ijk_ikj_700_100,1.7064E+9,588933333,484866667,0,0,631646667,13493333,11.872E+6,396E+3,373333,12E+3,0.0597,0.044,0.084
ijk_ikj_700_140,1.6838E+9,586266667,483866667,6667,0,612.46E+6,12.04E+6,10737333,950667,918667,24E+3,0.0783,0.06,0.101
ijk_ikj_700_175,1696466667,596.6E+6,492733333,0,0,560226667,10.7E+6,10261333,2182667,2157333,25333,0.0548,0.041,0.07
ijk_ikj_750_10,3419866667,908.4E+6,750.4E+6,6667,0,932.42E+6,6406667,3.964E+6,2634667,2618667,2667,0.0865,0.063,0.132
ijk_ikj_750_15,2991266667,818466667,674133333,6667,6667,948206667,3166667,836E+3,2158667,2149333,2667,0.0743,0.055,0.105
ijk_ikj_750_25,2510933333,717333333,593133333,26667,0,840.82E+6,2.08E+6,684E+3,1.248E+6,1226667,12E+3,0.0679,0.05,0.097
ijk_ikj_750_30,2.4568E+9,714066667,589.8E+6,13333,0,795.94E+6,1713333,885333,885333,866667,18667,0.0654,0.051,0.088
ijk_ikj_750_50,2273266667,659733333,545.6E+6,6667,0,795.64E+6,1433333,1.268E+6,437333,421333,17333,0.0645,0.047,0.089
ijk_ikj_750_75,2.1958E+9,642466667,529466667,20E+3,0,782146667,6306667,5.584E+6,357333,340E+3,14667,0.0716,0.053,0.109
ijk_ikj_750_125,2.104E+9,712.6E+6,588.4E+6,13333,0,742453333,15586667,14542667,1.02E+6,981333,17333,0.0815,0.064,0.117
ijk_ikj_750_150,2094066667,718266667,593933333,0,0,704306667,13593333,13841333,1513333,1494667,32E+3,0.0917,0.074,0.118
ijk_ikj_800_10,4150533333,1.134E+9,936533333,73333,0,1151533333,7713333,3.572E+6,4014667,4001333,8E+3,0.1049,0.075,0.133
ijk_ikj_800_16,3175866667,887066667,733933333,46667,0,1020913333,3806667,817333,2.876E+6,2874667,16E+3,0.0821,0.061,0.112
ijk_ikj_800_20,3.021E+9,887733333,734.8E+6,13333,0,1.04186E+9,2813333,693333,1918667,1905333,12E+3,0.0805,0.058,0.121
ijk_ikj_800_25,3048466667,875066667,721.8E+6,33333,0,1066193333,2.8E+6,928E+3,1462667,1.46E+6,12E+3,0.0791,0.057,0.106
ijk_ikj_800_32,2.7946E+9,796466667,659.4E+6,26667,0,974613333,2.64E+6,1.456E+6,1.16E+6,1.14E+6,28E+3,0.0804,0.059,0.117
ijk_ikj_800_40,2720533333,772133333,637.4E+6,46667,0,1019706667,1833333,1085333,641333,594667,8E+3,0.0762,0.053,0.101
ijk_ikj_800_50,2.7596E+9,841E+6,694.6E+6,26667,0,991106667,2373333,1789333,526667,502667,16E+3,0.0738,0.053,0.105
ijk_ikj_800_80,2575933333,810.4E+6,669666667,0,0,852933333,13.28E+6,14.596E+6,478667,437333,26667,0.0864,0.065,0.112
ijk_ikj_800_100,2547133333,863533333,712.2E+6,6667,0,899.68E+6,20106667,19.008E+6,728E+3,680E+3,29333,0.0767,0.057,0.105
ijk_ikj_800_160,2504933333,893666667,739133333,0,0,871946667,18.16E+6,16.524E+6,2585333,2.524E+6,45333,0.111,0.092,0.161
ijk_ikj_800_200,2489066667,898.4E+6,741066667,0,6667,872946667,16366667,13442667,3434667,3405333,37333,0.0781,0.06,0.108
ijk_ikj_850_10,4.9792E+9,1357066667,1120933333,86667,0,1367553333,9.68E+6,4522667,5161333,5.152E+6,17333,0.1238,0.092,0.165
