"Function / Call Stack","INST_RETIRED.ANY","CPU_CLK_UNHALTED.THREAD","CPU_CLK_UNHALTED.REF_TSC","DTLB_LOAD_MISSES.MISS_CAUSES_A_WALK","ITLB_MISSES.MISS_CAUSES_A_WALK","MEM_LOAD_RETIRED.L1_HIT_PS","MEM_LOAD_RETIRED.L1_MISS_PS","MEM_LOAD_RETIRED.L2_HIT_PS","MEM_LOAD_RETIRED.L2_MISS_PS","MEM_LOAD_RETIRED.L3_HIT_PS","MEM_LOAD_RETIRED.L3_MISS_PS"
"measure_invocation","1466354000000","558678000000","460370000000","0","1600000","2955600000","16800000","10880000","3000000","3080000","0"
"multiply_matrices_ijk_ikj_1500_10$omp$1","820854000000","221428000000","183206000000","393400000","0","223104200000","1571600000","205760000","1395520000","1384440000","8560000"
"multiply_matrices_ijk_ikj_1450_10$omp$1","741430000000","198414000000","164198000000","313400000","0","201939200000","1435800000","219920000","1235880000","1226520000","7160000"
"multiply_matrices_ijk_ikj_1500_15$omp$1","717856000000","188796000000","156210000000","222400000","200000","222972000000","761600000","40360000","705320000","692320000","10960000"
"multiply_matrices_ijk_ikj_1500_12$omp$1","680860000000","186556000000","154364000000","287200000","200000","203191800000","999800000","45400000","956880000","946120000","8120000"
"multiply_matrices_ijk_ikj_1400_10$omp$1","667368000000","178286000000","147528000000","205400000","0","181332200000","1288200000","225520000","1092960000","1086160000","5480000"
"multiply_matrices_ijk_ikj_1500_25$omp$1","602722000000","164656000000","136286000000","97600000","0","203624800000","514800000","137560000","325840000","311360000","12000000"
"multiply_matrices_ijk_ikj_1350_10$omp$1","598408000000","159644000000","132184000000","148400000","200000","163538400000","1159400000","213320000","957320000","950520000","4840000"
"multiply_matrices_ijk_ikj_1500_20$omp$1","597410000000","167158000000","138344000000","132000000","0","200145200000","587800000","93640000","479000000","466800000","11400000"
"multiply_matrices_ijk_ikj_1500_30$omp$1","589618000000","161396000000","133570000000","75400000","0","207841800000","490400000","204640000","224720000","209360000","13640000"
"multiply_matrices_ijk_ikj_1400_14$omp$1","584734000000","153312000000","126900000000","137200000","0","176453600000","662600000","35040000","621760000","615200000","5160000"
"multiply_matrices_ijk_ikj_1500_50$omp$1","545708000000","155194000000","128452000000","30000000","400000","204135200000","330800000","197200000","95160000","78560000","14120000"
"multiply_matrices_ijk_ikj_1450_25$omp$1","544444000000","149278000000","123534000000","86000000","0","186055200000","483000000","144360000","289240000","273400000","13400000"
"multiply_matrices_ijk_ikj_1300_10$omp$1","534326000000","143260000000","118542000000","134600000","0","145962200000","1036400000","204920000","842120000","837120000","4760000"
"multiply_matrices_ijk_ikj_1450_29$omp$1","528942000000","142800000000","118202000000","70000000","200000","183880600000","476600000","204840000","224760000","209800000","11920000"
"multiply_matrices_ijk_ikj_1500_75$omp$1","527078000000","157690000000","130508000000","17000000","0","194302200000","1643400000","1430360000","83400000","64320000","14000000"
"multiply_matrices_ijk_ikj_1350_15$omp$1","523284000000","134672000000","111522000000","91600000","0","163482600000","563800000","29800000","515320000","509280000","4840000"
"multiply_matrices_ijk_ikj_1500_60$omp$1","518814000000","154486000000","127830000000","25600000","0","199195800000","458200000","312600000","83800000","64600000","14720000"
"func@0x18000d515","517442000000","192882000000","159852000000","6600000","1400000","128196600000","8000000","3120000","640000","400000","80000"
"multiply_matrices_ijk_ikj_1500_125$omp$1","505002000000","166022000000","137382000000","8800000","0","175045200000","3846800000","3672680000","243240000","228880000","10440000"
"multiply_matrices_ijk_ikj_1500_100$omp$1","503662000000","176958000000","146348000000","10200000","0","176209000000","3625400000","3553960000","103960000","89200000","11480000"
"multiply_matrices_ijk_ikj_1500_150$omp$1","502512000000","164486000000","135742000000","6600000","0","176372800000","3573000000","3297440000","327520000","315320000","9960000"
"multiply_matrices_ijk_ikj_1500_250$omp$1","493980000000","167416000000","137348000000","3800000","200000","174886800000","3292400000","2544360000","811160000","801600000","8280000"
"multiply_matrices_ijk_ikj_1450_50$omp$1","492922000000","138794000000","114850000000","26600000","0","182867200000","312400000","199640000","90040000","74160000","11680000"
"multiply_matrices_ijk_ikj_1500_375$omp$1","490318000000","163294000000","135072000000","4200000","200000","177046200000","3206000000","2668800000","600320000","594680000","5440000"
"multiply_matrices_ijk_ikj_1400_25$omp$1","490020000000","134532000000","111336000000","76200000","200000","165644800000","433800000","128800000","263720000","249960000","10920000"
"multiply_matrices_ijk_ikj_1500_300$omp$1","488644000000","169312000000","138434000000","4000000","0","175465400000","3095800000","2470840000","684480000","676480000","7040000"
"multiply_matrices_ijk_ikj_1400_20$omp$1","485734000000","136644000000","113040000000","90800000","200000","161909400000","448800000","58320000","379480000","370800000","7680000"
"multiply_matrices_ijk_ikj_1450_58$omp$1","484804000000","139546000000","115430000000","22800000","0","182023000000","390200000","267280000","76320000","60280000","12160000"
"multiply_matrices_ijk_ikj_1350_18$omp$1","484372000000","127294000000","105400000000","76800000","0","155150000000","456000000","38680000","400760000","392600000","6640000"
"multiply_matrices_ijk_ikj_1250_10$omp$1","474996000000","126148000000","104392000000","73800000","200000","129661000000","919000000","198960000","730840000","726720000","3160000"
"multiply_matrices_ijk_ikj_1400_35$omp$1","471864000000","130382000000","107904000000","42600000","0","169536800000","402400000","227680000","153120000","137160000","13280000"
"multiply_matrices_ijk_ikj_1300_13$omp$1","469296000000","124748000000","103190000000","91400000","0","136781800000","621800000","25680000","595840000","589080000","4800000"
"multiply_matrices_ijk_ikj_1400_28$omp$1","457872000000","129486000000","107162000000","58000000","0","164675400000","416200000","149080000","212120000","198520000","10680000"
"multiply_matrices_ijk_ikj_1450_145$omp$1","453168000000","147364000000","121698000000","6400000","0","158534600000","3285400000","3077760000","261000000","250160000","8040000"
"multiply_matrices_ijk_ikj_1350_27$omp$1","444952000000","119860000000","99136000000","47800000","0","154512400000","391600000","148120000","203920000","193320000","8560000"
"multiply_matrices_ijk_ikj_1450_290$omp$1","444612000000","150526000000","123206000000","2400000","0","158844000000","2922400000","2309920000","666240000","658960000","7000000"
"multiply_matrices_ijk_ikj_1400_50$omp$1","443678000000","124246000000","102830000000","23200000","0","165202600000","258200000","158280000","80160000","68720000","8440000"
"multiply_matrices_ijk_ikj_1350_25$omp$1","439380000000","119314000000","98792000000","51600000","200000","150399400000","394600000","120880000","228600000","217240000","9480000"
"multiply_matrices_ijk_ikj_1400_40$omp$1","437482000000","124124000000","102708000000","31800000","0","161766600000","303600000","179600000","112000000","100760000","9440000"
"multiply_matrices_ijk_ikj_1350_30$omp$1","429828000000","116378000000","96278000000","40200000","200000","150959800000","356200000","159200000","160920000","150800000","8560000"
"multiply_matrices_ijk_ikj_1400_70$omp$1","428582000000","125740000000","104080000000","16600000","0","162012600000","675200000","487920000","63920000","52640000","8840000"
"multiply_matrices_ijk_ikj_1400_56$omp$1","424036000000","122052000000","100976000000","17200000","0","161748800000","256000000","158000000","68000000","55200000","10240000"
"multiply_matrices_ijk_ikj_1200_10$omp$1","420282000000","110688000000","91650000000","31400000","0","115173000000","791400000","176000000","619160000","615280000","2400000"
"multiply_matrices_ijk_ikj_1400_100$omp$1","409462000000","132638000000","109782000000","10200000","0","141145200000","3308000000","3253000000","98120000","86560000","8480000"
"multiply_matrices_ijk_ikj_1400_175$omp$1","407162000000","135788000000","112378000000","4600000","0","141428000000","2831600000","2455520000","470120000","460920000","7960000"
"multiply_matrices_ijk_ikj_1400_140$omp$1","404226000000","131516000000","108700000000","5200000","0","141565800000","2951000000","2811640000","201480000","191800000","6880000"
"multiply_matrices_ijk_ikj_1400_200$omp$1","400334000000","135954000000","111994000000","3400000","0","140782400000","2685600000","2163880000","566920000","558520000","6840000"
"multiply_matrices_ijk_ikj_1350_45$omp$1","399416000000","112000000000","92640000000","23000000","0","147300000000","282600000","179920000","88240000","76840000","9400000"
"multiply_matrices_ijk_ikj_1400_350$omp$1","398654000000","134392000000","111218000000","3800000","0","144788800000","2488600000","2020920000","491440000","487000000","3960000"
"multiply_matrices_ijk_ikj_1350_50$omp$1","397802000000","110188000000","91188000000","18400000","0","148802800000","228200000","135800000","70560000","60240000","6680000"
