"Function / Call Stack","INST_RETIRED.ANY","CPU_CLK_UNHALTED.THREAD","CPU_CLK_UNHALTED.REF_TSC","DTLB_LOAD_MISSES.MISS_CAUSES_A_WALK","ITLB_MISSES.MISS_CAUSES_A_WALK","MEM_LOAD_RETIRED.L1_HIT_PS","MEM_LOAD_RETIRED.L1_MISS_PS","MEM_LOAD_RETIRED.L2_HIT_PS","MEM_LOAD_RETIRED.L2_MISS_PS","MEM_LOAD_RETIRED.L3_HIT_PS","MEM_LOAD_RETIRED.L3_MISS_PS","Module","Function (Full)","Source File","Start Address"
"measure_invocation","733177","279339","230185","0","8","14778","84","272","75","77","0","ompmul.exe","measure_invocation(void (*)(void),struct InvData)","ompmul.cpp","0x140001000"
"multiply_matrices_ijk_ikj_1500_10$omp$1","410427","110714","91603","1967","0","1115521","7858","5144","34888","34611","214","ompmul.exe","multiply_matrices_ijk_ikj_1500_10$omp$1","trash.cpp","0x14002c1c0"
"multiply_matrices_ijk_ikj_1450_10$omp$1","370715","99207","82099","1567","0","1009696","7179","5498","30897","30663","179","ompmul.exe","multiply_matrices_ijk_ikj_1450_10$omp$1","trash.cpp","0x14002a8b0"
"multiply_matrices_ijk_ikj_1500_15$omp$1","358928","94398","78105","1112","1","1114860","3808","1009","17633","17308","274","ompmul.exe","multiply_matrices_ijk_ikj_1500_15$omp$1","trash.cpp","0x14002d000"
"multiply_matrices_ijk_ikj_1500_12$omp$1","340430","93278","77182","1436","1","1015959","4999","1135","23922","23653","203","ompmul.exe","multiply_matrices_ijk_ikj_1500_12$omp$1","trash.cpp","0x14002c8e0"
"multiply_matrices_ijk_ikj_1400_10$omp$1","333684","89143","73764","1027","0","906661","6441","5638","27324","27154","137","ompmul.exe","multiply_matrices_ijk_ikj_1400_10$omp$1","trash.cpp","0x140026f40"
"multiply_matrices_ijk_ikj_1500_25$omp$1","301361","82328","68143","488","0","1018124","2574","3439","8146","7784","300","ompmul.exe","multiply_matrices_ijk_ikj_1500_25$omp$1","trash.cpp","0x14002dac0"
"multiply_matrices_ijk_ikj_1350_10$omp$1","299204","79822","66092","742","1","817692","5797","5333","23933","23763","121","ompmul.exe","multiply_matrices_ijk_ikj_1350_10$omp$1","trash.cpp","0x140023990"
"multiply_matrices_ijk_ikj_1500_20$omp$1","298705","83579","69172","660","0","1000726","2939","2341","11975","11670","285","ompmul.exe","multiply_matrices_ijk_ikj_1500_20$omp$1","trash.cpp","0x14002d730"
"multiply_matrices_ijk_ikj_1500_30$omp$1","294809","80698","66785","377","0","1039209","2452","5116","5618","5234","341","ompmul.exe","multiply_matrices_ijk_ikj_1500_30$omp$1","trash.cpp","0x14002e1f0"
"multiply_matrices_ijk_ikj_1400_14$omp$1","292367","76656","63450","686","0","882268","3313","876","15544","15380","129","ompmul.exe","multiply_matrices_ijk_ikj_1400_14$omp$1","trash.cpp","0x140027660"
"multiply_matrices_ijk_ikj_1500_50$omp$1","272854","77597","64226","150","2","1020676","1654","4930","2379","1964","353","ompmul.exe","multiply_matrices_ijk_ikj_1500_50$omp$1","trash.cpp","0x14002ecc0"
"multiply_matrices_ijk_ikj_1450_25$omp$1","272222","74639","61767","430","0","930276","2415","3609","7231","6835","335","ompmul.exe","multiply_matrices_ijk_ikj_1450_25$omp$1","trash.cpp","0x14002afe0"
"multiply_matrices_ijk_ikj_1300_10$omp$1","267163","71630","59271","673","0","729811","5182","5123","21053","20928","119","ompmul.exe","multiply_matrices_ijk_ikj_1300_10$omp$1","trash.cpp","0x140020ea0"
"multiply_matrices_ijk_ikj_1450_29$omp$1","264471","71400","59101","350","1","919403","2383","5121","5619","5245","298","ompmul.exe","multiply_matrices_ijk_ikj_1450_29$omp$1","trash.cpp","0x14002b370"
"multiply_matrices_ijk_ikj_1500_75$omp$1","263539","78845","65254","85","0","971511","8217","35759","2085","1608","350","ompmul.exe","multiply_matrices_ijk_ikj_1500_75$omp$1","trash.cpp","0x14002f3e0"
"multiply_matrices_ijk_ikj_1350_15$omp$1","261642","67336","55761","458","0","817413","2819","745","12883","12732","121","ompmul.exe","multiply_matrices_ijk_ikj_1350_15$omp$1","trash.cpp","0x1400240c0"
"multiply_matrices_ijk_ikj_1500_60$omp$1","259407","77243","63915","128","0","995979","2291","7815","2095","1615","368","ompmul.exe","multiply_matrices_ijk_ikj_1500_60$omp$1","trash.cpp","0x14002f050"
"func@0x18000d515","258721","96441","79926","33","7","640983","40","78","16","10","2","ucrtbase.dll","func@0x18000d515","[Unknown]","0x18000d515"
"multiply_matrices_ijk_ikj_1500_125$omp$1","252501","83011","68691","44","0","875226","19234","91817","6081","5722","261","ompmul.exe","multiply_matrices_ijk_ikj_1500_125$omp$1","trash.cpp","0x14002cc70"
"multiply_matrices_ijk_ikj_1500_100$omp$1","251831","88479","73174","51","0","881045","18127","88849","2599","2230","287","ompmul.exe","multiply_matrices_ijk_ikj_1500_100$omp$1","trash.cpp","0x14002c550"
"multiply_matrices_ijk_ikj_1500_150$omp$1","251256","82243","67871","33","0","881864","17865","82436","8188","7883","249","ompmul.exe","multiply_matrices_ijk_ikj_1500_150$omp$1","trash.cpp","0x14002d390"
"multiply_matrices_ijk_ikj_1500_250$omp$1","246990","83708","68674","19","1","874434","16462","63609","20279","20040","207","ompmul.exe","multiply_matrices_ijk_ikj_1500_250$omp$1","trash.cpp","0x14002de50"
"multiply_matrices_ijk_ikj_1450_50$omp$1","246461","69397","57425","133","0","914336","1562","4991","2251","1854","292","ompmul.exe","multiply_matrices_ijk_ikj_1450_50$omp$1","trash.cpp","0x14002baa0"
"multiply_matrices_ijk_ikj_1500_375$omp$1","245159","81647","67536","21","1","885231","16030","66720","15008","14867","136","ompmul.exe","multiply_matrices_ijk_ikj_1500_375$omp$1","trash.cpp","0x14002e920"
"multiply_matrices_ijk_ikj_1400_25$omp$1","245010","67266","55668","381","1","828224","2169","3220","6593","6249","273","ompmul.exe","multiply_matrices_ijk_ikj_1400_25$omp$1","trash.cpp","0x140028870"
"multiply_matrices_ijk_ikj_1500_300$omp$1","244322","84656","69217","20","0","877327","15479","61771","17112","16912","176","ompmul.exe","multiply_matrices_ijk_ikj_1500_300$omp$1","trash.cpp","0x14002e580"
"multiply_matrices_ijk_ikj_1400_20$omp$1","242867","68322","56520","454","1","809547","2244","1458","9487","9270","192","ompmul.exe","multiply_matrices_ijk_ikj_1400_20$omp$1","trash.cpp","0x140028140"
"multiply_matrices_ijk_ikj_1450_58$omp$1","242402","69773","57715","114","0","910115","1951","6682","1908","1507","304","ompmul.exe","multiply_matrices_ijk_ikj_1450_58$omp$1","trash.cpp","0x14002be30"
"multiply_matrices_ijk_ikj_1350_18$omp$1","242186","63647","52700","384","0","775750","2280","967","10019","9815","166","ompmul.exe","multiply_matrices_ijk_ikj_1350_18$omp$1","trash.cpp","0x1400247f0"
"multiply_matrices_ijk_ikj_1250_10$omp$1","237498","63074","52196","369","1","648305","4595","4974","18271","18168","79","ompmul.exe","multiply_matrices_ijk_ikj_1250_10$omp$1","trash.cpp","0x14001fcc0"
"multiply_matrices_ijk_ikj_1400_35$omp$1","235932","65191","53952","213","0","847684","2012","5692","3828","3429","332","ompmul.exe","multiply_matrices_ijk_ikj_1400_35$omp$1","trash.cpp","0x140029340"
"multiply_matrices_ijk_ikj_1300_13$omp$1","234648","62374","51595","457","0","683909","3109","642","14896","14727","120","ompmul.exe","multiply_matrices_ijk_ikj_1300_13$omp$1","trash.cpp","0x1400215c0"
"multiply_matrices_ijk_ikj_1400_28$omp$1","228936","64743","53581","290","0","823377","2081","3727","5303","4963","267","ompmul.exe","multiply_matrices_ijk_ikj_1400_28$omp$1","trash.cpp","0x140028c00"
"multiply_matrices_ijk_ikj_1450_145$omp$1","226584","73682","60849","32","0","792673","16427","76944","6525","6254","201","ompmul.exe","multiply_matrices_ijk_ikj_1450_145$omp$1","trash.cpp","0x14002ac40"
"multiply_matrices_ijk_ikj_1350_27$omp$1","222476","59930","49568","239","0","772562","1958","3703","5098","4833","214","ompmul.exe","multiply_matrices_ijk_ikj_1350_27$omp$1","trash.cpp","0x1400252b0"
"multiply_matrices_ijk_ikj_1450_290$omp$1","222306","75263","61603","12","0","794220","14612","57748","16656","16474","175","ompmul.exe","multiply_matrices_ijk_ikj_1450_290$omp$1","trash.cpp","0x14002b700"
"multiply_matrices_ijk_ikj_1400_50$omp$1","221839","62123","51415","116","0","826013","1291","3957","2004","1718","211","ompmul.exe","multiply_matrices_ijk_ikj_1400_50$omp$1","trash.cpp","0x140029e00"
"multiply_matrices_ijk_ikj_1350_25$omp$1","219690","59657","49396","258","1","751997","1973","3022","5715","5431","237","ompmul.exe","multiply_matrices_ijk_ikj_1350_25$omp$1","trash.cpp","0x140024f20"
"multiply_matrices_ijk_ikj_1400_40$omp$1","218741","62062","51354","159","0","808833","1518","4490","2800","2519","236","ompmul.exe","multiply_matrices_ijk_ikj_1400_40$omp$1","trash.cpp","0x140029a70"
"multiply_matrices_ijk_ikj_1350_30$omp$1","214914","58189","48139","201","1","754799","1781","3980","4023","3770","214","ompmul.exe","multiply_matrices_ijk_ikj_1350_30$omp$1","trash.cpp","0x1400259e0"
"multiply_matrices_ijk_ikj_1400_70$omp$1","214291","62870","52040","83","0","810063","3376","12198","1598","1316","221","ompmul.exe","multiply_matrices_ijk_ikj_1400_70$omp$1","trash.cpp","0x14002a520"
"multiply_matrices_ijk_ikj_1400_56$omp$1","212018","61026","50488","86","0","808744","1280","3950","1700","1380","256","ompmul.exe","multiply_matrices_ijk_ikj_1400_56$omp$1","trash.cpp","0x14002a190"
"multiply_matrices_ijk_ikj_1200_10$omp$1","210141","55344","45825","157","0","575865","3957","4400","15479","15382","60","ompmul.exe","multiply_matrices_ijk_ikj_1200_10$omp$1","trash.cpp","0x14001b550"
"multiply_matrices_ijk_ikj_1400_100$omp$1","204731","66319","54891","51","0","705726","16540","81325","2453","2164","212","ompmul.exe","multiply_matrices_ijk_ikj_1400_100$omp$1","trash.cpp","0x1400272d0"
"multiply_matrices_ijk_ikj_1400_175$omp$1","203581","67894","56189","23","0","707140","14158","61388","11753","11523","199","ompmul.exe","multiply_matrices_ijk_ikj_1400_175$omp$1","trash.cpp","0x140027da0"
"multiply_matrices_ijk_ikj_1400_140$omp$1","202113","65758","54350","26","0","707829","14755","70291","5037","4795","172","ompmul.exe","multiply_matrices_ijk_ikj_1400_140$omp$1","trash.cpp","0x1400279f0"
"multiply_matrices_ijk_ikj_1400_200$omp$1","200167","67977","55997","17","0","703912","13428","54097","14173","13963","171","ompmul.exe","multiply_matrices_ijk_ikj_1400_200$omp$1","trash.cpp","0x1400284d0"
"multiply_matrices_ijk_ikj_1350_45$omp$1","199708","56000","46320","115","0","736500","1413","4498","2206","1921","235","ompmul.exe","multiply_matrices_ijk_ikj_1350_45$omp$1","trash.cpp","0x140025d70"
"multiply_matrices_ijk_ikj_1400_350$omp$1","199327","67196","55609","19","0","723944","12443","50523","12286","12175","99","ompmul.exe","multiply_matrices_ijk_ikj_1400_350$omp$1","trash.cpp","0x1400296d0"
"multiply_matrices_ijk_ikj_1350_50$omp$1","198901","55094","45594","92","0","744014","1141","3395","1764","1506","167","ompmul.exe","multiply_matrices_ijk_ikj_1350_50$omp$1","trash.cpp","0x140026100"
"multiply_matrices_ijk_ikj_1400_280$omp$1","198863","67438","55272","27","0","708652","12927","51252","14846","14665","156","ompmul.exe","multiply_matrices_ijk_ikj_1400_280$omp$1","trash.cpp","0x140028f90"
"multiply_matrices_ijk_ikj_1300_26$omp$1","197456","52845","43744","201","0","682626","1548","2050","4615","4449","141","ompmul.exe","multiply_matrices_ijk_ikj_1300_26$omp$1","trash.cpp","0x140022410"
"multiply_matrices_ijk_ikj_1350_54$omp$1","197155","55752","46153","84","0","736605","1330","4322","1614","1367","188","ompmul.exe","multiply_matrices_ijk_ikj_1350_54$omp$1","trash.cpp","0x140026490"
"func@0x18000d0a0","196427","68194","56346","149","2","788555","33","56","8","5","0","ucrtbase.dll","func@0x18000d0a0","[Unknown]","0x18000d0a0"
"multiply_matrices_ijk_ikj_1300_25$omp$1","196172","52925","43791","212","0","670266","1708","2394","5081","4861","183","ompmul.exe","multiply_matrices_ijk_ikj_1300_25$omp$1","trash.cpp","0x140022080"
"multiply_matrices_ijk_ikj_1300_20$omp$1","194450","54525","45115","263","0","647117","1884","1572","7641","7476","133","ompmul.exe","multiply_matrices_ijk_ikj_1300_20$omp$1","trash.cpp","0x140021cf0"
"multiply_matrices_ijk_ikj_1350_75$omp$1","192116","57197","47331","58","0","710332","6810","30180","1412","1142","208","ompmul.exe","multiply_matrices_ijk_ikj_1350_75$omp$1","trash.cpp","0x140026820"
"FlsGetValue","189957","87142","71439","0","5","613804","42","70","14","6","4","kernelbase.dll","FlsGetValue","[Unknown]","0x180057f80"
"multiply_matrices_ijk_ikj_1350_90$omp$1","188407","59985","49645","50","1","648128","14640","72225","1399","1117","213","ompmul.exe","multiply_matrices_ijk_ikj_1350_90$omp$1","trash.cpp","0x140026bb0"
"rand","188352","56143","46030","1","6","210365","26","67","8","7","0","ucrtbase.dll","rand","[Unknown]","0x180013130"
"multiply_matrices_ijk_ikj_1150_10$omp$1","184941","48785","40372","94","1","509438","3594","4478","13312","13255","49","ompmul.exe","multiply_matrices_ijk_ikj_1150_10$omp$1","trash.cpp","0x140019c40"
"multiply_matrices_ijk_ikj_1350_135$omp$1","184661","62967","52032","19","0","654149","12454","58882","3989","3775","162","ompmul.exe","multiply_matrices_ijk_ikj_1350_135$omp$1","trash.cpp","0x140023d20"
"multiply_matrices_ijk_ikj_1200_15$omp$1","183763","47495","39286","126","0","566704","1964","762","8908","8809","61","ompmul.exe","multiply_matrices_ijk_ikj_1200_15$omp$1","trash.cpp","0x14001c390"
"multiply_matrices_ijk_ikj_1350_150$omp$1","183183","59759","49403","21","0","639762","12893","59911","5981","5772","165","ompmul.exe","multiply_matrices_ijk_ikj_1350_150$omp$1","trash.cpp","0x140024450"
"multiply_matrices_ijk_ikj_1350_225$omp$1","180197","60764","49961","20","1","634982","12393","47580","15219","15029","167","ompmul.exe","multiply_matrices_ijk_ikj_1350_225$omp$1","trash.cpp","0x140024b80"
"multiply_matrices_ijk_ikj_1350_270$omp$1","179711","62271","51049","12","0","643690","11856","46290","13502","13351","149","ompmul.exe","multiply_matrices_ijk_ikj_1350_270$omp$1","trash.cpp","0x140025640"
"multiply_matrices_ijk_1500$omp$1","178125","265159","219311","115347","2","499545","501290","2052654","488336","452796","17037","ompmul.exe","multiply_matrices_ijk_1500$omp$1","trash.cpp","0x14000f520"
"multiply_matrices_ijk_ikj_1300_50$omp$1","177617","49506","40993","82","0","658288","1056","3349","1581","1401","157","ompmul.exe","multiply_matrices_ijk_ikj_1300_50$omp$1","trash.cpp","0x140022ee0"
"multiply_matrices_ijk_ikj_1250_25$omp$1","174399","47640","39429","161","0","593448","1652","3009","4525","4346","145","ompmul.exe","multiply_matrices_ijk_ikj_1250_25$omp$1","trash.cpp","0x1400203e0"
"multiply_matrices_ijk_ikj_1200_12$omp$1","174314","46353","38344","117","0","518572","2521","956","11653","11569","42","ompmul.exe","multiply_matrices_ijk_ikj_1200_12$omp$1","trash.cpp","0x14001bc70"
"multiply_matrices_ijk_ikj_1300_65$omp$1","171582","49581","41019","68","0","645644","2028","6902","1318","1122","149","ompmul.exe","multiply_matrices_ijk_ikj_1300_65$omp$1","trash.cpp","0x140023600"
"multiply_matrices_ijk_ikj_1300_52$omp$1","170776","48800","40364","77","0","650523","1132","3611","1579","1393","157","ompmul.exe","multiply_matrices_ijk_ikj_1300_52$omp$1","trash.cpp","0x140023270"
"multiply_matrices_ijk_ikj_1300_130$omp$1","164655","52970","43822","30","0","572262","12238","59046","3276","3069","151","ompmul.exe","multiply_matrices_ijk_ikj_1300_130$omp$1","trash.cpp","0x140021950"
"multiply_matrices_ijk_ikj_1300_100$omp$1","163929","53360","44145","30","0","566201","13105","65306","1345","1119","166","ompmul.exe","multiply_matrices_ijk_ikj_1300_100$omp$1","trash.cpp","0x140021230"
"multiply_matrices_ijk_ikj_1100_10$omp$1","161857","42862","35431","76","0","439829","3134","4549","11453","11405","37","ompmul.exe","multiply_matrices_ijk_ikj_1100_10$omp$1","trash.cpp","0x140017140"
"multiply_matrices_ijk_1450$omp$1","160918","255921","211629","104572","2","450273","450669","1889323","413014","382779","13605","ompmul.exe","multiply_matrices_ijk_1450$omp$1","trash.cpp","0x14000f1e0"
"multiply_matrices_ijk_ikj_1200_16$omp$1","160797","42587","35215","113","0","519825","1967","801","8785","8714","63","ompmul.exe","multiply_matrices_ijk_ikj_1200_16$omp$1","trash.cpp","0x14001cac0"
"multiply_matrices_ijk_ikj_1300_325$omp$1","159595","54187","44821","12","1","569854","9990","40938","10763","10664","84","ompmul.exe","multiply_matrices_ijk_ikj_1300_325$omp$1","trash.cpp","0x140022b40"
