name;type;n;r;time_avg;time_min;time_max
ikj_100;ikj;100;0;0.00016;0;0.001
ikj_125;ikj;125;0;0.00024;0;0.001
ikj_150;ikj;150;0;0.00092;0;0.001
ikj_175;ikj;175;0;0.00108;0.001;0.002
ikj_200;ikj;200;0;0.0014;0.001;0.002
ikj_225;ikj;225;0;0.00216;0.002;0.003
ikj_250;ikj;250;0;0.00304;0.002;0.004
ikj_275;ikj;275;0;0.00428;0.004;0.006
ikj_300;ikj;300;0;0.00492;0.004;0.005
ikj_325;ikj;325;0;0.00696;0.006;0.009
ikj_350;ikj;350;0;0.00828;0.008;0.01
ikj_375;ikj;375;0;0.01064;0.01;0.014
ikj_400;ikj;400;0;0.01056;0.01;0.013
ikj_425;ikj;425;0;0.01672;0.015;0.023
ikj_450;ikj;450;0;0.01692;0.016;0.018
ikj_475;ikj;475;0;0.02196;0.021;0.027
ikj_500;ikj;500;0;0.02128;0.02;0.026
ikj_525;ikj;525;0;0.02972;0.028;0.036
ikj_550;ikj;550;0;0.0318;0.031;0.036
ikj_575;ikj;575;0;0.03796;0.037;0.038
ikj_600;ikj;600;0;0.03624;0.035;0.039
ikj_625;ikj;625;0;0.0474;0.047;0.048
ikj_650;ikj;650;0;0.05324;0.052;0.059
ikj_675;ikj;675;0;0.06156;0.061;0.065
ikj_700;ikj;700;0;0.05792;0.057;0.058
ikj_725;ikj;725;0;0.075;0.074;0.076
ikj_750;ikj;750;0;0.08024;0.079;0.087
ikj_775;ikj;775;0;0.09232;0.091;0.098
ikj_800;ikj;800;0;0.08668;0.083;0.115
ikj_825;ikj;825;0;0.11248;0.11;0.123
ikj_850;ikj;850;0;0.11576;0.113;0.126
ikj_875;ikj;875;0;0.13504;0.133;0.143
ikj_900;ikj;900;0;0.1214;0.119;0.135
ikj_925;ikj;925;0;0.15832;0.155;0.17
ikj_950;ikj;950;0;0.16184;0.158;0.171
ikj_975;ikj;975;0;0.1854;0.182;0.194
ikj_1000;ikj;1000;0;0.17044;0.166;0.183
ikj_1025;ikj;1025;0;0.21084;0.207;0.222
ikj_1050;ikj;1050;0;0.22124;0.217;0.23
ikj_1075;ikj;1075;0;0.24844;0.246;0.258
ikj_1100;ikj;1100;0;0.2326;0.231;0.235
ikj_1125;ikj;1125;0;0.28828;0.285;0.301
ikj_1150;ikj;1150;0;0.30084;0.299;0.303
ikj_1175;ikj;1175;0;0.33668;0.334;0.342
ikj_1200;ikj;1200;0;0.32472;0.32;0.341
ikj_1225;ikj;1225;0;0.40268;0.398;0.428
ikj_1250;ikj;1250;0;0.40984;0.408;0.413
ikj_1275;ikj;1275;0;0.47368;0.466;0.492
ikj_1300;ikj;1300;0;0.44492;0.44;0.457
ikj_1325;ikj;1325;0;0.53732;0.532;0.563
ikj_1350;ikj;1350;0;0.57052;0.562;0.597
ikj_1375;ikj;1375;0;0.62016;0.616;0.637
ikj_1400;ikj;1400;0;0.5858;0.581;0.594
ikj_1425;ikj;1425;0;0.70108;0.698;0.717
ikj_1450;ikj;1450;0;0.70536;0.702;0.722
ikj_1475;ikj;1475;0;0.77832;0.772;0.791
ikj_1500;ikj;1500;0;0.73056;0.727;0.745
ikj_1525;ikj;1525;0;0.87412;0.87;0.885
ikj_1550;ikj;1550;0;0.89204;0.888;0.9
ikj_1575;ikj;1575;0;0.97004;0.966;0.999
ikj_1600;ikj;1600;0;0.89672;0.891;0.914
ikj_1625;ikj;1625;0;1.072;1.067;1.092
ikj_1650;ikj;1650;0;1.07932;1.074;1.099
ikj_1675;ikj;1675;0;1.17812;1.173;1.188
ikj_1700;ikj;1700;0;1.09548;1.089;1.119
ikj_1725;ikj;1725;0;1.29896;1.288;1.337
ikj_1750;ikj;1750;0;1.301;1.298;1.307
ikj_1775;ikj;1775;0;1.41724;1.411;1.436
ikj_1800;ikj;1800;0;1.30856;1.305;1.331
ikj_1825;ikj;1825;0;1.5332;1.528;1.546
ikj_1850;ikj;1850;0;1.5512;1.545;1.571
ikj_1875;ikj;1875;0;1.67172;1.663;1.705
ikj_1900;ikj;1900;0;1.55876;1.551;1.577
ikj_1925;ikj;1925;0;1.82208;1.808;1.884
ikj_1950;ikj;1950;0;1.83444;1.826;1.853
ikj_1975;ikj;1975;0;1.96632;1.959;2.01
ikj_2000;ikj;2000;0;1.82512;1.816;1.852
ikj_2025;ikj;2025;0;2.12924;2.12;2.15
ikj_2050;ikj;2050;0;2.14792;2.133;2.191
ikj_2075;ikj;2075;0;2.3062;2.295;2.342
ikj_2100;ikj;2100;0;2.1352;2.125;2.164
ikj_2125;ikj;2125;0;2.5024;2.492;2.528
ikj_2150;ikj;2150;0;2.50544;2.494;2.53
ikj_2175;ikj;2175;0;2.69736;2.689;2.731
ikj_2200;ikj;2200;0;2.4798;2.459;2.514
ikj_2225;ikj;2225;0;2.87124;2.868;2.884
ikj_2250;ikj;2250;0;2.88532;2.874;2.919
ijk_ikj_100_10;ijk_ikj;100;10;0.00016;0;0.001
ijk_ikj_100_20;ijk_ikj;100;20;0.0004;0;0.001
ijk_ikj_100_25;ijk_ikj;100;25;0.00016;0;0.001
ijk_ikj_125_25;ijk_ikj;125;25;0.00028;0;0.001
ijk_ikj_150_10;ijk_ikj;150;10;0.001;0.001;0.001
ijk_ikj_150_15;ijk_ikj;150;15;0.001;0.001;0.001
ijk_ikj_150_25;ijk_ikj;150;25;0.001;0.001;0.001
ijk_ikj_150_30;ijk_ikj;150;30;0.00084;0;0.001
ijk_ikj_175_25;ijk_ikj;175;25;0.00104;0.001;0.002
ijk_ikj_175_35;ijk_ikj;175;35;0.00104;0.001;0.002
ijk_ikj_200_10;ijk_ikj;200;10;0.002;0.002;0.002
ijk_ikj_200_20;ijk_ikj;200;20;0.00144;0.001;0.002
ijk_ikj_200_25;ijk_ikj;200;25;0.00156;0.001;0.002
ijk_ikj_200_40;ijk_ikj;200;40;0.00148;0.001;0.002
ijk_ikj_200_50;ijk_ikj;200;50;0.00148;0.001;0.002
ijk_ikj_225_15;ijk_ikj;225;15;0.0028;0.002;0.003
ijk_ikj_225_25;ijk_ikj;225;25;0.00204;0.002;0.003
ijk_ikj_225_45;ijk_ikj;225;45;0.0022;0.002;0.004
ijk_ikj_250_10;ijk_ikj;250;10;0.00392;0.003;0.004
ijk_ikj_250_25;ijk_ikj;250;25;0.00332;0.002;0.004
ijk_ikj_250_50;ijk_ikj;250;50;0.0028;0.002;0.005
ijk_ikj_275_11;ijk_ikj;275;11;0.00516;0.005;0.006
ijk_ikj_275_25;ijk_ikj;275;25;0.00424;0.003;0.005
ijk_ikj_275_55;ijk_ikj;275;55;0.00408;0.003;0.007
ijk_ikj_300_10;ijk_ikj;300;10;0.0064;0.006;0.008
ijk_ikj_300_12;ijk_ikj;300;12;0.00548;0.005;0.007
ijk_ikj_300_15;ijk_ikj;300;15;0.00576;0.005;0.007
ijk_ikj_300_20;ijk_ikj;300;20;0.00548;0.004;0.006
ijk_ikj_300_25;ijk_ikj;300;25;0.00524;0.005;0.006
ijk_ikj_300_30;ijk_ikj;300;30;0.00504;0.004;0.007
ijk_ikj_300_50;ijk_ikj;300;50;0.006;0.004;0.008
